Archetype,WFH Type,Operation,Solar,Grid Import,Total Load,Grid Cost,Grid Emissions,Indepence
Detached,T1,hybrid_bidirectional,best,3953,8330,1384,640,53
Detached,T1,hybrid_bidirectional,worst,4080,8359,1428,661,51
Detached,T1,safe_unidirectional,best,5207,5955,1822,844,13
Detached,T1,safe_unidirectional,worst,5292,5955,1852,857,11

Semi_Detached,T1,hybrid_bidirectional,best,3841,8135,1344,622,53
Semi_Detached,T1,hybrid_bidirectional,worst,3948,8148,1382,640,52
Semi_Detached,T1,safe_unidirectional,best,5068,5804,1774,821,13
Semi_Detached,T1,safe_unidirectional,worst,5152,5804,1803,835,11

Terraced,T1,hybrid_bidirectional,best,3526,7490,1234,571,53
Terraced,T1,hybrid_bidirectional,worst,3621,7502,1267,587,52
Terraced,T1,safe_unidirectional,best,4644,5333,1626,752,13
Terraced,T1,safe_unidirectional,worst,4720,5333,1652,765,12
