Conversion Rate (%),Emissions_W+E (Kilo Tonnes),Emissions_W+P = P (Kilo Tonnes),Emissions_E+P (Kilo Tonnes),Emissions_W+E+P (Kilo Tonnes)
0,19130,19130,19130,19130
5,18737,19039,18670,18499
10,18345,18948,18210,17868
15,17952,18858,17750,17237
20,17559,18767,17290,16605
25,17167,18676,16830,15974
30,16774,18586,16370,15343
35,16382,18495,15910,14712
40,15989,18404,15450,14081
45,15597,18313,14990,13450
50,15204,18223,14530,12819
55,14811,18132,14070,12188
60,14419,18041,13610,11557
65,14026,17951,13150,10926
70,13634,17860,12690,10295
75,13241,17769,12230,9663
80,12848,17678,11770,9032
85,12456,17588,11310,8401
90,12063,17497,10850,7770
95,11671,17406,10390,7139
100,11278,17316,9930,6508
