Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,19130,19130,19130,19130,19130
5,18737,19039,18670,18499,18450
10,18345,18948,18210,17868,17769
15,17952,18858,17750,17237,17089
20,17559,18767,17290,16605,16409
25,17167,18676,16830,15974,15729
30,16774,18586,16370,15343,15049
35,16382,18495,15910,14712,14369
40,15989,18404,15450,14081,13689
45,15597,18313,14990,13450,13008
50,15204,18223,14530,12819,12328
55,14811,18132,14070,12188,11648
60,14419,18041,13610,11557,10968
65,14026,17951,13150,10926,10288
70,13634,17860,12690,10295,9608
75,13241,17769,12230,9663,8927
80,12848,17678,11770,9032,8247
85,12456,17588,11310,8401,7567
90,12063,17497,10850,7770,6887
95,11671,17406,10390,7139,6207
100,11278,17316,9930,6508,5527
