Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,19130,19130,19130,19130,19130
5,18737,19048,18684,18538,18493
10,18345,18966,18239,17947,17857
15,17952,18885,17793,17355,17221
20,17559,18803,17348,16764,16585
25,17167,18721,16902,16172,15948
30,16774,18639,16457,15580,15312
35,16382,18558,16011,14989,14676
40,15989,18476,15566,14397,14039
45,15597,18394,15120,13806,13403
50,15204,18312,14675,13214,12767
55,14811,18231,14229,12623,12130
60,14419,18149,13784,12031,11494
65,14026,18067,13338,11440,10858
70,13634,17985,12893,10848,10221
75,13241,17904,12447,10256,9585
80,12848,17822,12002,9665,8949
85,12456,17740,11556,9073,8312
90,12063,17658,11111,8482,7676
95,11671,17577,10665,7890,7040
100,11278,17495,10220,7299,6403
