Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,19130,19130,19130,19130,19130
5,18854,19039,18827,18760,18598
10,18578,18948,18525,18390,18066
15,18302,18858,18223,18021,17533
20,18026,18767,17920,17651,17001
25,17751,18676,17618,17281,16469
30,17475,18586,17316,16911,15937
35,17199,18495,17013,16542,15405
40,16923,18404,16711,16172,14873
45,16647,18313,16409,15802,14341
50,16371,18223,16106,15433,13809
55,16095,18132,15804,15063,13277
60,15820,18041,15502,14693,12745
65,15544,17951,15199,14323,12212
70,15268,17860,14897,13954,11680
75,14992,17769,14595,13584,11148
80,14716,17678,14292,13214,10616
85,14440,17588,13990,12845,10084
90,14164,17497,13688,12475,9552
95,13889,17406,13385,12105,9020
100,13613,17316,13083,11735,8488
