Number,Operation Policy,WFH Type,Battery,PV,ev_charged,ev_discharged,stat_charged,stat_discharged
114,optimal_unidirectional,1,11.3,4.8,15.0,0.0,598.0,348.0
114,safe_unidirectional,1,14.2,5.08571,154.0,0.0,777.0,510.0
114,hybrid_unidirectional,1,13.3,5.2,143.0,0.0,740.0,427.0
114,optimal_bidirectional,1,2.7,0.171429,0.0,572.0,0.0,0.0
114,hybrid_bidirectional,1,6.7,5.02857,828.0,445.0,331.0,205.0
114,safe_bidirectional,1,13.6,5.2,292.0,148.0,762.0,506.0
114,optimal_unidirectional,2,11.3,4.8,30.0,0.0,592.0,338.0
114,safe_unidirectional,2,12.3,4.8,42.0,0.0,651.0,406.0
114,hybrid_unidirectional,2,10.9,5.14286,35.0,0.0,612.0,341.0
114,optimal_bidirectional,2,3.0,1.42857,0.0,446.0,0.0,6.0
114,hybrid_bidirectional,2,1.9,4.68571,1029.0,595.0,42.0,21.0
114,safe_bidirectional,2,12.2,4.74286,212.0,194.0,651.0,401.0
114,optimal_unidirectional,3,11.1,4.8,3.0,0.0,597.0,344.0
114,safe_unidirectional,3,11.1,4.8,4.0,0.0,597.0,348.0
114,hybrid_unidirectional,3,11.1,4.8,3.0,0.0,597.0,344.0
114,optimal_bidirectional,3,1.9,3.2,405.0,399.0,4.0,0.0
114,hybrid_bidirectional,3,1.8,3.82857,685.0,486.0,7.0,2.0
114,safe_bidirectional,3,11.4,4.68571,183.0,199.0,608.0,354.0
171,optimal_unidirectional,1,6.0,3.54286,19.0,0.0,282.0,153.0
171,safe_unidirectional,1,8.6,3.88571,154.0,0.0,445.0,298.0
171,hybrid_unidirectional,1,8.1,3.88571,128.0,0.0,417.0,200.0
171,optimal_bidirectional,1,0.0,0.8,0.0,259.0,0.0,0.0
171,hybrid_bidirectional,1,5.8,3.6,518.0,117.0,243.0,132.0
171,safe_bidirectional,1,8.8,3.82857,178.0,37.0,447.0,300.0
171,optimal_unidirectional,2,6.2,3.6,23.0,0.0,303.0,159.0
171,safe_unidirectional,2,7.3,3.48571,42.0,0.0,357.0,206.0
171,hybrid_unidirectional,2,6.5,3.6,27.0,0.0,322.0,166.0
171,optimal_bidirectional,2,3.8,0.228571,0.0,243.0,0.0,0.0
171,hybrid_bidirectional,2,0.9,3.6,689.0,249.0,0.0,0.0
171,safe_bidirectional,2,6.8,3.6,78.0,41.0,337.0,196.0
171,optimal_unidirectional,3,6.1,3.48571,2.0,0.0,294.0,160.0
171,safe_unidirectional,3,6.1,3.54286,4.0,0.0,293.0,162.0
171,hybrid_unidirectional,3,6.1,3.48571,2.0,0.0,294.0,160.0
171,optimal_bidirectional,3,1.3,2.34286,273.0,221.0,4.0,1.0
171,hybrid_bidirectional,3,0.9,3.08571,543.0,263.0,0.0,0.0
171,safe_bidirectional,3,5.9,3.48571,57.0,63.0,286.0,158.0
