Operation Policy,WFH Type,ev_charged,ev_discharged,stat_charged,stat_discharged
hybrid_bidirectional,1,6.5,3.0,3.0,1.8
hybrid_bidirectional,2,7.4,4.1,0.6,0.3
hybrid_bidirectional,3,5.5,3.5,0.2,0.1
hybrid_unidirectional,1,1.3,0.0,5.2,3.2
hybrid_unidirectional,2,0.3,0.0,4.2,2.5
hybrid_unidirectional,3,0.0,0.0,4.1,2.6
optimal_bidirectional,1,0.1,4.0,0.1,0.1
optimal_bidirectional,2,0.6,3.7,0.1,0.1
optimal_bidirectional,3,3.3,3.1,0.1,0.1
optimal_unidirectional,1,0.1,0.0,4.1,2.5
optimal_unidirectional,2,0.2,0.0,4.1,2.5
optimal_unidirectional,3,0.0,0.0,4.1,2.6
safe_bidirectional,1,2.8,1.4,5.4,3.9
safe_bidirectional,2,1.8,1.6,4.5,2.9
safe_bidirectional,3,1.6,1.8,4.1,2.5
safe_unidirectional,1,1.5,0.0,5.4,3.9
safe_unidirectional,2,0.4,0.0,4.5,3.0
safe_unidirectional,3,0.0,0.0,4.1,2.6
