Data from: Texas Grid Analytics (grid-analytics.ece.utexas.edu)
Chart: Market Prices from 01/28/2024 to 01/29/2024
Date,Time (US Central Time),LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2024-01-28,00:00,34.81,35.98,36.21,34.65,36.91,37.15,39.78,79.43
2024-01-28,00:15,30.31,31.4,31.62,30.17,32.27,32.49,34.92,72.04
2024-01-28,00:30,32.18,33.63,33.91,32.03,34.78,35.07,38.29,87.23
2024-01-28,00:45,31.78,32.73,32.91,31.69,33.48,33.67,35.75,67.57
2024-01-28,01:00,29.7,30.9,31.13,29.6,31.85,32.09,34.74,74.88
2024-01-28,01:15,35.63,36.69,36.89,35.52,37.52,37.73,40.11,75.43
2024-01-28,01:30,26.37,28.1,28.74,25.8,30.04,30.38,33.27,87.64
2024-01-28,01:45,26.98,28.77,30.17,25.5,32.17,32.5,33.21,81.13
2024-01-28,02:00,25.42,27.05,28,24.46,29.54,29.85,31.52,78.98
2024-01-28,02:15,24.95,26.93,27.75,24.33,29.31,29.69,32.83,93.98
2024-01-28,02:30,25.11,27.19,28.6,23.79,30.72,31.11,32.84,90.66
2024-01-28,02:45,23.24,25.02,25.82,22.62,27.29,27.64,30.36,84.54
2024-01-28,03:00,25.02,27.33,28.67,23.83,30.84,31.28,33.89,100.49
2024-01-28,03:15,24.42,26.5,27.65,23.43,29.54,29.94,32.49,93.02
2024-01-28,03:30,22.01,23.89,24.87,21.13,26.54,26.9,29.33,84.51
2024-01-28,03:45,22.58,24.29,25.06,21.95,26.46,26.8,29.39,81.16
2024-01-28,04:00,21.26,23.32,24.32,20.41,26.06,26.47,29.48,91.31
2024-01-28,04:15,22.6,23.83,24.09,22.51,24.82,25.08,27.93,68.78
2024-01-28,04:30,22.95,24,24.29,22.85,24.98,25.2,27.48,61.85
2024-01-28,04:45,22.4,24.01,24.57,22.18,25.73,26.06,29.4,80.45
2024-01-28,05:00,22.8,24.69,25.42,22.5,26.85,27.23,30.97,89.82
2024-01-28,05:15,22.2,23.35,23.87,21.95,24.82,25.05,27.11,61.72
2024-01-28,05:30,23.97,24.88,25.44,23.61,26.31,26.49,27.58,53.25
2024-01-28,05:45,22.42,24.08,24.49,22.27,25.54,25.89,29.76,84.67
2024-01-28,06:00,23.05,24,24.19,22.98,24.76,24.95,27.29,59.02
2024-01-28,06:15,24.24,24.35,24.38,24.22,24.45,24.47,24.77,28.75
2024-01-28,06:30,24.56,24.81,24.86,24.54,25,25.05,25.66,33.88
2024-01-28,06:45,26.08,26.26,26.29,26.07,26.39,26.43,26.87,32.64
2024-01-28,07:00,32.18,32.19,32.19,32.18,32.2,32.2,32.23,32.61
2024-01-28,07:15,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05
2024-01-28,07:30,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85
2024-01-28,07:45,38.31,38.31,38.31,38.31,38.31,38.31,38.31,38.31
2024-01-28,08:00,25.33,25.59,25.16,25.43,24.81,24.79,25.64,29.26
2024-01-28,08:15,22.54,22.59,22.48,22.56,22.38,22.37,22.56,23.1
2024-01-28,08:30,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16
2024-01-28,08:45,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61
2024-01-28,09:00,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43
2024-01-28,09:15,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55
2024-01-28,09:30,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45
2024-01-28,09:45,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29
2024-01-28,10:00,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59
2024-01-28,10:15,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56
2024-01-28,10:30,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57
2024-01-28,10:45,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19
2024-01-28,11:00,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
2024-01-28,11:15,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94
2024-01-28,11:30,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74
2024-01-28,11:45,11.12,11.12,11.12,11.12,11.12,11.12,11.12,11.12
2024-01-28,12:00,9.89,9.89,9.89,9.89,9.89,9.89,9.89,9.89
2024-01-28,12:15,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67
2024-01-28,12:30,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
2024-01-28,12:45,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83
2024-01-28,13:00,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13
2024-01-28,13:15,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
2024-01-28,13:30,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
2024-01-28,13:45,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
2024-01-28,14:00,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
2024-01-28,14:15,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
2024-01-28,14:30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
