Archetype,WFH Type,Operation,Solar,Grid Import,Total Load,Grid Cost,Grid Emissions,Indepence
Detached,T2,hybrid_bidirectional,best,2672,7010,935,433,62
Detached,T2,hybrid_bidirectional,worst,2972,7143,1040,481,58
Detached,T2,safe_unidirectional,best,4697,5434,1644,761,14
Detached,T2,safe_unidirectional,worst,4772,5434,1670,773,12
Semi_Detached,T2,hybrid_bidirectional,best,2546,6814,891,412,63
Semi_Detached,T2,hybrid_bidirectional,worst,2849,6958,997,462,59
Semi_Detached,T2,safe_unidirectional,best,4558,5283,1595,738,14
Semi_Detached,T2,safe_unidirectional,worst,4632,5283,1621,750,12
Terraced,T2,hybrid_bidirectional,best,2236,6206,783,362,64
Terraced,T2,hybrid_bidirectional,worst,2527,6355,884,409,60
Terraced,T2,safe_unidirectional,best,4136,4812,1448,670,14
Terraced,T2,safe_unidirectional,worst,4200,4812,1470,680,13
