House number,WFH Type,Operation,Solar,Battery,PV,Cost
1,T1,safe_unidirectional,worst,20.3125,4.45714,19110.0
1,T1,safe_unidirectional,best,16.5625,1.75714,11640.0
1,T1,hybrid_bidirectional,worst,12.25,2.01429,10110.0
1,T1,hybrid_bidirectional,best,9.625,1.41429,7590.0
1,T2,safe_unidirectional,worst,18.3125,1.62857,12210.0
1,T2,safe_unidirectional,best,14.0625,1.32857,9540.0
1,T2,hybrid_bidirectional,worst,7.125,1.28571,6120.0
1,T2,hybrid_bidirectional,best,4.8125,0.942857,4290.0
1,T3,safe_unidirectional,worst,14.75,1.45714,10140.0
1,T3,safe_unidirectional,best,11.4375,1.07143,7740.0
1,T3,hybrid_bidirectional,worst,5.9375,0.942857,4830.0
1,T3,hybrid_bidirectional,best,4.0625,0.771429,3570.0
2,T1,safe_unidirectional,best,16.25,1.88571,11760.0
2,T1,hybrid_bidirectional,worst,12.4375,1.88571,9930.0
2,T1,hybrid_bidirectional,best,9.125,1.45714,7440.0
2,T2,safe_unidirectional,worst,16.4375,2.01429,12120.0
2,T2,safe_unidirectional,best,12.625,1.62857,9480.0
2,T2,hybrid_bidirectional,worst,5.6875,1.5,5880.0
2,T2,hybrid_bidirectional,best,3.8125,1.2,4350.0
2,T3,safe_unidirectional,worst,14.375,1.5,10050.0
2,T3,safe_unidirectional,best,10.3125,1.32857,7740.0
2,T3,hybrid_bidirectional,worst,5.4375,1.24286,5220.0
2,T3,hybrid_bidirectional,best,4.5,0.814286,3870.0
3,T1,safe_unidirectional,worst,20.875,2.57143,15420.0
3,T1,safe_unidirectional,best,15.0625,2.27143,12000.0
3,T1,hybrid_bidirectional,worst,12.8125,2.44286,11280.0
3,T1,hybrid_bidirectional,best,10.3125,1.62857,8370.0
3,T2,safe_unidirectional,worst,16.125,2.22857,12420.0
3,T2,safe_unidirectional,best,12.9375,1.62857,9630.0
3,T2,hybrid_bidirectional,worst,5.875,1.75714,6510.0
3,T2,hybrid_bidirectional,best,3.75,1.45714,4860.0
3,T3,safe_unidirectional,worst,13.3125,1.88571,10350.0
3,T3,safe_unidirectional,best,9.375,1.62857,7920.0
3,T3,hybrid_bidirectional,worst,4.25,1.62857,5460.0
3,T3,hybrid_bidirectional,best,2.625,1.28571,3960.0
4,T1,safe_unidirectional,worst,20.3125,2.65714,15330.0
4,T1,safe_unidirectional,best,16.1875,1.88571,11730.0
4,T1,hybrid_bidirectional,worst,11.9375,2.14286,10230.0
4,T1,hybrid_bidirectional,best,9.1875,1.62857,7830.0
4,T2,safe_unidirectional,worst,16.6875,1.97143,12150.0
4,T2,safe_unidirectional,best,12.6875,1.62857,9510.0
4,T2,hybrid_bidirectional,worst,5.25,1.62857,5940.0
4,T2,hybrid_bidirectional,best,3.5625,1.28571,4410.0
4,T3,safe_unidirectional,best,9.9375,1.32857,7560.0
4,T3,hybrid_bidirectional,worst,4.5625,1.28571,4890.0
