Conversion Rate (%),Emissions_W+E (Mega Tonnes),Emissions_W+P = P (Mega Tonnes),Emissions_E+P (Mega Tonnes),Emissions_W+E+P (Mega Tonnes)
0,13902,13902,13902,13902
5,13798,13811,13703,13793
10,13694,13720,13504,13685
15,13590,13629,13306,13577
20,13486,13538,13107,13468
25,13382,13447,12909,13360
30,13278,13357,12710,13252
35,13174,13266,12511,13143
40,13070,13175,12313,13035
45,12966,13084,12114,12927
50,12862,12993,11916,12818
55,12758,12902,11717,12710
60,12654,12812,11518,12602
65,12551,12721,11320,12494
70,12447,12630,11121,12385
75,12343,12539,10923,12277
80,12239,12448,10724,12169
85,12135,12357,10526,12060
90,12031,12267,10327,11952
95,11927,12176,10128,11844
100,11823,12085,9930,11735
