Conversion Rate (%),Emissions_W+E (Mega Tonnes),Emissions_W+P = P (Mega Tonnes),Emissions_E+P (Mega Tonnes),Emissions_W+E+P (Mega Tonnes)
0,13902,13902,13902,13902
5,13798,13820,13717,13802
10,13694,13738,13533,13703
15,13590,13656,13349,13604
20,13486,13574,13165,13505
25,13382,13492,12981,13406
30,13278,13410,12797,13307
35,13174,13328,12613,13208
40,13070,13246,12429,13108
45,12966,13164,12245,13009
50,12862,13082,12061,12910
55,12758,13000,11877,12811
60,12654,12918,11692,12712
65,12551,12836,11508,12613
70,12447,12754,11324,12514
75,12343,12672,11140,12415
80,12239,12590,10956,12315
85,12135,12508,10772,12216
90,12031,12426,10588,12117
95,11927,12345,10404,12018
100,11823,12263,10220,11919
