Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,08:07,45.0,17:53,40.14993994229928
1,Monday,10:00,40.14993994229928,14:00,37.89993994229928
2,Tuesday,No trips,45.00,,45.00
3,Wednesday,09:00,45.0,15:00,42.75
4,Thursday,No trips,45.00,,45.00
5,Friday,08:04,45.0,17:48,40.0757431595921
5,Friday,09:00,40.0757431595921,15:00,37.8257431595921
6,Saturday,No trips,45.00,,45.00
7,Sunday,No trips,45.00,,45.00
8,Monday,08:13,45.0,18:06,40.747267369828656
8,Monday,10:00,40.747267369828656,14:00,38.497267369828656
9,Tuesday,No trips,45.00,,45.00
10,Wednesday,09:00,45.0,15:00,42.75
11,Thursday,No trips,45.00,,45.00
12,Friday,07:47,45.0,18:08,40.73118613584692
12,Friday,09:00,40.73118613584692,15:00,38.48118613584692
13,Saturday,16:26,45.0,17:25,37.526567156714776
14,Sunday,No trips,45.00,,45.00
15,Monday,08:11,45.0,17:48,40.51358761675692
15,Monday,10:00,40.51358761675692,14:00,38.26358761675692
16,Tuesday,No trips,45.00,,45.00
17,Wednesday,09:00,45.0,15:00,42.75
18,Thursday,14:50,45.0,15:35,39.316409762343724
19,Friday,08:14,45.0,17:47,40.74812106500059
19,Friday,09:00,40.74812106500059,15:00,38.49812106500059
20,Saturday,No trips,45.00,,45.00
21,Sunday,09:00,45.0,09:47,39.12011593483092
21,Sunday,10:25,39.12011593483092,12:02,26.9513671853483
22,Monday,07:55,45.0,18:10,40.704058345946194
22,Monday,10:00,40.704058345946194,14:00,38.454058345946194
23,Tuesday,10:01,45.0,10:49,39.00966232233944
24,Wednesday,09:00,45.0,15:00,42.75
25,Thursday,No trips,45.00,,45.00
26,Friday,07:51,45.0,18:12,40.541019580896425
26,Friday,09:00,40.541019580896425,15:00,38.291019580896425
27,Saturday,16:38,45.0,17:16,40.216490565283294
28,Sunday,No trips,45.00,,45.00
29,Monday,08:06,45.0,17:58,40.73951534719414
29,Monday,10:00,40.73951534719414,14:00,38.48951534719414
30,Tuesday,No trips,45.00,,45.00
31,Wednesday,09:00,45.0,15:00,42.75
32,Thursday,No trips,45.00,,45.00
33,Friday,07:57,45.0,17:56,40.132154839474445
33,Friday,09:00,40.132154839474445,15:00,37.882154839474445
34,Saturday,No trips,45.00,,45.00
35,Sunday,09:46,45.0,10:19,40.88708118562629
