Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,10:00,45.0,14:00,41.25
2,Tuesday,14:47,45.0,16:38,31.159388810730945
3,Wednesday,09:00,45.0,15:00,41.25
4,Thursday,No trips,45.00,,45.00
5,Friday,09:00,45.0,15:00,41.25
6,Saturday,18:31,45.0,19:14,39.62049886536577
6,Saturday,09:38,39.62049886536577,10:42,31.61624324236955
7,Sunday,No trips,45.00,,45.00
8,Monday,10:00,45.0,14:00,41.25
9,Tuesday,No trips,45.00,,45.00
10,Wednesday,09:00,45.0,15:00,41.25
11,Thursday,17:56,45.0,19:12,35.45463212583855
12,Friday,09:00,45.0,15:00,41.25
13,Saturday,No trips,45.00,,45.00
14,Sunday,14:42,45.0,16:41,30.122855043950523
15,Monday,10:00,45.0,14:00,41.25
16,Tuesday,No trips,45.00,,45.00
17,Wednesday,09:00,45.0,15:00,41.25
18,Thursday,No trips,45.00,,45.00
19,Friday,09:00,45.0,15:00,41.25
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,10:00,45.0,14:00,41.25
23,Tuesday,No trips,45.00,,45.00
24,Wednesday,09:00,45.0,15:00,41.25
25,Thursday,No trips,45.00,,45.00
26,Friday,09:00,45.0,15:00,41.25
27,Saturday,No trips,45.00,,45.00
28,Sunday,No trips,45.00,,45.00
29,Monday,10:00,45.0,14:00,41.25
30,Tuesday,No trips,45.00,,45.00
31,Wednesday,09:00,45.0,15:00,41.25
32,Thursday,No trips,45.00,,45.00
33,Friday,09:00,45.0,15:00,41.25
34,Saturday,No trips,45.00,,45.00
35,Sunday,18:27,45.0,19:32,36.98177914437524
36,Monday,10:00,45.0,14:00,41.25
37,Tuesday,No trips,45.00,,45.00
38,Wednesday,09:00,45.0,15:00,41.25
39,Thursday,No trips,45.00,,45.00
40,Friday,09:00,45.0,15:00,41.25
41,Saturday,No trips,45.00,,45.00
42,Sunday,No trips,45.00,,45.00
43,Monday,10:00,45.0,14:00,41.25
44,Tuesday,12:42,45.0,13:15,40.82579467930532
45,Wednesday,09:00,45.0,15:00,41.25
46,Thursday,19:47,45.0,20:29,39.72251265373696
47,Friday,09:00,45.0,15:00,41.25
48,Saturday,No trips,45.00,,45.00
49,Sunday,16:13,45.0,17:47,33.27076890617329
50,Monday,10:00,45.0,14:00,41.25
51,Tuesday,No trips,45.00,,45.00
52,Wednesday,09:00,45.0,15:00,41.25
53,Thursday,No trips,45.00,,45.00
54,Friday,09:00,45.0,15:00,41.25
55,Saturday,No trips,45.00,,45.00
56,Sunday,No trips,45.00,,45.00
57,Monday,10:00,45.0,14:00,41.25
58,Tuesday,No trips,45.00,,45.00
59,Wednesday,09:00,45.0,15:00,41.25
60,Thursday,No trips,45.00,,45.00
61,Friday,09:00,45.0,15:00,41.25
62,Saturday,No trips,45.00,,45.00
63,Sunday,No trips,45.00,,45.00
64,Monday,10:00,45.0,14:00,41.25
65,Tuesday,No trips,45.00,,45.00
66,Wednesday,09:00,45.0,15:00,41.25
67,Thursday,No trips,45.00,,45.00
68,Friday,09:00,45.0,15:00,41.25
69,Saturday,No trips,45.00,,45.00
70,Sunday,No trips,45.00,,45.00
71,Monday,10:00,45.0,14:00,41.25
72,Tuesday,14:53,45.0,15:40,39.0939328408198
73,Wednesday,09:00,45.0,15:00,41.25
74,Thursday,11:31,45.0,12:44,35.83511268873676
75,Friday,09:00,45.0,15:00,41.25
76,Saturday,18:28,45.0,19:42,35.79325453870902
77,Sunday,No trips,45.00,,45.00
78,Monday,10:00,45.0,14:00,41.25
79,Tuesday,No trips,45.00,,45.00
80,Wednesday,09:00,45.0,15:00,41.25
81,Thursday,17:13,45.0,18:54,32.29708054690114
82,Friday,09:00,45.0,15:00,41.25
83,Saturday,17:30,45.0,18:12,39.79104704452186
84,Sunday,15:22,45.0,17:18,30.45810688270225
85,Monday,10:00,45.0,14:00,41.25
86,Tuesday,08:53,45.0,10:10,35.49216577247498
86,Tuesday,08:19,35.49216577247498,10:12,21.291063580400404
87,Wednesday,09:00,45.0,15:00,41.25
88,Thursday,18:57,45.0,19:45,38.896693278264536
89,Friday,09:00,45.0,15:00,41.25
90,Saturday,09:36,45.0,10:48,35.910795174378826
90,Saturday,11:08,35.910795174378826,12:16,27.452327306334585
91,Sunday,No trips,45.00,,45.00
92,Monday,10:00,45.0,14:00,41.25
93,Tuesday,14:41,45.0,16:27,31.81218557799461
94,Wednesday,09:00,45.0,15:00,41.25
95,Thursday,No trips,45.00,,45.00
96,Friday,09:00,45.0,15:00,41.25
97,Saturday,08:50,45.0,10:19,33.96481951552951
98,Sunday,16:25,45.0,18:06,32.36286583685743
98,Sunday,18:11,32.36286583685743,19:06,25.460033323905684
99,Monday,10:00,45.0,14:00,41.25
100,Tuesday,No trips,45.00,,45.00
101,Wednesday,09:00,45.0,15:00,41.25
102,Thursday,No trips,45.00,,45.00
103,Friday,09:00,45.0,15:00,41.25
104,Saturday,No trips,45.00,,45.00
105,Sunday,No trips,45.00,,45.00
106,Monday,10:00,45.0,14:00,41.25
107,Tuesday,No trips,45.00,,45.00
