Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,10:00,45.0,14:00,44.25
2,Tuesday,No trips,45.00,,45.00
3,Wednesday,09:00,45.0,15:00,44.25
4,Thursday,11:21,45.0,12:48,34.08487628743357
5,Friday,09:00,45.0,15:00,44.25
6,Saturday,16:19,45.0,17:57,32.72887192540885
6,Saturday,10:10,32.72887192540885,10:56,26.965448078174692
7,Sunday,19:42,45.0,20:26,39.51757263939774
8,Monday,10:00,45.0,14:00,44.25
9,Tuesday,No trips,45.00,,45.00
10,Wednesday,09:00,45.0,15:00,44.25
11,Thursday,No trips,45.00,,45.00
12,Friday,09:00,45.0,15:00,44.25
13,Saturday,No trips,45.00,,45.00
14,Sunday,10:21,45.0,11:36,35.61465258543719
15,Monday,10:00,45.0,14:00,44.25
16,Tuesday,No trips,45.00,,45.00
17,Wednesday,09:00,45.0,15:00,44.25
18,Thursday,No trips,45.00,,45.00
19,Friday,09:00,45.0,15:00,44.25
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,10:00,45.0,14:00,44.25
23,Tuesday,No trips,45.00,,45.00
24,Wednesday,09:00,45.0,15:00,44.25
25,Thursday,No trips,45.00,,45.00
26,Friday,09:00,45.0,15:00,44.25
27,Saturday,No trips,45.00,,45.00
28,Sunday,No trips,45.00,,45.00
29,Monday,10:00,45.0,14:00,44.25
30,Tuesday,No trips,45.00,,45.00
31,Wednesday,09:00,45.0,15:00,44.25
32,Thursday,13:40,45.0,14:56,35.44376688319935
33,Friday,09:00,45.0,15:00,44.25
34,Saturday,No trips,45.00,,45.00
35,Sunday,18:45,45.0,19:33,39.06618504772821
36,Monday,10:00,45.0,14:00,44.25
37,Tuesday,No trips,45.00,,45.00
38,Wednesday,09:00,45.0,15:00,44.25
39,Thursday,No trips,45.00,,45.00
40,Friday,09:00,45.0,15:00,44.25
41,Saturday,08:35,45.0,09:42,36.56823734017293
42,Sunday,09:07,45.0,09:49,39.77059667987133
43,Monday,10:00,45.0,14:00,44.25
44,Tuesday,No trips,45.00,,45.00
45,Wednesday,09:00,45.0,15:00,44.25
46,Thursday,No trips,45.00,,45.00
47,Friday,09:00,45.0,15:00,44.25
48,Saturday,No trips,45.00,,45.00
49,Sunday,No trips,45.00,,45.00
50,Monday,10:00,45.0,14:00,44.25
51,Tuesday,No trips,45.00,,45.00
52,Wednesday,09:00,45.0,15:00,44.25
53,Thursday,No trips,45.00,,45.00
54,Friday,09:00,45.0,15:00,44.25
55,Saturday,No trips,45.00,,45.00
56,Sunday,No trips,45.00,,45.00
57,Monday,10:00,45.0,14:00,44.25
58,Tuesday,No trips,45.00,,45.00
59,Wednesday,09:00,45.0,15:00,44.25
60,Thursday,11:28,45.0,12:40,35.99695390128497
60,Thursday,19:12,35.99695390128497,20:13,28.39495726085343
60,Thursday,18:57,28.39495726085343,20:46,15.0
61,Friday,09:00,45.0,15:00,44.25
62,Saturday,No trips,45.00,,45.00
63,Sunday,No trips,45.00,,45.00
64,Monday,10:00,45.0,14:00,44.25
65,Tuesday,No trips,45.00,,45.00
66,Wednesday,09:00,45.0,15:00,44.25
67,Thursday,No trips,45.00,,45.00
68,Friday,09:00,45.0,15:00,44.25
69,Saturday,No trips,45.00,,45.00
70,Sunday,19:27,45.0,21:27,30.011881819260935
71,Monday,10:00,45.0,14:00,44.25
72,Tuesday,No trips,45.00,,45.00
73,Wednesday,09:00,45.0,15:00,44.25
74,Thursday,No trips,45.00,,45.00
75,Friday,09:00,45.0,15:00,44.25
76,Saturday,No trips,45.00,,45.00
77,Sunday,No trips,45.00,,45.00
78,Monday,10:00,45.0,14:00,44.25
79,Tuesday,No trips,45.00,,45.00
80,Wednesday,09:00,45.0,15:00,44.25
81,Thursday,No trips,45.00,,45.00
