Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,08:04,45.0,17:59,40.083902985049434
1,Monday,10:00,40.083902985049434,14:00,37.833902985049434
2,Tuesday,07:55,45.0,17:55,40.90373430137763
3,Wednesday,08:13,45.0,18:11,40.69968741645387
3,Wednesday,09:00,40.69968741645387,15:00,38.44968741645387
4,Thursday,08:10,45.0,18:05,40.090658688858596
5,Friday,08:03,45.0,17:45,40.12552133365368
5,Friday,09:00,40.12552133365368,15:00,37.87552133365368
6,Saturday,No trips,45.00,,45.00
7,Sunday,No trips,45.00,,45.00
8,Monday,08:11,45.0,18:01,40.36314488171914
8,Monday,10:00,40.36314488171914,14:00,38.11314488171914
9,Tuesday,07:55,45.0,17:51,40.30304831937636
9,Tuesday,11:42,40.30304831937636,12:47,32.18064796935428
10,Wednesday,08:09,45.0,18:12,40.8752105330578
10,Wednesday,09:00,40.8752105330578,15:00,38.6252105330578
11,Thursday,07:56,45.0,17:58,40.72224955745691
12,Friday,07:47,45.0,17:48,40.83365821694092
12,Friday,09:00,40.83365821694092,15:00,38.58365821694092
13,Saturday,No trips,45.00,,45.00
14,Sunday,No trips,45.00,,45.00
15,Monday,07:46,45.0,17:50,40.38137383352552
15,Monday,10:00,40.38137383352552,14:00,38.13137383352552
16,Tuesday,07:48,45.0,17:49,40.61801618087677
17,Wednesday,07:49,45.0,18:03,40.940946114432826
17,Wednesday,09:00,40.940946114432826,15:00,38.690946114432826
18,Thursday,07:58,45.0,17:47,40.30801074146899
19,Friday,08:12,45.0,18:13,40.139865391990796
19,Friday,09:00,40.139865391990796,15:00,37.889865391990796
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,07:52,45.0,17:59,40.36375297796701
22,Monday,10:00,40.36375297796701,14:00,38.11375297796701
23,Tuesday,08:09,45.0,18:04,40.35215376777324
24,Wednesday,07:48,45.0,17:54,40.67205480471807
24,Wednesday,09:00,40.67205480471807,15:00,38.42205480471807
25,Thursday,08:12,45.0,18:00,40.10889556526553
26,Friday,08:14,45.0,17:57,40.79430341381836
26,Friday,09:00,40.79430341381836,15:00,38.54430341381836
27,Saturday,No trips,45.00,,45.00
28,Sunday,No trips,45.00,,45.00
29,Monday,07:53,45.0,18:04,40.46826642890082
29,Monday,10:00,40.46826642890082,14:00,38.21826642890082
30,Tuesday,07:52,45.0,18:02,40.060312401493434
31,Wednesday,08:05,45.0,18:13,40.813923535297114
31,Wednesday,09:00,40.813923535297114,15:00,38.563923535297114
32,Thursday,08:10,45.0,17:49,40.50562200087629
33,Friday,08:14,45.0,17:54,40.28985936040151
33,Friday,09:00,40.28985936040151,15:00,38.03985936040151
34,Saturday,No trips,45.00,,45.00
35,Sunday,19:44,45.0,20:25,39.85910020708437
35,Sunday,10:53,39.85910020708437,12:45,25.834175372892286
36,Monday,07:54,45.0,17:49,40.9464232241007
36,Monday,10:00,40.9464232241007,14:00,38.6964232241007
37,Tuesday,08:09,45.0,18:06,40.32834961334125
38,Wednesday,07:53,45.0,17:54,40.55937516546929
38,Wednesday,09:00,40.55937516546929,15:00,38.30937516546929
39,Thursday,08:06,45.0,17:46,40.79123792761499
