Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival
1,Monday,08:02,45.0,18:03,43.48989621830527
1,Monday,10:00,43.48989621830527,14:00,42.73989621830527
2,Tuesday,14:51,45.0,16:28,32.852935901329055
3,Wednesday,09:00,45.0,15:00,44.25
4,Thursday,10:00,45.0,11:06,36.71921218899852
4,Thursday,17:58,36.71921218899852,18:49,30.405947014618647
5,Friday,08:00,45.0,18:00,43.405522742382864
5,Friday,09:00,43.405522742382864,15:00,42.655522742382864
6,Saturday,17:33,45.0,18:47,35.79626873804667
7,Sunday,No trips,45.00,,45.00
8,Monday,08:06,45.0,18:03,43.35496738069722
8,Monday,10:00,43.35496738069722,14:00,42.60496738069722
9,Tuesday,16:47,45.0,18:20,33.38565713758513
10,Wednesday,09:00,45.0,15:00,44.25
11,Thursday,No trips,45.00,,45.00
12,Friday,07:47,45.0,18:00,43.39356872373899
12,Friday,09:00,43.39356872373899,15:00,42.64356872373899
13,Saturday,No trips,45.00,,45.00
14,Sunday,14:02,45.0,15:44,32.15237814214146
15,Monday,07:53,45.0,18:00,43.59203024121042
15,Monday,10:00,43.59203024121042,14:00,42.84203024121042
16,Tuesday,No trips,45.00,,45.00
17,Wednesday,09:00,45.0,15:00,44.25
18,Thursday,19:56,45.0,20:26,41.205939058252326
19,Friday,07:51,45.0,17:49,43.52208977046697
19,Friday,09:00,43.52208977046697,15:00,42.77208977046697
20,Saturday,No trips,45.00,,45.00
21,Sunday,No trips,45.00,,45.00
22,Monday,08:10,45.0,17:55,43.524013575974614
22,Monday,10:00,43.524013575974614,14:00,42.774013575974614
23,Tuesday,No trips,45.00,,45.00
24,Wednesday,09:00,45.0,15:00,44.25
25,Thursday,No trips,45.00,,45.00
26,Friday,07:53,45.0,18:03,43.61999879256401
26,Friday,09:00,43.61999879256401,15:00,42.86999879256401
27,Saturday,14:15,45.0,16:03,31.50989425793434
28,Sunday,No trips,45.00,,45.00
29,Monday,08:11,45.0,17:47,43.41963164113817
29,Monday,10:00,43.41963164113817,14:00,42.66963164113817
30,Tuesday,No trips,45.00,,45.00
31,Wednesday,09:00,45.0,15:00,44.25
32,Thursday,10:34,45.0,11:10,40.54768672792734
33,Friday,07:50,45.0,18:13,43.376592365017885
33,Friday,09:00,43.376592365017885,15:00,42.626592365017885
34,Saturday,No trips,45.00,,45.00
35,Sunday,No trips,45.00,,45.00
36,Monday,07:45,45.0,17:51,43.388958369536574
36,Monday,10:00,43.388958369536574,14:00,42.638958369536574
37,Tuesday,15:34,45.0,16:45,36.11845242691327
38,Wednesday,09:00,45.0,15:00,44.25
39,Thursday,No trips,45.00,,45.00
40,Friday,07:48,45.0,17:50,43.481073642403054
40,Friday,09:00,43.481073642403054,15:00,42.731073642403054
41,Saturday,11:09,45.0,12:49,32.44698647360933
42,Sunday,No trips,45.00,,45.00
43,Monday,08:06,45.0,17:54,43.39290404824506
43,Monday,10:00,43.39290404824506,14:00,42.64290404824506
44,Tuesday,No trips,45.00,,45.00
45,Wednesday,09:00,45.0,15:00,44.25
46,Thursday,No trips,45.00,,45.00
47,Friday,08:09,45.0,18:14,43.43277023563514
47,Friday,09:00,43.43277023563514,15:00,42.68277023563514
48,Saturday,No trips,45.00,,45.00
49,Sunday,14:23,45.0,15:00,40.29613464931232
50,Monday,07:46,45.0,18:13,43.37942169444159
50,Monday,10:00,43.37942169444159,14:00,42.62942169444159
51,Tuesday,13:56,45.0,15:07,36.09771053510763
52,Wednesday,09:00,45.0,15:00,44.25
53,Thursday,No trips,45.00,,45.00
54,Friday,07:49,45.0,17:48,43.37227650823618
54,Friday,09:00,43.37227650823618,15:00,42.62227650823618
55,Saturday,No trips,45.00,,45.00
56,Sunday,09:49,45.0,10:33,39.58014152732479
57,Monday,07:54,45.0,17:54,43.55675386860377
57,Monday,10:00,43.55675386860377,14:00,42.80675386860377
58,Tuesday,No trips,45.00,,45.00
59,Wednesday,09:00,45.0,15:00,44.25
60,Thursday,No trips,45.00,,45.00
61,Friday,08:00,45.0,17:53,43.55302874638852
61,Friday,09:00,43.55302874638852,15:00,42.80302874638852
62,Saturday,No trips,45.00,,45.00
63,Sunday,No trips,45.00,,45.00
64,Monday,07:51,45.0,18:14,43.56236279272633
64,Monday,10:00,43.56236279272633,14:00,42.81236279272633
65,Tuesday,19:20,45.0,21:20,30.079132030375657
66,Wednesday,09:00,45.0,15:00,44.25
67,Thursday,16:55,45.0,18:40,31.910596704724288
68,Friday,07:47,45.0,18:14,43.439056539681836
68,Friday,09:00,43.439056539681836,15:00,42.689056539681836
69,Saturday,No trips,45.00,,45.00
70,Sunday,No trips,45.00,,45.00
71,Monday,07:49,45.0,18:00,43.35275491615278
71,Monday,10:00,43.35275491615278,14:00,42.60275491615278
72,Tuesday,No trips,45.00,,45.00
73,Wednesday,09:00,45.0,15:00,44.25
74,Thursday,18:00,45.0,18:36,40.447420122946156
75,Friday,07:54,45.0,17:53,43.56154607560167
75,Friday,09:00,43.56154607560167,15:00,42.81154607560167
76,Saturday,No trips,45.00,,45.00
77,Sunday,No trips,45.00,,45.00
78,Monday,07:51,45.0,17:58,43.452208669898816
78,Monday,10:00,43.452208669898816,14:00,42.702208669898816
79,Tuesday,15:57,45.0,17:13,35.43169157015316
80,Wednesday,09:00,45.0,15:00,44.25
81,Thursday,No trips,45.00,,45.00
82,Friday,07:53,45.0,17:51,43.37303524710794
82,Friday,09:00,43.37303524710794,15:00,42.62303524710794
83,Saturday,No trips,45.00,,45.00
84,Sunday,No trips,45.00,,45.00
85,Monday,07:47,45.0,18:11,43.47504875739777
85,Monday,10:00,43.47504875739777,14:00,42.72504875739777
86,Tuesday,08:34,45.0,09:43,36.36729563956989
87,Wednesday,09:00,45.0,15:00,44.25
88,Thursday,No trips,45.00,,45.00
89,Friday,08:14,45.0,17:57,43.49352917996672
89,Friday,09:00,43.49352917996672,15:00,42.74352917996672
90,Saturday,No trips,45.00,,45.00
91,Sunday,No trips,45.00,,45.00
92,Monday,07:53,45.0,18:04,43.5631322433849
92,Monday,10:00,43.5631322433849,14:00,42.8131322433849
93,Tuesday,No trips,45.00,,45.00
94,Wednesday,09:00,45.0,15:00,44.25
95,Thursday,12:19,45.0,13:55,33.00544110982871
96,Friday,08:08,45.0,17:53,43.55156024634723
96,Friday,09:00,43.55156024634723,15:00,42.80156024634723
97,Saturday,No trips,45.00,,45.00
98,Sunday,No trips,45.00,,45.00
99,Monday,07:52,45.0,18:05,43.59917709633973
99,Monday,10:00,43.59917709633973,14:00,42.84917709633973
100,Tuesday,No trips,45.00,,45.00
101,Wednesday,09:00,45.0,15:00,44.25
102,Thursday,No trips,45.00,,45.00
103,Friday,08:04,45.0,18:08,43.56263707731438
103,Friday,09:00,43.56263707731438,15:00,42.81263707731438
104,Saturday,No trips,45.00,,45.00
105,Sunday,16:50,45.0,17:37,39.060778329215815
106,Monday,08:12,45.0,18:09,43.44359128590444
106,Monday,10:00,43.44359128590444,14:00,42.69359128590444
107,Tuesday,No trips,45.00,,45.00
108,Wednesday,09:00,45.0,15:00,44.25
109,Thursday,19:31,45.0,21:15,32.009526983295856
110,Friday,07:57,45.0,17:53,43.38844587204125
110,Friday,09:00,43.38844587204125,15:00,42.63844587204125
111,Saturday,No trips,45.00,,45.00
112,Sunday,No trips,45.00,,45.00
113,Monday,08:12,45.0,17:52,43.382640513607875
113,Monday,10:00,43.382640513607875,14:00,42.632640513607875
114,Tuesday,No trips,45.00,,45.00
115,Wednesday,09:00,45.0,15:00,44.25
116,Thursday,No trips,45.00,,45.00
117,Friday,07:50,45.0,18:06,43.493795819881846
117,Friday,09:00,43.493795819881846,15:00,42.743795819881846
118,Saturday,No trips,45.00,,45.00
119,Sunday,17:01,45.0,17:39,40.24308255999627
119,Sunday,11:25,40.24308255999627,13:05,27.68580799794439
120,Monday,07:49,45.0,17:54,43.503496924759396
120,Monday,10:00,43.503496924759396,14:00,42.753496924759396
121,Tuesday,No trips,45.00,,45.00
122,Wednesday,09:00,45.0,15:00,44.25
123,Thursday,11:48,45.0,13:39,31.1742012210308
124,Friday,07:49,45.0,18:02,43.515337054234045
124,Friday,09:00,43.515337054234045,15:00,42.765337054234045
125,Saturday,10:20,45.0,10:59,40.16237796680994
126,Sunday,11:44,45.0,13:15,33.66130693341508
127,Monday,08:02,45.0,18:14,43.602603413269065
127,Monday,10:00,43.602603413269065,14:00,42.852603413269065
128,Tuesday,No trips,45.00,,45.00
129,Wednesday,09:00,45.0,15:00,44.25
130,Thursday,No trips,45.00,,45.00
131,Friday,08:08,45.0,17:52,43.43985381277762
131,Friday,09:00,43.43985381277762,15:00,42.68985381277762
132,Saturday,No trips,45.00,,45.00
133,Sunday,No trips,45.00,,45.00
134,Monday,07:57,45.0,18:12,43.57780696707511
134,Monday,10:00,43.57780696707511,14:00,42.82780696707511
135,Tuesday,No trips,45.00,,45.00
136,Wednesday,09:00,45.0,15:00,44.25
137,Thursday,No trips,45.00,,45.00
138,Friday,08:01,45.0,17:59,43.36569207913309
138,Friday,09:00,43.36569207913309,15:00,42.61569207913309
139,Saturday,No trips,45.00,,45.00
140,Sunday,No trips,45.00,,45.00
141,Monday,07:55,45.0,17:52,43.53325027273467
141,Monday,10:00,43.53325027273467,14:00,42.78325027273467
142,Tuesday,15:06,45.0,16:55,31.362277926196025
142,Tuesday,13:59,31.362277926196025,15:38,19.033404746975897
143,Wednesday,09:00,45.0,15:00,44.25
144,Thursday,No trips,45.00,,45.00
145,Friday,07:46,45.0,17:45,43.545126733558114
145,Friday,09:00,43.545126733558114,15:00,42.795126733558114
146,Saturday,No trips,45.00,,45.00
147,Sunday,09:13,45.0,10:44,33.57625423886602
148,Monday,07:58,45.0,18:04,43.55079684042064
148,Monday,10:00,43.55079684042064,14:00,42.80079684042064
149,Tuesday,19:17,45.0,21:11,30.742533247376294
150,Wednesday,09:00,45.0,15:00,44.25
151,Thursday,08:11,45.0,10:04,30.914981447750637
152,Friday,07:52,45.0,18:11,43.64682173252624
152,Friday,09:00,43.64682173252624,15:00,42.89682173252624
153,Saturday,No trips,45.00,,45.00
154,Sunday,No trips,45.00,,45.00
155,Monday,07:54,45.0,17:58,43.39936359640228
155,Monday,10:00,43.39936359640228,14:00,42.64936359640228
156,Tuesday,No trips,45.00,,45.00
157,Wednesday,09:00,45.0,15:00,44.25
158,Thursday,No trips,45.00,,45.00
159,Friday,08:06,45.0,18:03,43.620614885660956
159,Friday,09:00,43.620614885660956,15:00,42.870614885660956
160,Saturday,No trips,45.00,,45.00
161,Sunday,No trips,45.00,,45.00
162,Monday,08:00,45.0,17:55,43.52631706931509
162,Monday,10:00,43.52631706931509,14:00,42.77631706931509
163,Tuesday,No trips,45.00,,45.00
164,Wednesday,09:00,45.0,15:00,44.25
