Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min)
1,Monday,08:04,32.00,17:53,23.81,49.95,600
2,Tuesday,08:08,32.00,18:06,24.31,46.88,600
3,Wednesday,07:52,32.00,18:11,23.38,52.57,600
3,Wednesday,19:26,23.38,20:08,22.81,3.49,8
4,Thursday,08:08,32.00,17:59,23.33,52.89,600
5,Friday,08:10,32.00,17:47,23.72,50.49,600
6,Saturday,No trips,32.0,,32.0
7,Sunday,10:38,32.00,11:26,31.34,4.01,10
8,Monday,07:58,32.00,17:45,23.60,51.25,600
8,Monday,11:41,23.60,12:49,22.66,5.69,14
9,Tuesday,08:10,32.00,17:51,24.27,47.12,600
10,Wednesday,07:53,32.00,17:50,24.30,46.93,600
11,Thursday,07:59,32.00,18:02,23.60,51.21,600
12,Friday,08:07,32.00,17:48,24.20,47.55,600
13,Saturday,No trips,32.0,,32.0
14,Sunday,No trips,32.0,,32.0
15,Monday,08:05,32.00,18:14,23.96,49.04,600
16,Tuesday,08:08,32.00,18:01,23.12,54.17,600
16,Tuesday,08:11,23.12,09:10,22.32,4.87,12
17,Wednesday,07:57,32.00,17:56,23.09,54.33,600
18,Thursday,07:53,32.00,18:08,24.13,47.97,600
19,Friday,08:01,32.00,18:10,23.80,50.00,600
20,Saturday,09:29,32.00,11:09,30.64,8.27,20
21,Sunday,15:14,32.00,16:53,30.64,8.28,20
22,Monday,07:54,32.00,17:54,23.89,49.46,600
23,Tuesday,08:11,32.00,18:09,23.74,50.38,600
24,Wednesday,07:49,32.00,18:01,23.76,50.23,600
25,Thursday,08:10,32.00,18:10,23.40,52.42,600
26,Friday,07:53,32.00,18:02,24.31,46.86,600
27,Saturday,No trips,32.0,,32.0
28,Sunday,No trips,32.0,,32.0
29,Monday,08:11,32.00,18:04,23.32,52.91,600
30,Tuesday,07:53,32.00,17:55,24.51,45.69,600
31,Wednesday,08:11,32.00,17:45,24.04,48.56,600
