Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min)
1,Monday,08:12,32.00,18:05,30.31,10.29,600
2,Tuesday,08:00,32.00,18:00,30.30,10.34,600
3,Wednesday,08:10,32.00,17:45,30.46,9.42,600
3,Wednesday,09:24,30.46,10:21,29.69,4.68,11
4,Thursday,08:03,32.00,17:49,30.38,9.88,600
5,Friday,08:02,32.00,17:45,30.21,10.91,600
6,Saturday,No trips,32.0,,32.0
7,Sunday,No trips,32.0,,32.0
8,Monday,08:08,32.00,17:56,30.33,10.17,600
8,Monday,16:41,30.33,17:32,29.62,4.32,10
8,Monday,16:52,29.62,18:17,28.47,7.04,17
9,Tuesday,07:55,32.00,17:59,30.25,10.67,600
10,Wednesday,08:01,32.00,18:07,30.48,9.28,600
11,Thursday,08:14,32.00,18:12,30.23,10.80,600
12,Friday,08:08,32.00,18:05,30.43,9.55,600
13,Saturday,No trips,32.0,,32.0
14,Sunday,No trips,32.0,,32.0
15,Monday,08:05,32.00,18:09,30.27,10.52,600
16,Tuesday,08:11,32.00,18:08,30.29,10.45,600
17,Wednesday,08:00,32.00,17:58,30.22,10.84,600
18,Thursday,07:48,32.00,18:05,30.33,10.20,600
19,Friday,07:56,32.00,18:12,30.38,9.88,600
20,Saturday,No trips,32.0,,32.0
21,Sunday,No trips,32.0,,32.0
22,Monday,07:46,32.00,18:12,30.41,9.68,600
23,Tuesday,08:05,32.00,18:05,30.40,9.74,600
24,Wednesday,07:45,32.00,17:46,30.34,10.14,600
25,Thursday,08:10,32.00,18:09,30.41,9.72,600
26,Friday,07:58,32.00,18:05,30.34,10.14,600
27,Saturday,No trips,32.0,,32.0
28,Sunday,No trips,32.0,,32.0
29,Monday,07:55,32.00,18:04,30.31,10.32,600
30,Tuesday,08:11,32.00,18:14,30.35,10.07,600
31,Wednesday,08:03,32.00,18:14,30.21,10.89,600
32,Thursday,08:05,32.00,18:06,30.28,10.47,600
33,Friday,08:02,32.00,17:52,30.24,10.72,600
34,Saturday,No trips,32.0,,32.0
35,Sunday,No trips,32.0,,32.0
36,Monday,08:01,32.00,18:07,30.45,9.48,600
37,Tuesday,08:03,32.00,17:50,30.30,10.35,600
37,Tuesday,18:34,30.30,19:19,29.69,3.76,9
38,Wednesday,08:04,32.00,17:50,30.41,9.72,600
39,Thursday,08:09,32.00,18:04,30.25,10.66,600
40,Friday,07:55,32.00,18:03,30.22,10.88,600
41,Saturday,No trips,32.0,,32.0
42,Sunday,No trips,32.0,,32.0
43,Monday,08:08,32.00,17:49,30.52,9.05,600
44,Tuesday,08:02,32.00,18:11,30.27,10.56,600
45,Wednesday,07:59,32.00,17:59,30.39,9.80,600
46,Thursday,07:50,32.00,17:45,30.39,9.84,600
47,Friday,07:45,32.00,17:59,30.45,9.47,600
47,Friday,15:34,30.45,16:53,29.37,6.57,16
48,Saturday,No trips,32.0,,32.0
49,Sunday,19:10,32.00,20:54,30.58,8.63,21
50,Monday,08:05,32.00,17:59,30.32,10.26,600
51,Tuesday,07:52,32.00,17:53,30.24,10.71,600
52,Wednesday,08:00,32.00,17:46,30.29,10.41,600
53,Thursday,07:55,32.00,18:01,30.48,9.29,600
54,Friday,07:51,32.00,17:47,30.29,10.41,600
55,Saturday,No trips,32.0,,32.0
56,Sunday,No trips,32.0,,32.0
57,Monday,08:13,32.00,18:06,30.45,9.44,600
58,Tuesday,07:53,32.00,18:04,30.30,10.34,600
59,Wednesday,08:08,32.00,18:13,30.39,9.80,600
60,Thursday,08:00,32.00,18:05,30.41,9.71,600
61,Friday,07:58,32.00,18:02,30.39,9.83,600
62,Saturday,No trips,32.0,,32.0
63,Sunday,12:02,32.00,13:55,30.45,9.46,23
64,Monday,08:10,32.00,17:55,30.49,9.22,600
65,Tuesday,08:03,32.00,17:46,30.32,10.23,600
66,Wednesday,08:10,32.00,18:07,30.25,10.67,600
66,Wednesday,16:44,30.25,17:27,29.67,3.53,8
67,Thursday,07:53,32.00,17:52,30.48,9.24,600
68,Friday,07:47,32.00,17:52,30.42,9.65,600
69,Saturday,No trips,32.0,,32.0
70,Sunday,No trips,32.0,,32.0
71,Monday,07:50,32.00,18:03,30.42,9.62,600
72,Tuesday,08:03,32.00,18:09,30.44,9.52,600
73,Wednesday,07:53,32.00,17:51,30.51,9.08,600
74,Thursday,07:55,32.00,17:55,30.23,10.77,600
74,Thursday,08:48,30.23,09:54,29.33,5.50,13
75,Friday,07:51,32.00,17:56,30.44,9.53,600
76,Saturday,No trips,32.0,,32.0
77,Sunday,No trips,32.0,,32.0
78,Monday,08:09,32.00,18:12,30.29,10.43,600
79,Tuesday,08:03,32.00,17:52,30.33,10.19,600
80,Wednesday,07:55,32.00,18:05,30.30,10.38,600
81,Thursday,08:06,32.00,17:56,30.42,9.65,600
82,Friday,08:08,32.00,18:13,30.36,9.98,600
82,Friday,18:47,30.36,19:35,29.70,4.02,10
83,Saturday,No trips,32.0,,32.0
84,Sunday,No trips,32.0,,32.0
85,Monday,08:03,32.00,18:06,30.51,9.07,600
86,Tuesday,08:10,32.00,17:47,30.40,9.77,600
87,Wednesday,07:53,32.00,17:57,30.31,10.31,600
88,Thursday,08:11,32.00,17:55,30.33,10.18,600
89,Friday,07:49,32.00,17:48,30.36,9.99,600
90,Saturday,No trips,32.0,,32.0
91,Sunday,No trips,32.0,,32.0
92,Monday,08:03,32.00,18:13,30.50,9.13,600
93,Tuesday,07:56,32.00,18:13,30.50,9.16,600
94,Wednesday,07:51,32.00,18:07,30.48,9.26,600
94,Wednesday,13:05,30.48,14:51,29.04,8.80,21
95,Thursday,07:57,32.00,17:54,30.42,9.66,600
96,Friday,08:11,32.00,18:07,30.29,10.45,600
97,Saturday,No trips,32.0,,32.0
98,Sunday,No trips,32.0,,32.0
99,Monday,08:06,32.00,18:01,30.22,10.84,600
100,Tuesday,07:57,32.00,18:07,30.48,9.27,600
101,Wednesday,07:50,32.00,18:01,30.50,9.15,600
102,Thursday,07:58,32.00,17:51,30.44,9.54,600
103,Friday,08:02,32.00,17:56,30.48,9.26,600
104,Saturday,No trips,32.0,,32.0
105,Sunday,No trips,32.0,,32.0
106,Monday,07:49,32.00,18:07,30.30,10.35,600
107,Tuesday,07:52,32.00,17:49,30.52,9.03,600
108,Wednesday,07:59,32.00,17:50,30.48,9.29,600
109,Thursday,08:08,32.00,18:10,30.51,9.06,600
110,Friday,08:11,32.00,18:13,30.50,9.16,600
110,Friday,12:17,30.50,13:01,29.89,3.69,9
111,Saturday,No trips,32.0,,32.0
