WFH Type,EV Charging Policy,Operation Policy,Battery,PV,Cost
1,naive,unidirectional,15.1875,4.8,17193.8
1,naive,most_sustainable,15.1875,4.71429,17022.3
1,naive,min_storage,14.625,4.65714,16626.8
1,naive,maximise_solar_charging,10.125,4.31429,13691.1
1,last,unidirectional,13.5,4.51429,15778.6
1,last,most_sustainable,13.5,4.22857,15207.1
1,last,min_storage,15.1875,3.91429,15422.3
1,last,maximise_solar_charging,11.25,4.88571,15396.4
1,min_cost,unidirectional,14.0625,4.6,16231.2
1,min_cost,most_sustainable,14.0625,4.45714,15945.5
1,min_cost,min_storage,18.5625,4.11429,17509.8
1,min_cost,maximise_solar_charging,10.6875,4.88571,15115.2
2,naive,unidirectional,12.9375,4.34286,15154.5
2,naive,most_sustainable,12.375,4.45714,15101.8
2,naive,min_storage,12.375,4.31429,14816.1
2,naive,maximise_solar_charging,10.125,3.51429,12091.1
2,last,unidirectional,12.375,4.28571,14758.9
2,last,most_sustainable,10.125,5.14286,15348.2
2,last,min_storage,13.5,2.85714,12464.3
2,last,maximise_solar_charging,5.0625,4.02857,10588.4
2,min_cost,unidirectional,12.375,4.28571,14758.9
2,min_cost,most_sustainable,11.25,4.14286,13910.7
2,min_cost,min_storage,28.125,3.4,20862.5
2,min_cost,maximise_solar_charging,5.0625,2.97143,8474.11
3,naive,unidirectional,11.8125,4.2,14306.2
3,naive,most_sustainable,11.25,4.8,15225
3,naive,min_storage,11.25,4.31429,14253.6
3,naive,maximise_solar_charging,9.5625,3.65714,12095.5
3,last,unidirectional,11.8125,4.17143,14249.1
3,last,most_sustainable,10.125,3.91429,12891.1
3,last,min_storage,10.6875,4.05714,13458
3,last,maximise_solar_charging,0,0.8,1600
3,min_cost,unidirectional,11.8125,4.17143,14249.1
3,min_cost,most_sustainable,9.5625,5.45714,15695.5
3,min_cost,min_storage,30.9375,3.94286,23354.5
3,min_cost,maximise_solar_charging,0,0.8,1600
