Number,Operation Policy,WFH Type,Battery,PV,Cost
114,optimal_unidirectional,1,14.1,8.05714,16557.4
114,safe_unidirectional,1,17.3,8.22857,18243.7
114,hybrid_unidirectional,1,16.1,8.2,17656.0
114,optimal_bidirectional,1,0.1,5.05714,6367.43
114,hybrid_bidirectional,1,1.7,5.94286,8210.57
114,safe_bidirectional,1,17.0,8.17143,18034.3
114,optimal_unidirectional,2,14.3,8.02857,16613.7
114,safe_unidirectional,2,15.25,8.05714,17086.4
114,hybrid_unidirectional,2,14.8,8.02857,16843.7
114,optimal_bidirectional,2,0.15,6.42857,8104.71
114,hybrid_bidirectional,2,0.1,6.54286,8224.57
114,safe_bidirectional,2,14.9,8.0,16854.0
114,optimal_unidirectional,3,13.9,8.0,16394.0
114,safe_unidirectional,3,14.0,8.0,16440.0
114,hybrid_unidirectional,3,13.9,8.0,16394.0
114,optimal_bidirectional,3,0.1,6.8,8546.0
114,hybrid_bidirectional,3,0.1,6.8,8546.0
114,safe_bidirectional,3,13.4,8.05714,16235.4
171,optimal_unidirectional,1,9.4,5.85714,11645.4
171,safe_unidirectional,1,13.65,6.22857,14064.7
171,hybrid_unidirectional,1,12.25,6.08571,13242.1
171,optimal_bidirectional,1,0.1,2.42857,3081.71
171,hybrid_bidirectional,1,2.05,4.02857,5978.71
171,safe_bidirectional,1,13.3,6.17143,13832.3
171,optimal_unidirectional,2,9.45,5.88571,11704.1
171,safe_unidirectional,2,10.95,5.91429,12429.9
171,hybrid_unidirectional,2,10.1,5.91429,12038.9
171,optimal_bidirectional,2,0.1,4.11429,5188.86
171,hybrid_bidirectional,2,0.1,4.08571,5153.14
171,safe_bidirectional,2,10.6,5.85714,12197.4
171,optimal_unidirectional,3,9.3,5.74286,11456.6
171,safe_unidirectional,3,9.5,5.71429,11512.9
171,hybrid_unidirectional,3,9.3,5.74286,11456.6
171,optimal_bidirectional,3,0.0,0.8,1000.0
171,hybrid_bidirectional,3,0.0,0.8,1000.0
171,safe_bidirectional,3,8.9,5.74286,11272.6
1792,optimal_unidirectional,1,13.7,6.65714,14623.4
1792,safe_unidirectional,1,16.45,6.88571,16174.1
1792,hybrid_unidirectional,1,15.5,6.8,15630.0
1792,optimal_bidirectional,1,0.0,0.8,1000.0
1792,hybrid_bidirectional,1,1.15,3.82857,5314.71
1792,safe_bidirectional,1,16.0,6.8,15860.0
1792,optimal_unidirectional,2,13.7,6.68571,14659.1
1792,safe_unidirectional,2,14.65,6.68571,15096.1
1792,hybrid_unidirectional,2,14.15,6.68571,14866.1
1792,optimal_bidirectional,2,0.0,0.8,1000.0
1792,hybrid_bidirectional,2,0.1,5.0,6296.0
1792,safe_bidirectional,2,14.2,6.65714,14853.4
1792,optimal_unidirectional,3,13.5,6.6,14460.0
1792,safe_unidirectional,3,13.65,6.6,14529.0
1792,hybrid_unidirectional,3,13.55,6.57143,14447.3
1792,optimal_bidirectional,3,0.0,0.8,1000.0
1792,hybrid_bidirectional,3,0.0,0.8,1000.0
1792,safe_bidirectional,3,13.05,6.6,14253.0
370,optimal_unidirectional,1,17.25,7.8,17685.0
370,safe_unidirectional,1,19.9,8.45714,19725.4
370,hybrid_unidirectional,1,19.2,8.14286,19010.6
370,optimal_bidirectional,1,0.15,5.17143,6533.29
