Number,Operation Policy,WFH Type,Battery,PV,Cost
114,optimal_unidirectional,1,11.3,4.8,11198.0
114,safe_unidirectional,1,14.2,5.08571,12889.1
114,hybrid_unidirectional,1,13.3,5.2,12618.0
114,optimal_bidirectional,1,2.7,0.171429,1456.29
114,hybrid_bidirectional,1,6.7,5.02857,9367.71
114,safe_bidirectional,1,13.6,5.2,12756.0
114,optimal_unidirectional,2,11.3,4.8,11198.0
114,safe_unidirectional,2,12.3,4.8,11658.0
114,hybrid_unidirectional,2,10.9,5.14286,11442.6
114,optimal_bidirectional,2,3.0,1.42857,3165.71
114,hybrid_bidirectional,2,1.9,4.68571,6731.14
114,safe_bidirectional,2,12.2,4.74286,11540.6
114,optimal_unidirectional,3,11.1,4.8,11106.0
114,safe_unidirectional,3,11.1,4.8,11106.0
114,hybrid_unidirectional,3,11.1,4.8,11106.0
114,optimal_bidirectional,3,1.9,3.2,4874.0
114,hybrid_bidirectional,3,1.8,3.82857,5613.71
114,safe_bidirectional,3,11.4,4.68571,11101.1
171,optimal_unidirectional,1,6.0,3.54286,7188.57
171,safe_unidirectional,1,8.6,3.88571,8813.14
171,hybrid_unidirectional,1,8.1,3.88571,8583.14
171,optimal_bidirectional,1,0.0,0.8,1000.0
171,hybrid_bidirectional,1,5.8,3.6,7168.0
171,safe_bidirectional,1,8.8,3.82857,8833.71
171,optimal_unidirectional,2,6.2,3.6,7352.0
171,safe_unidirectional,2,7.3,3.48571,7715.14
171,hybrid_unidirectional,2,6.5,3.6,7490.0
171,optimal_bidirectional,2,3.8,0.228571,2033.71
171,hybrid_bidirectional,2,0.9,3.6,4914.0
171,safe_bidirectional,2,6.8,3.6,7628.0
171,optimal_unidirectional,3,6.1,3.48571,7163.14
171,safe_unidirectional,3,6.1,3.54286,7234.57
171,hybrid_unidirectional,3,6.1,3.48571,7163.14
171,optimal_bidirectional,3,1.3,2.34286,3526.57
171,hybrid_bidirectional,3,0.9,3.08571,4271.14
171,safe_bidirectional,3,5.9,3.48571,7071.14
252,optimal_unidirectional,1,17.5,7.82857,17835.7
252,safe_unidirectional,1,20.1,8.0,19246.0
252,hybrid_unidirectional,1,19.5,8.0,18970.0
252,optimal_bidirectional,1,2.6,3.6,5696.0
252,hybrid_bidirectional,1,10.3,7.88571,14595.1
252,safe_bidirectional,1,19.9,8.0,19154.0
252,optimal_unidirectional,2,18.2,7.48571,17729.1
252,safe_unidirectional,2,18.2,7.88571,18229.1
252,hybrid_unidirectional,2,17.5,7.88571,17907.1
252,optimal_bidirectional,2,2.4,5.54286,8032.57
252,hybrid_bidirectional,2,4.6,7.65714,11687.4
252,safe_bidirectional,2,18.3,7.82857,18203.7
252,optimal_unidirectional,3,17.6,7.65714,17667.4
252,safe_unidirectional,3,18.2,7.48571,17729.1
252,hybrid_unidirectional,3,18.2,7.42857,17657.7
252,optimal_bidirectional,3,3.0,6.68571,9737.14
252,hybrid_bidirectional,3,2.4,7.42857,10389.7
252,safe_bidirectional,3,17.5,7.48571,17407.1
370,optimal_unidirectional,1,10.1,5.6,11646.0
370,safe_unidirectional,1,12.5,6.0,13250.0
370,hybrid_unidirectional,1,11.8,6.05714,12999.4
370,optimal_bidirectional,1,1.6,1.08571,2093.14
370,hybrid_bidirectional,1,7.7,5.6,10542.0
370,safe_bidirectional,1,11.9,6.17143,13188.3
370,optimal_unidirectional,2,10.0,5.6,11600.0
370,safe_unidirectional,2,10.4,5.88571,12141.1
370,hybrid_unidirectional,2,10.5,5.6,11830.0
370,optimal_bidirectional,2,1.8,2.57143,4042.29
370,hybrid_bidirectional,2,1.6,5.6,7736.0
370,safe_bidirectional,2,11.2,5.54286,12080.6
370,optimal_unidirectional,3,9.7,5.6,11462.0
370,safe_unidirectional,3,10.1,5.48571,11503.1
370,hybrid_unidirectional,3,10.4,5.37143,11498.3
370,optimal_bidirectional,3,1.2,4.4,6052.0
370,hybrid_bidirectional,3,1.0,5.08571,6817.14
370,safe_bidirectional,3,9.9,5.48571,11411.1
545,optimal_unidirectional,1,6.8,5.54286,10056.6
545,safe_unidirectional,1,8.2,6.22857,11557.7
545,hybrid_unidirectional,1,8.3,6.0,11318.0
545,optimal_bidirectional,1,2.9,1.02857,2619.71
545,hybrid_bidirectional,1,4.6,5.6,9116.0
545,safe_bidirectional,1,9.3,5.82857,11563.7
545,optimal_unidirectional,2,6.1,5.82857,10091.7
545,safe_unidirectional,2,7.1,5.82857,10551.7
545,hybrid_unidirectional,2,6.5,5.77143,10204.3
545,optimal_bidirectional,2,3.9,1.94286,4222.57
545,hybrid_bidirectional,2,2.2,4.97143,7226.29
545,safe_bidirectional,2,6.2,6.0,10352.0
545,optimal_unidirectional,3,7.5,5.2,9950.0
545,safe_unidirectional,3,6.6,5.6,10036.0
545,hybrid_unidirectional,3,6.5,5.6,9990.0
545,optimal_bidirectional,3,3.1,3.6,5926.0
545,hybrid_bidirectional,3,2.7,4.22857,6527.71
545,safe_bidirectional,3,7.3,5.2,9858.0
744,optimal_unidirectional,1,17.9,3.2,12234.0
744,safe_unidirectional,1,19.5,3.77143,13684.3
744,hybrid_unidirectional,1,19.4,3.6,13424.0
744,optimal_bidirectional,1,0.2,2.11429,2734.86
744,hybrid_bidirectional,1,12.0,3.82857,10305.7
744,safe_bidirectional,1,19.4,3.88571,13781.1
744,optimal_unidirectional,2,18.1,3.25714,12397.4
744,safe_unidirectional,2,18.4,3.37143,12678.3
744,hybrid_unidirectional,2,18.3,3.2,12418.0
744,optimal_bidirectional,2,2.7,1.77143,3456.29
744,hybrid_bidirectional,2,4.4,4.0,7024.0
744,safe_bidirectional,2,17.7,3.6,12642.0
744,optimal_unidirectional,3,17.1,3.42857,12151.7
744,safe_unidirectional,3,16.9,3.6,12274.0
744,hybrid_unidirectional,3,17.3,3.42857,12243.7
744,optimal_bidirectional,3,4.5,2.4,5070.0
744,hybrid_bidirectional,3,3.9,3.2,5794.0
744,safe_bidirectional,3,17.7,3.2,12142.0
890,optimal_unidirectional,1,5.8,4.45714,8239.43
890,safe_unidirectional,1,8.5,4.8,9910.0
890,hybrid_unidirectional,1,8.0,4.8,9680.0
890,optimal_bidirectional,1,1.2,1.14286,1980.57
890,hybrid_bidirectional,1,4.8,4.8,8208.0
890,safe_bidirectional,1,7.7,5.02857,9827.71
890,optimal_unidirectional,2,7.3,3.94286,8286.57
890,safe_unidirectional,2,5.7,4.97143,8836.29
890,hybrid_unidirectional,2,5.7,4.74286,8550.57
890,optimal_bidirectional,2,3.6,1.14286,3084.57
890,hybrid_bidirectional,2,3.7,3.6,6202.0
890,safe_bidirectional,2,5.8,4.8,8668.0
890,optimal_unidirectional,3,6.8,4.0,8128.0
890,safe_unidirectional,3,6.8,4.05714,8199.43
890,hybrid_unidirectional,3,6.8,4.0,8128.0
890,optimal_bidirectional,3,3.3,2.74286,4946.57
890,hybrid_bidirectional,3,2.6,3.54286,5624.57
890,safe_bidirectional,3,6.8,3.94286,8056.57
1103,optimal_unidirectional,1,7.3,1.82857,5643.71
1103,safe_unidirectional,1,9.0,2.4,7140.0
1103,hybrid_unidirectional,1,8.8,2.34286,6976.57
1103,optimal_bidirectional,1,0.3,0.171429,352.286
1103,hybrid_bidirectional,1,5.8,2.4,5668.0
1103,safe_bidirectional,1,8.9,2.4,7094.0
1103,optimal_unidirectional,2,6.9,2.0,5674.0
1103,safe_unidirectional,2,7.9,2.0,6134.0
1103,hybrid_unidirectional,2,7.3,1.94286,5786.57
1103,optimal_bidirectional,2,0.0,0.8,1000.0
1103,hybrid_bidirectional,2,1.7,2.17143,3496.29
1103,safe_bidirectional,2,7.6,2.0,5996.0
1103,optimal_unidirectional,3,6.9,1.94286,5602.57
1103,safe_unidirectional,3,7.5,1.77143,5664.29
1103,hybrid_unidirectional,3,7.1,1.88571,5623.14
1103,optimal_bidirectional,3,1.7,1.25714,2353.43
1103,hybrid_bidirectional,3,1.2,1.88571,2909.14
1103,safe_bidirectional,3,6.7,1.88571,5439.14
1169,optimal_unidirectional,1,7.2,3.08571,7169.14
1169,safe_unidirectional,1,9.7,3.48571,8819.14
1169,hybrid_unidirectional,1,9.0,3.54286,8568.57
1169,optimal_bidirectional,1,0.0,0.8,1000.0
1169,hybrid_bidirectional,1,5.9,3.2,6714.0
1169,safe_bidirectional,1,9.7,3.42857,8747.71
1169,optimal_unidirectional,2,7.1,3.2,7266.0
1169,safe_unidirectional,2,8.3,3.08571,7675.14
1169,hybrid_unidirectional,2,8.0,2.97143,7394.29
1169,optimal_bidirectional,2,1.5,0.628571,1475.71
1169,hybrid_bidirectional,2,1.7,2.85714,4353.43
1169,safe_bidirectional,2,7.8,3.2,7588.0
1169,optimal_unidirectional,3,7.2,3.08571,7169.14
1169,safe_unidirectional,3,7.1,3.14286,7194.57
1169,hybrid_unidirectional,3,7.1,3.08571,7123.14
1169,optimal_bidirectional,3,1.2,2.0,3052.0
1169,hybrid_bidirectional,3,1.2,2.4,3552.0
1169,safe_bidirectional,3,8.0,2.68571,7037.14
1192,optimal_unidirectional,1,7.4,2.8,6904.0
1192,safe_unidirectional,1,8.7,3.6,8502.0
1192,hybrid_unidirectional,1,8.8,3.42857,8333.71
1192,optimal_bidirectional,1,2.1,0.171429,1180.29
1192,hybrid_bidirectional,1,5.4,3.6,6984.0
1192,safe_bidirectional,1,8.6,3.6,8456.0
1192,optimal_unidirectional,2,6.5,3.2,6990.0
1192,safe_unidirectional,2,7.4,3.25714,7475.43
1192,hybrid_unidirectional,2,7.8,2.8,7088.0
1192,optimal_bidirectional,2,1.4,1.31429,2286.86
1192,hybrid_bidirectional,2,2.1,3.08571,4823.14
1192,safe_bidirectional,2,6.7,3.42857,7367.71
1192,optimal_unidirectional,3,7.3,2.8,6858.0
1192,safe_unidirectional,3,6.3,3.2,6898.0
1192,hybrid_unidirectional,3,7.6,2.74286,6924.57
1192,optimal_bidirectional,3,2.5,2.05714,3721.43
1192,hybrid_bidirectional,3,2.7,2.4,4242.0
1192,safe_bidirectional,3,7.2,2.8,6812.0
1792,optimal_unidirectional,1,9.9,3.2,8554.0
1792,safe_unidirectional,1,11.3,4.0,10198.0
1792,hybrid_unidirectional,1,10.3,4.28571,10095.1
1792,optimal_bidirectional,1,2.3,0.114286,1200.86
1792,hybrid_bidirectional,1,6.3,3.94286,7826.57
1792,safe_bidirectional,1,10.5,4.28571,10187.1
1792,optimal_unidirectional,2,9.2,3.48571,8589.14
1792,safe_unidirectional,2,10.1,3.6,9146.0
1792,hybrid_unidirectional,2,9.6,3.48571,8773.14
1792,optimal_bidirectional,2,1.9,1.2,2374.0
1792,hybrid_bidirectional,2,1.9,3.54286,5302.57
1792,safe_bidirectional,2,9.0,3.88571,8997.14
1792,optimal_unidirectional,3,9.2,3.48571,8589.14
