WFH Type,Operation Policy,Battery,PV,Cost
1,hybrid_bidirectional,1.75,4.779999,6780.0
1,hybrid_unidirectional,11.85,7.028576000000001,14236.73
1,optimal_bidirectional,0.35,1.9542860000000004,2603.859
1,optimal_unidirectional,10.95,7.028575000000001,13822.723000000002
1,safe_bidirectional,12.8,6.985715000000001,14620.15
1,safe_unidirectional,13.1,7.100004,14901.007000000001
2,hybrid_bidirectional,0.45,3.5285709999999995,4617.715
2,hybrid_unidirectional,11.1,6.942858999999999,13784.59
2,optimal_bidirectional,0.15,2.225715,2851.147
2,optimal_unidirectional,11.0,6.885719,13667.146000000002
2,safe_bidirectional,11.1,6.957141,13802.416000000001
2,safe_unidirectional,11.55,7.000003000000001,14063.003999999997
3,hybrid_bidirectional,0.05,1.7771400000000004,2244.43
3,hybrid_unidirectional,10.9,6.828577,13549.726
3,optimal_bidirectional,0.05,1.7771400000000004,2244.43
3,optimal_unidirectional,10.9,6.828577,13549.726
3,safe_bidirectional,10.6,6.857146999999999,13447.435999999998
3,safe_unidirectional,10.95,6.857143000000001,13608.423
