WFH Type,Operation Policy,Battery,PV,Cost
1,hybrid_bidirectional,2.12,4.571429,6689.486
1,hybrid_unidirectional,11.68,6.234285999999999,13165.659999999998
1,optimal_bidirectional,0.43500000000000005,2.3914280000000003,3189.386
1,optimal_unidirectional,9.875000000000002,6.119999,12192.493
1,safe_bidirectional,12.35,6.231429,13470.289999999999
1,safe_unidirectional,12.59,6.317141,13687.810000000001
2,hybrid_bidirectional,0.12000000000000002,5.625712,7087.344
2,hybrid_unidirectional,10.355,6.125714,12420.439999999999
2,optimal_bidirectional,0.08499999999999999,4.177142,5260.5289999999995
2,optimal_unidirectional,9.930000000000001,6.117141999999999,12214.221000000001
2,safe_bidirectional,10.600000000000001,6.074284999999999,12468.847
2,safe_unidirectional,10.879999999999999,6.12,12654.797
3,hybrid_bidirectional,0.05,3.445712999999999,4330.139
3,hybrid_unidirectional,9.784999999999998,6.025714,12033.244
3,optimal_bidirectional,0.04,2.622856,3296.971
3,optimal_unidirectional,9.78,6.02857,12034.504
3,safe_bidirectional,9.46,6.039999,11901.586000000001
3,safe_unidirectional,9.925,6.017142,12086.923
