WFH Type,Commute Distance,Battery,PV,Cost
1,S,25.625,10.0,24287.5
1,M,25.625,10.0,24287.5
1,L,26.25,9.8,24325.0
2,S,25.625,10.0,24287.5
2,M,26.25,9.8,24325.0
2,L,25.625,10.0,24287.5
3,S,25.0,10.4,24500.0
3,M,26.25,9.8,24325.0
3,L,26.25,10.0,24575.0
1,S,13.125,7.0,14787.5
1,M,13.125,7.0,14787.5
1,L,13.125,7.0,14787.5
2,S,13.125,7.0,14787.5
2,M,13.125,7.0,14787.5
2,L,13.125,7.0,14787.5
3,S,13.125,7.2,15037.5
3,M,12.5,7.4,15000.0
3,L,13.75,7.0,15075.0
1,S,36.25,18.6,39925.0
1,M,36.25,18.6,39925.0
1,L,36.25,18.6,39925.0
2,S,36.25,18.6,39925.0
2,M,35.625,18.8,39887.5
2,L,36.25,18.6,39925.0
3,S,36.875,18.4,39962.5
3,M,36.25,18.6,39925.0
3,L,37.5,18.2,40000.0
1,S,21.875,12.0,25062.5
1,M,21.875,12.0,25062.5
1,L,22.5,11.8,25100.0
2,S,21.875,12.0,25062.5
2,M,21.875,12.0,25062.5
2,L,21.875,12.0,25062.5
3,S,20.625,12.6,25237.5
3,M,22.5,11.8,25100.0
3,L,21.875,12.2,25312.5
1,S,16.875,11.8,22512.5
1,M,16.875,11.8,22512.5
1,L,16.875,11.8,22512.5
2,S,16.875,11.8,22512.5
2,M,16.875,11.8,22512.5
2,L,16.875,11.8,22512.5
3,S,16.875,11.8,22512.5
3,M,16.875,11.8,22512.5
3,L,16.875,11.8,22512.5
1,S,31.875,10.8,28162.5
1,M,31.875,10.8,28162.5
1,L,31.875,10.8,28162.5
2,S,31.875,10.8,28162.5
2,M,31.875,10.8,28162.5
2,L,31.875,10.8,28162.5
3,S,31.875,10.8,28162.5
3,M,31.875,10.8,28162.5
3,L,31.875,10.8,28162.5
1,S,14.375,10.0,19112.5
1,M,14.375,10.0,19112.5
1,L,14.375,10.0,19112.5
2,S,14.375,10.0,19112.5
2,M,14.375,10.0,19112.5
2,L,14.375,10.0,19112.5
3,S,14.375,10.0,19112.5
3,M,14.375,10.0,19112.5
3,L,15.0,9.8,19150.0
1,S,16.25,5.2,13975.0
1,M,16.25,5.2,13975.0
1,L,16.25,5.2,13975.0
2,S,15.625,5.4,13937.5
2,M,15.625,5.4,13937.5
2,L,16.25,5.2,13975.0
3,S,15.0,5.8,14150.0
3,M,16.25,5.2,13975.0
3,L,15.625,5.6,14187.5
1,S,16.875,7.0,16512.5
1,M,16.875,7.0,16512.5
1,L,17.5,6.8,16550.0
2,S,16.875,7.0,16512.5
2,M,16.875,7.0,16512.5
2,L,16.875,7.0,16512.5
3,S,17.5,6.8,16550.0
3,M,17.5,6.8,16550.0
3,L,16.875,7.2,16762.5
1,S,11.25,8.0,15175.0
1,M,11.25,8.0,15175.0
1,L,11.25,8.0,15175.0
2,S,11.25,8.0,15175.0
2,M,11.25,8.0,15175.0
2,L,11.25,8.0,15175.0
3,S,11.875,7.8,15212.5
3,M,11.25,8.0,15175.0
3,L,11.875,7.8,15212.5
