WFH Type,Commute Distance,Battery,PV,Cost
1,S,36.25,12.8,32675.0
1,M,38.75,13.8,35075.0
1,L,41.25,14.8,37475.0
2,S,35.625,12.6,32137.5
2,M,35.625,13.6,33387.5
2,L,36.25,13.8,33925.0
3,S,34.375,12.8,31812.5
3,M,34.375,12.8,31812.5
3,L,34.375,12.8,31812.5
1,S,16.875,9.8,20012.5
1,M,19.375,10.6,22162.5
1,L,21.25,12.0,24775.0
2,S,16.25,9.6,19475.0
2,M,17.5,10.0,20550.0
2,L,18.75,10.0,21125.0
3,S,16.875,9.0,19012.5
3,M,16.875,9.0,19012.5
3,L,17.5,8.8,19050.0
1,S,46.25,24.8,52275.0
1,M,46.25,26.2,54025.0
1,L,48.125,27.0,55887.5
2,S,45.625,24.8,51987.5
2,M,46.25,25.0,52525.0
2,L,48.125,25.0,53387.5
3,S,46.25,24.2,51525.0
3,M,46.875,24.0,51562.5
3,L,46.875,24.0,51562.5
1,S,30.625,15.8,33837.5
1,M,33.125,16.8,36237.5
1,L,36.875,17.2,38462.5
2,S,31.25,15.0,33125.0
2,M,31.25,16.0,34375.0
2,L,32.5,16.2,35200.0
3,S,30.0,15.2,32800.0
3,M,30.0,15.2,32800.0
3,L,30.625,15.0,32837.5
1,S,25.625,14.4,29787.5
1,M,28.125,14.8,31437.5
1,L,30.625,15.4,33337.5
2,S,25.625,14.0,29287.5
2,M,26.25,14.4,30075.0
2,L,26.875,14.6,30612.5
3,S,25.625,13.8,29037.5
3,M,25.625,13.8,29037.5
3,L,25.0,14.2,29250.0
1,S,38.75,12.6,33575.0
1,M,39.375,12.8,34112.5
1,L,40.0,13.2,34900.0
2,S,38.75,12.6,33575.0
2,M,38.75,12.8,33825.0
2,L,39.375,12.6,33862.5
3,S,38.75,12.4,33325.0
3,M,39.375,12.2,33362.5
3,L,38.75,12.4,33325.0
1,S,20.625,12.0,24487.5
1,M,21.875,12.6,25812.5
1,L,24.375,13.2,27712.5
2,S,20.625,11.6,23987.5
2,M,20.625,12.2,24737.5
2,L,21.25,12.4,25275.0
3,S,20.625,11.6,23987.5
3,M,20.625,11.6,23987.5
3,L,20.625,11.6,23987.5
1,S,20.0,6.4,17200.0
1,M,20.625,7.2,18487.5
1,L,23.125,7.6,20137.5
2,S,20.0,6.2,16950.0
2,M,20.0,6.6,17450.0
2,L,20.0,7.0,17950.0
3,S,19.375,6.4,16912.5
3,M,19.375,6.4,16912.5
3,L,20.0,6.2,16950.0
1,S,23.125,9.2,22137.5
1,M,24.375,10.4,24212.5
1,L,26.875,11.2,26362.5
2,S,23.125,8.8,21637.5
2,M,24.375,9.0,22462.5
2,L,23.75,9.8,23175.0
3,S,21.875,9.0,21312.5
3,M,22.5,8.8,21350.0
3,L,22.5,8.8,21350.0
1,S,16.875,9.4,19512.5
1,M,18.125,10.2,21087.5
1,L,20.625,10.8,22987.5
2,S,16.25,9.4,19225.0
2,M,17.5,9.4,19800.0
2,L,17.5,9.8,20300.0
3,S,16.25,9.2,18975.0
3,M,16.875,9.0,19012.5
3,L,16.25,9.4,19225.0
