WFH Type,Commute Distance,Battery,PV,Cost
1,S,10.0,6.8,13100.0
1,M,10.625,7.0,13637.5
1,L,11.875,7.4,14712.5
2,S,1.25,7.8,10325.0
2,M,1.875,7.6,10362.5
2,L,1.875,7.6,10362.5
3,S,0.625,6.2,8037.5
3,M,0.625,6.4,8287.5
3,L,0.625,6.8,8787.5
1,S,2.5,4.6,6900.0
1,M,3.125,5.0,7687.5
1,L,3.125,5.6,8437.5
2,S,0.0,0.8,1000.0
2,M,1.25,5.0,6825.0
2,L,1.25,4.8,6575.0
3,S,0.0,0.8,1000.0
3,M,0.0,0.8,1000.0
3,L,0.0,0.8,1000.0
1,S,18.125,13.2,24837.5
1,M,18.125,14.0,25837.5
1,L,20.625,14.2,27237.5
2,S,10.0,14.6,22850.0
2,M,11.25,14.6,23425.0
2,L,12.5,14.4,23750.0
3,S,6.875,13.4,19912.5
3,M,6.875,13.8,20412.5
3,L,7.5,14.0,20950.0
1,S,7.5,7.8,13200.0
1,M,8.125,8.0,13737.5
1,L,8.75,8.6,14775.0
2,S,1.875,8.0,10862.5
2,M,5.0,8.0,12300.0
2,L,3.75,7.6,11225.0
3,S,0.625,7.0,9037.5
3,M,0.625,7.0,9037.5
3,L,1.875,6.8,9362.5
1,S,1.25,9.0,11825.0
1,M,1.875,9.2,12362.5
1,L,2.5,9.6,13150.0
2,S,0.625,9.2,11787.5
2,M,0.625,8.8,11287.5
2,L,0.0,0.8,1000.0
3,S,0.0,0.8,1000.0
3,M,0.625,8.4,10787.5
3,L,0.625,8.6,11037.5
1,S,13.75,8.4,16825.0
1,M,15.625,8.6,17937.5
1,L,15.625,8.8,18187.5
2,S,5.0,9.2,13800.0
2,M,3.75,9.6,13725.0
2,L,4.375,9.4,13762.5
3,S,0.625,9.0,11537.5
3,M,0.625,9.0,11537.5
3,L,1.25,9.2,12075.0
1,S,1.875,7.2,9862.5
1,M,2.5,7.2,10150.0
1,L,1.875,7.8,10612.5
2,S,0.625,7.4,9537.5
2,M,0.625,7.4,9537.5
2,L,0.0,0.8,1000.0
3,S,0.625,6.4,8287.5
3,M,0.0,0.8,1000.0
3,L,0.0,0.8,1000.0
1,S,5.0,4.2,7550.0
1,M,5.625,4.0,7587.5
1,L,5.0,4.8,8300.0
2,S,1.25,3.8,5325.0
2,M,0.625,4.4,5787.5
2,L,0.0,0.8,1000.0
3,S,1.25,2.8,4075.0
3,M,0.625,3.6,4787.5
3,L,0.0,0.8,1000.0
1,S,4.375,4.8,8012.5
1,M,4.375,5.0,8262.5
1,L,5.625,5.4,9337.5
2,S,1.25,4.6,6325.0
2,M,1.25,4.8,6575.0
2,L,1.25,4.8,6575.0
3,S,0.0,0.8,1000.0
3,M,0.625,4.6,6037.5
3,L,1.25,3.8,5325.0
1,S,3.125,5.6,8437.5
1,M,0.0,0.8,1000.0
1,L,3.125,6.0,8937.5
2,S,0.0,0.8,1000.0
2,M,0.0,0.8,1000.0
2,L,0.0,0.8,1000.0
3,S,0.625,5.0,6537.5
3,M,0.625,5.2,6787.5
3,L,0.0,0.8,1000.0
