Archetype,CAH_Type,Operation,Independence_l,Independence_h
Detached,H1,Unidirectional,11,13
Detached,H1,Bidirectional,51,53
Detached,H2,Unidirectional,12,14
Detached,H2,Bidirectional,58,62
Detached,H3,Unidirectional,13,14
Detached,H3,Bidirectional,59,66
Semi-Detached,H1,Unidirectional,11,13
Semi-Detached,H1,Bidirectional,52,53
Semi-Detached,H2,Unidirectional,12,14
Semi-Detached,H2,Bidirectional,59,63
Semi-Detached,H3,Unidirectional,13,14
Semi-Detached,H3,Bidirectional,60,67
Terraced,H1,Unidirectional,12,13
Terraced,H1,Bidirectional,52,53
Terraced,H2,Unidirectional,13,14
Terraced,H2,Bidirectional,60,64
Terraced,H3,Unidirectional,14,15
Terraced,H3,Bidirectional,62,69
