Day,Day Name,Hour,Status,Next Departure Time,Current SOC
1,Monday, 0,At Home,08:03,32.00
1,Monday, 1,At Home,08:03,32.00
1,Monday, 2,At Home,08:03,32.00
1,Monday, 3,At Home,08:03,32.00
1,Monday, 4,At Home,08:03,32.00
1,Monday, 5,At Home,08:03,32.00
1,Monday, 6,At Home,08:03,32.00
1,Monday, 7,At Home,08:03,32.00
1,Monday, 8,Away,08:08,32.00
1,Monday, 9,Away,08:08,32.00
1,Monday,10,Away,08:08,32.00
1,Monday,11,Away,08:08,32.00
1,Monday,12,Away,08:08,32.00
1,Monday,13,Away,08:08,32.00
1,Monday,14,Away,08:08,32.00
1,Monday,15,Away,08:08,32.00
1,Monday,16,Away,08:08,32.00
1,Monday,17,Away,08:08,32.00
1,Monday,18,At Home,08:08,29.89
1,Monday,19,At Home,08:08,29.89
1,Monday,20,At Home,08:08,29.89
1,Monday,21,At Home,08:08,29.89
1,Monday,22,At Home,08:08,29.89
1,Monday,23,At Home,08:08,29.89
2,Tuesday, 0,At Home,08:08,29.89
2,Tuesday, 1,At Home,08:08,29.89
2,Tuesday, 2,At Home,08:08,29.89
2,Tuesday, 3,At Home,08:08,29.89
2,Tuesday, 4,At Home,08:08,29.89
2,Tuesday, 5,At Home,08:08,29.89
2,Tuesday, 6,At Home,08:08,29.89
2,Tuesday, 7,At Home,08:08,29.89
2,Tuesday, 8,Away,07:52,32.00
2,Tuesday, 9,Away,07:52,32.00
2,Tuesday,10,Away,07:52,32.00
2,Tuesday,11,Away,07:52,32.00
2,Tuesday,12,Away,07:52,32.00
2,Tuesday,13,Away,07:52,32.00
2,Tuesday,14,Away,07:52,32.00
2,Tuesday,15,Away,07:52,32.00
2,Tuesday,16,Away,07:52,32.00
2,Tuesday,17,At Home,07:52,29.92
2,Tuesday,18,At Home,07:52,29.92
2,Tuesday,19,At Home,07:52,29.92
2,Tuesday,20,At Home,07:52,29.92
2,Tuesday,21,At Home,07:52,29.92
2,Tuesday,22,At Home,07:52,29.92
2,Tuesday,23,At Home,07:52,29.92
3,Wednesday, 0,At Home,07:52,29.92
3,Wednesday, 1,At Home,07:52,29.92
3,Wednesday, 2,At Home,07:52,29.92
