Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,0.0,0.0,0.0,0.0,0.0
5,2.0543648719289074,0.4286461055933089,2.3314166231050706,3.0946157867224255,3.329848405645583
10,4.103502352326189,0.8572922111866178,4.657605854678516,6.184004181913226,6.65446941975954
15,6.157867224255097,1.280710925248301,6.989022477783586,9.27861996863565,9.979090433873496
20,8.212232096184003,1.70935703084161,9.315211709357031,12.368008363826451,13.303711447987453
25,10.261369576581286,2.1380031364349192,11.646628332462102,15.462624150548876,16.633559853633038
30,12.315734448510193,2.566649242028228,13.972817564035548,18.5572399372713,19.958180867746993
35,14.364871928907474,2.990067956089911,16.30423418714062,21.6466283324621,23.28280188186095
40,16.41923680083638,3.41871406168322,18.630423418714063,24.74124411918453,26.612650287506533
45,18.468374281233665,3.847360167276529,20.961840041819134,27.830632514375324,29.937271301620495
50,20.522739153162572,4.2760062728698385,23.288029273392578,30.925248301097753,33.26189231573445
55,22.57710402509148,4.699424986931521,25.619445896497652,34.014636696288555,36.591740721380035
60,24.62624150548876,5.12807109252483,27.945635128071096,37.10925248301098,39.916361735493986
65,26.68060637741767,5.55671719811814,30.277051751176167,40.19864087820177,43.24098274960795
70,28.72974385781495,5.985363303711448,32.60324098274961,43.2932566649242,46.57083115525353
75,30.78410872974386,6.408782017773131,34.93465760585468,46.38787245164663,49.89545216936749
80,32.83847360167276,6.83742812336644,37.260846837428126,49.47726084683743,53.22007318348144
85,34.887611082070045,7.266074228959749,39.5922634605332,52.57187663355985,56.54992158912703
90,36.941975953998956,7.694720334553058,41.91845269210664,55.66126502875065,59.87454260324099
95,38.99111343439623,8.11813904861474,44.24986931521171,58.755880815473084,63.199163617354934
100,41.045478306325144,8.54678515420805,46.576058546785156,61.84526921066388,66.52901202300052
