Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,0.0,0.0,0.0,0.0,0.0
5,1.4427600627286983,0.4286461055933089,1.521170935703084,1.8870883429168845,2.6398327234709877
10,2.8855201254573966,0.8572922111866178,3.047569262937794,3.7689492943021428,5.27443805541035
15,4.328280188186095,1.280710925248301,4.568740198640878,5.656037637219027,7.909043387349712
20,5.771040250914793,1.70935703084161,6.0899111343439625,7.5378985886042855,10.543648719289076
25,7.208572922111866,2.1380031364349192,7.611082070047047,9.42498693152117,13.183481442760062
30,8.651332984840565,2.566649242028228,9.132253005750131,11.30684788290643,15.818086774699424
35,10.094093047569263,2.990067956089911,10.65865133298484,13.193936225823313,18.45269210663879
40,11.53685311029796,3.41871406168322,12.179822268687925,15.081024568740197,21.092524830109774
45,12.97961317302666,3.847360167276529,13.70099320439101,16.962885520125457,23.727130162049136
50,14.422373235755359,4.2760062728698385,15.222164140094094,18.84997386304234,26.361735493988498
55,15.865133298484057,4.699424986931521,16.743335075797177,20.7318348144276,29.00156821745949
60,17.30266596968113,5.12807109252483,18.26973340303189,22.618923157344483,31.636173549398848
65,18.745426032409828,5.55671719811814,19.790904338734972,24.500784108729746,34.27077888133821
70,20.188186095138526,5.985363303711448,21.312075274438055,26.387872451646626,36.910611604809205
75,21.63094615786722,6.408782017773131,22.83324621014114,28.26973340303189,39.54521693674856
80,23.07370622059592,6.83742812336644,24.354417145844224,30.15682174594877,42.17982226868792
85,24.51646628332462,7.266074228959749,25.880815473078933,32.03868269733403,44.81965499215892
90,25.95922634605332,7.694720334553058,27.40198640878202,33.925771040250915,47.45426032409827
95,27.396759017250393,8.11813904861474,28.9231573444851,35.80763199163617,50.08886565603764
100,28.83951907997909,8.54678515420805,30.444328280188188,37.694720334553054,52.72869837950862
