Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2024-05-01T00:00Z,115,126,moderate
2024-05-01T00:30Z,112,98,moderate
2024-05-01T01:00Z,105,115,low
2024-05-01T01:30Z,105,109,low
2024-05-01T02:00Z,103,108,low
2024-05-01T02:30Z,107,104,low
2024-05-01T03:00Z,115,104,moderate
2024-05-01T03:30Z,111,106,moderate
2024-05-01T04:00Z,121,114,moderate
2024-05-01T04:30Z,130,119,moderate
2024-05-01T05:00Z,145,116,moderate
2024-05-01T05:30Z,160,130,moderate
2024-05-01T06:00Z,184,145,moderate
2024-05-01T06:30Z,181,172,moderate
2024-05-01T07:00Z,180,195,moderate
2024-05-01T07:30Z,178,182,moderate
2024-05-01T08:00Z,169,179,moderate
2024-05-01T08:30Z,164,172,moderate
2024-05-01T09:00Z,161,161,moderate
2024-05-01T09:30Z,151,159,moderate
2024-05-01T10:00Z,144,155,moderate
2024-05-01T10:30Z,143,148,moderate
2024-05-01T11:00Z,141,142,moderate
2024-05-01T11:30Z,136,139,moderate
2024-05-01T12:00Z,132,141,moderate
2024-05-01T12:30Z,132,134,moderate
2024-05-01T13:00Z,133,132,moderate
2024-05-01T13:30Z,137,129,moderate
2024-05-01T14:00Z,139,126,moderate
2024-05-01T14:30Z,139,137,moderate
2024-05-01T15:00Z,141,145,moderate
2024-05-01T15:30Z,135,145,moderate
2024-05-01T16:00Z,134,146,moderate
2024-05-01T16:30Z,133,148,moderate
2024-05-01T17:00Z,135,145,moderate
2024-05-01T17:30Z,133,143,moderate
2024-05-01T18:00Z,130,136,moderate
2024-05-01T18:30Z,133,137,moderate
2024-05-01T19:00Z,133,131,moderate
2024-05-01T19:30Z,128,135,moderate
2024-05-01T20:00Z,125,138,moderate
2024-05-01T20:30Z,114,130,moderate
2024-05-01T21:00Z,102,121,low
2024-05-01T21:30Z,87,107,low
2024-05-01T22:00Z,68,121,low
2024-05-01T22:30Z,62,93,low
2024-05-01T23:00Z,59,99,low
2024-05-01T23:30Z,60,101,low
