House number,WFH Type,Operation,Solar,Battery,PV,Cost
1,T1,safe_unidirectional,best,18.4375,1.75714,12540.0
1,T1,hybrid_bidirectional,worst,17.25,1.8,12060.0
1,T2,safe_unidirectional,worst,22.875,3.12857,17550.0
1,T2,safe_unidirectional,best,15.4375,1.45714,10470.0
1,T2,hybrid_bidirectional,worst,8.25,1.2,6480.0
1,T2,hybrid_bidirectional,best,4.75,1.07143,4530.0
1,T3,safe_unidirectional,worst,20.8125,1.32857,12780.0
1,T3,safe_unidirectional,best,13.5625,1.07143,8760.0
1,T3,hybrid_bidirectional,worst,6.5,1.07143,5370.0
1,T3,hybrid_bidirectional,best,4.625,0.771429,3840.0
2,T1,safe_unidirectional,worst,22.9375,2.31429,15870.0
2,T1,safe_unidirectional,best,16.8125,1.75714,11760.0
2,T1,hybrid_bidirectional,worst,14.125,1.75714,10470.0
2,T1,hybrid_bidirectional,best,9.875,1.32857,7530.0
2,T2,safe_unidirectional,worst,17.875,1.75714,12270.0
2,T2,safe_unidirectional,best,14.625,1.2,9540.0
2,T2,hybrid_bidirectional,worst,5.9375,1.32857,5640.0
2,T2,hybrid_bidirectional,best,4.25,0.942857,4020.0
2,T3,safe_unidirectional,worst,14.8125,1.45714,10170.0
2,T3,safe_unidirectional,best,11.625,1.07143,7830.0
2,T3,hybrid_bidirectional,worst,6.5,0.942857,5100.0
2,T3,hybrid_bidirectional,best,4.3125,0.771429,3690.0
3,T1,safe_unidirectional,best,18.3125,1.75714,12480.0
3,T1,hybrid_bidirectional,worst,13.3125,1.88571,10350.0
3,T1,hybrid_bidirectional,best,9.75,1.54286,7920.0
3,T2,safe_unidirectional,worst,20.1875,1.88571,13650.0
3,T2,safe_unidirectional,best,15.75,1.32857,10350.0
3,T2,hybrid_bidirectional,worst,7.25,1.32857,6270.0
3,T2,hybrid_bidirectional,best,5.375,0.942857,4560.0
3,T3,safe_unidirectional,worst,17.8125,1.41429,11520.0
3,T3,safe_unidirectional,best,12.75,1.32857,8910.0
3,T3,hybrid_bidirectional,worst,6.3125,1.2,5550.0
3,T3,hybrid_bidirectional,best,4.5625,0.9,4080.0
4,T1,safe_unidirectional,worst,21.875,3.47143,17790.0
4,T1,safe_unidirectional,best,17.5,1.62857,11820.0
4,T1,hybrid_bidirectional,worst,13.75,1.75714,10290.0
4,T1,hybrid_bidirectional,best,9.3125,1.41429,7440.0
4,T2,safe_unidirectional,best,14.375,1.32857,9690.0
4,T2,hybrid_bidirectional,worst,6.6875,1.2,5730.0
4,T2,hybrid_bidirectional,best,4.3125,0.942857,4050.0
4,T3,safe_unidirectional,worst,16.1875,1.28571,10470.0
4,T3,safe_unidirectional,best,12.3125,1.07143,8160.0
4,T3,hybrid_bidirectional,worst,5.875,0.985714,4890.0
4,T3,hybrid_bidirectional,best,3.8125,0.728571,3360.0
5,T1,safe_unidirectional,worst,20.4375,4.8,19890.0
5,T1,safe_unidirectional,best,17.375,1.62857,11760.0
5,T1,hybrid_bidirectional,worst,11.875,1.92857,9750.0
5,T1,hybrid_bidirectional,best,8.375,1.41429,6990.0
5,T2,safe_unidirectional,worst,18.6875,1.54286,12210.0
5,T2,safe_unidirectional,best,13.9375,1.32857,9480.0
5,T2,hybrid_bidirectional,worst,6.625,1.32857,5970.0
5,T2,hybrid_bidirectional,best,4.6875,0.942857,4230.0
5,T3,safe_unidirectional,worst,15.125,1.32857,10050.0
5,T3,safe_unidirectional,best,11.75,1.07143,7890.0
5,T3,hybrid_bidirectional,worst,5.8125,1.02857,4950.0
5,T3,hybrid_bidirectional,best,4.0625,0.771429,3570.0
6,T1,safe_unidirectional,worst,21.375,2.57143,15660.0
6,T1,safe_unidirectional,best,15.8125,1.88571,11550.0
6,T1,hybrid_bidirectional,worst,12.4375,1.97143,10110.0
6,T1,hybrid_bidirectional,best,8.625,1.5,7290.0
6,T2,safe_unidirectional,worst,16.5,2.01429,12150.0
6,T2,safe_unidirectional,best,13.1875,1.45714,9390.0
6,T2,hybrid_bidirectional,worst,6.125,1.5,6090.0
6,T2,hybrid_bidirectional,best,4.0625,1.2,4470.0
6,T3,safe_unidirectional,worst,14.1875,1.62857,10230.0
6,T3,safe_unidirectional,best,10.4375,1.32857,7800.0
6,T3,hybrid_bidirectional,worst,4.5625,1.28571,4890.0
6,T3,hybrid_bidirectional,best,3.3125,0.985714,3660.0
7,T1,safe_unidirectional,worst,21.25,4.84286,20370.0
7,T1,safe_unidirectional,best,17.75,1.88571,12480.0
