Archetype,WFH Type,Operation,Solar,Grid Import,Total Load,Grid Cost,Grid Emissions,Indepence
Detached,T2,hybrid_bidirectional,best,4295,5003,1503,1102,14
Detached,T2,hybrid_bidirectional,worst,4366,5003,1528,1113,13
Detached,T2,safe_unidirectional,best,4295,5003,1503,1102,14
Detached,T2,safe_unidirectional,worst,4366,5003,1528,1113,13
Semi_Detached,T2,hybrid_bidirectional,best,4156,4852,1455,1079,14
Semi_Detached,T2,hybrid_bidirectional,worst,4226,4852,1479,1091,13
Semi_Detached,T2,safe_unidirectional,best,4156,4852,1455,1079,14
Semi_Detached,T2,safe_unidirectional,worst,4226,4852,1479,1091,13
Terraced,T2,hybrid_bidirectional,best,3734,4381,1307,1011,15
Terraced,T2,hybrid_bidirectional,worst,3795,4381,1328,1021,13
Terraced,T2,safe_unidirectional,best,3734,4381,1307,1011,15
Terraced,T2,safe_unidirectional,worst,3795,4381,1328,1021,13
