Conversion Rate (%),H+E,H+P,E+P,H+E+P
0,19130,19130,19130,19130
5,18854,19039,18827,18760
10,18578,18948,18525,18390
15,18302,18858,18223,18021
20,18026,18767,17920,17651
25,17751,18676,17618,17281
30,17475,18586,17316,16911
35,17199,18495,17013,16542
40,16923,18404,16711,16172
45,16647,18313,16409,15802
50,16371,18223,16106,15433
55,16095,18132,15804,15063
60,15820,18041,15502,14693
65,15544,17951,15199,14323
70,15268,17860,14897,13954
75,14992,17769,14595,13584
80,14716,17678,14292,13214
85,14440,17588,13990,12845
90,14164,17497,13688,12475
95,13889,17406,13385,12105
100,13613,17316,13083,11735
