Archetype,WFH Type,Operation,Solar,Grid Import,Total Load,Grid Cost,Grid Emissions,Indepence
E
Detached,T1,hybrid_bidirectional,best,4431,8701,1551,717892,49
Detached,T1,hybrid_bidirectional,worst,4518,8701,1581,7317950,48
Detached,T1,safe_unidirectional,best,5207,5955,1822,843539,13
Detached,T1,safe_unidirectional,worst,5292,5955,1852,857351,11

W+E
Detached,T2,hybrid_bidirectional,best,3811,7738,1334,617443,51
Detached,T2,hybrid_bidirectional,worst,3903,7750,1366,632358,50
Detached,T2,safe_unidirectional,best,4697,5434,1644,760973,14
Detached,T2,safe_unidirectional,worst,4772,5434,1670,773077,12

E
Semi_Detached,T1,hybrid_bidirectional,best,4315,8504,1510,698953,49
Semi_Detached,T1,hybrid_bidirectional,worst,4398,8503,1539,712525,48
Semi_Detached,T1,safe_unidirectional,best,5068,5804,1774,820964,13
Semi_Detached,T1,safe_unidirectional,worst,5152,5804,1803,834575,11

W+E
Semi_Detached,T2,hybrid_bidirectional,best,3697,7570,1294,598924,51
Semi_Detached,T2,hybrid_bidirectional,worst,3782,7578,1324,612679,50
Semi_Detached,T2,safe_unidirectional,best,4558,5283,1595,738468,14
Semi_Detached,T2,safe_unidirectional,worst,4632,5283,1621,750350,12

E
Terraced,T1,hybrid_bidirectional,best,3992,7874,1397,646692,49
Terraced,T1,hybrid_bidirectional,worst,4062,7867,1422,658093,48
Terraced,T1,safe_unidirectional,best,4644,5333,1626,752391,13
Terraced,T1,safe_unidirectional,worst,4720,5333,1652,764607,12

W+E
Terraced,T2,hybrid_bidirectional,best,3376,7020,1182,546971,52
Terraced,T2,hybrid_bidirectional,worst,3450,7027,1208,558933,51
Terraced,T2,safe_unidirectional,best,4136,4812,1448,670002,14
Terraced,T2,safe_unidirectional,worst,4200,4812,1470,680451,13
