Archetype,CAH Type,Operation,Solar,Battery,PV,Cost
Detached,H1,hybrid_bidirectional,best,9.5,1.4973206250000002,7704.375
Detached,H1,hybrid_bidirectional,worst,13.053763440860216,1.9488472043010752,10358.387096774193
Detached,H1,safe_unidirectional,best,16.61369680851064,1.837840744680851,11834.04255319149
Detached,H1,safe_unidirectional,worst,22.039772727272727,3.0068187500000003,16893.409090909092
Detached,H2,hybrid_bidirectional,best,4.293619791666667,1.1080361458333334,4387.8125
Detached,H2,hybrid_bidirectional,worst,6.510526315789473,1.3795484210526314,6022.105263157895
Detached,H2,safe_unidirectional,best,13.54655612244898,1.4623901020408163,9573.367346938776
Detached,H2,safe_unidirectional,worst,17.79783163265306,1.8467919387755103,12421.224489795919
Detached,H3,hybrid_bidirectional,best,3.6981382978723403,0.9118544893617021,3690.0
Detached,H3,hybrid_bidirectional,worst,5.464583333333334,1.1976190666666668,5138.0
Detached,H3,safe_unidirectional,best,11.283505154639176,1.1810016597938144,7896.18556701031
Detached,H3,safe_unidirectional,worst,14.803571428571429,1.4995275824175824,10254.725274725275
Semi-Detached,H1,hybrid_bidirectional,best,9.298233695652174,1.4757764130434783,7562.282608695652
Semi-Detached,H1,hybrid_bidirectional,worst,12.962121212121213,1.9082243434343433,10229.09090909091
Semi-Detached,H1,safe_unidirectional,best,16.41223404255319,1.804558510638298,11667.446808510638
Semi-Detached,H1,safe_unidirectional,worst,21.70277777777778,2.7909533333333334,16278.333333333334
Semi-Detached,H2,hybrid_bidirectional,best,4.179521276595745,1.075532095744681,4264.787234042553
Semi-Detached,H2,hybrid_bidirectional,worst,6.395394736842105,1.3439088421052632,5892.0
Semi-Detached,H2,safe_unidirectional,best,13.316532258064516,1.4267275268817206,9388.064516129032
Semi-Detached,H2,safe_unidirectional,worst,17.32247340425532,1.8465037234042552,12192.446808510638
Semi-Detached,H3,hybrid_bidirectional,best,3.532828282828283,0.8883117575757575,3561.212121212121
Semi-Detached,H3,hybrid_bidirectional,worst,5.369897959183674,1.128717112244898,4947.857142857143
Semi-Detached,H3,safe_unidirectional,best,10.881114130434783,1.1697204891304347,7679.347826086957
Semi-Detached,H3,safe_unidirectional,worst,14.619623655913978,1.4658976774193548,10095.806451612903
Terraced,H1,hybrid_bidirectional,best,9.327473958333334,1.436606979166667,7494.0625
Terraced,H1,hybrid_bidirectional,worst,12.713541666666666,1.8633910416666666,10015.625
Terraced,H1,safe_unidirectional,best,15.796052631578947,1.7084196842105264,11169.78947368421
Terraced,H1,safe_unidirectional,worst,21.169157608695652,2.3156842391304346,15024.130434782608
Terraced,H2,hybrid_bidirectional,best,4.025657894736842,1.010075557894737,4053.4736842105262
Terraced,H2,hybrid_bidirectional,worst,5.962365591397849,1.2893997849462366,5569.677419354839
Terraced,H2,safe_unidirectional,best,12.55163043478261,1.3360241739130436,8830.434782608696
Terraced,H2,safe_unidirectional,worst,16.409149484536083,1.688658556701031,11422.577319587628
Terraced,H3,hybrid_bidirectional,best,3.2776315789473682,0.7939851368421054,3240.6315789473683
Terraced,H3,hybrid_bidirectional,worst,4.903532608695652,1.023447608695652,4502.934782608696
Terraced,H3,safe_unidirectional,best,10.177989130434783,1.0700314891304348,7132.5
Terraced,H3,safe_unidirectional,worst,13.45921052631579,1.3524806947368422,9300.631578947368
