Conversion Rate (%),Emissions_W+E (Mega Tonnes),Emissions_W+P = P (Mega Tonnes),Emissions_E+P (Mega Tonnes),Emissions_W+E+P (Mega Tonnes)
0,13902,13902,13902,13902
5,13688,13820,13872,13571
10,13475,13738,13842,13241
15,13262,13656,13812,12911
20,13049,13574,13782,12581
25,12836,13492,13753,12251
30,12623,13410,13723,11921
35,12410,13328,13693,11591
40,12196,13246,13663,11260
45,11983,13164,13633,10930
50,11770,13082,13604,10600
55,11557,13000,13574,10270
60,11344,12918,13544,9940
65,11131,12836,13514,9610
70,10918,12754,13484,9280
75,10704,12672,13455,8949
80,10491,12590,13425,8619
85,10278,12508,13395,8289
90,10065,12426,13365,7959
95,9852,12345,13336,7629
100,9639,12263,13306,7299
