Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,0.0,0.0,0.0,0.0,0.0
5,2.0543648719289074,0.47569262937794043,2.4046001045478307,3.298484056455828,3.554626241505489
10,4.103502352326189,0.9513852587558809,4.809200209095661,6.596968112911656,7.114479874542604
15,6.157867224255097,1.4218504966021954,7.2138003136434925,9.895452169367486,10.669106116048093
20,8.212232096184003,1.8975431259801359,9.618400418191323,13.19916361735494,14.223732357553581
25,10.261369576581286,2.3732357553580763,12.023000522739153,16.49764767381077,17.778358599059068
30,12.315734448510193,2.843700993204391,14.427600627286985,19.7961317302666,21.33298484056456
35,14.364871928907474,3.3193936225823313,16.832200731834813,23.094615786722425,24.887611082070045
40,16.41923680083638,3.7950862519602717,19.236800836382645,26.393099843178252,28.442237323575537
45,18.468374281233665,4.270778881338212,21.641400940930474,29.691583899634082,32.00209095661265
50,20.522739153162572,4.741244119184527,24.046001045478306,32.990067956089916,35.556717198118136
55,22.57710402509148,5.216936748562468,26.450601150026138,36.288552012545736,39.11134343962363
60,24.62624150548876,5.692629377940408,28.85520125457397,39.58703606900157,42.66596968112912
65,26.68060637741767,6.163094615786722,31.2598013591218,42.8855201254574,46.22059592263461
70,28.72974385781495,6.638787245164663,33.66440146366963,46.184004181913224,49.77522216414009
75,30.78410872974386,7.114479874542604,36.06900156821746,49.48771562990068,53.33507579717721
80,32.83847360167276,7.590172503920543,38.47360167276529,52.786199686356504,56.8897020386827
85,34.887611082070045,8.06063774176686,40.87820177731312,56.08468374281234,60.44432828018819
90,36.941975953998956,8.536330371144798,43.28280188186095,59.383167799268165,63.998954521693676
95,38.99111343439623,9.01202300052274,45.68740198640878,62.681651855724,67.55358076319916
100,41.045478306325144,9.482488238369054,48.09200209095661,65.98013591217983,71.10820700470465
