Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,0.0,0.0,0.0,0.0,0.0
5,1.4427600627286983,0.47569262937794043,1.5838996340825928,1.934134866701516,2.7809722948248825
10,2.8855201254573966,0.9513852587558809,3.1625718766335598,3.868269733403032,5.561944589649765
15,4.328280188186095,1.4218504966021954,4.741244119184527,5.797177208572922,8.348144276006272
20,5.771040250914793,1.8975431259801359,6.3251437532671195,7.731312075274438,11.129116570831155
25,7.208572922111866,2.3732357553580763,7.9038159958180865,9.665446941975954,13.910088865656038
30,8.651332984840565,2.843700993204391,9.482488238369054,11.59958180867747,16.69106116048092
35,10.094093047569263,3.3193936225823313,11.066387872451648,13.528489283847362,19.4720334553058
40,11.53685311029796,3.7950862519602717,12.645060115002613,15.462624150548876,22.253005750130686
45,12.97961317302666,4.270778881338212,14.223732357553581,17.396759017250393,25.033978044955568
50,14.422373235755359,4.741244119184527,15.807631991636173,19.325666492420282,27.81495033978045
55,15.865133298484057,5.216936748562468,17.38630423418714,21.2598013591218,30.595922634605333
60,17.30266596968113,5.692629377940408,18.96497647673811,23.193936225823315,33.376894929430215
65,18.745426032409828,6.163094615786722,20.5488761108207,25.128071092524827,36.163094615786726
70,20.188186095138526,6.638787245164663,22.12754835337167,27.056978567694724,38.9440669106116
75,21.63094615786722,7.114479874542604,23.706220595922634,28.991113434396237,41.72503920543649
80,23.07370622059592,7.590172503920543,25.290120230005225,30.925248301097753,44.50601150026137
85,24.51646628332462,8.06063774176686,26.868792472556198,32.85415577626764,47.28698379508625
90,25.95922634605332,8.536330371144798,28.447464715107163,34.78829064296916,50.067956089911135
95,27.396759017250393,9.01202300052274,30.031364349189754,36.72242550967068,52.84892838473601
100,28.83951907997909,9.482488238369054,31.61003659174072,38.65656037637219,55.6299006795609
