Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T1,safe_unidirectional,worst,5696.19,5696.19
Detached,1,T1,safe_unidirectional,best,5696.19,5696.19
Detached,1,T1,hybrid_bidirectional,worst,5113.71,8693.19
Detached,1,T1,hybrid_bidirectional,best,5113.71,8693.19
Detached,2,T1,safe_unidirectional,worst,6040.25,6040.25
Detached,2,T1,safe_unidirectional,best,6040.25,6040.25
Detached,2,T1,hybrid_bidirectional,worst,5078.19,8689.69
Detached,2,T1,hybrid_bidirectional,best,5078.19,8689.69
Detached,3,T1,safe_unidirectional,worst,6206.46,6206.46
Detached,3,T1,safe_unidirectional,best,6206.46,6206.46
Detached,3,T1,hybrid_bidirectional,worst,5102.43,8829.52
Detached,3,T1,hybrid_bidirectional,best,5102.43,8829.52
Detached,4,T1,safe_unidirectional,worst,6024.01,6024.01
Detached,4,T1,safe_unidirectional,best,6024.01,6024.01
Detached,4,T1,hybrid_bidirectional,worst,5407.31,8950.96
Detached,4,T1,hybrid_bidirectional,best,5407.31,8950.96
Detached,5,T1,safe_unidirectional,worst,5538.81,5538.81
Detached,5,T1,safe_unidirectional,best,5538.81,5538.81
Detached,5,T1,hybrid_bidirectional,worst,5083.65,8249.68
Detached,5,T1,hybrid_bidirectional,best,5083.65,8249.68
Detached,6,T1,safe_unidirectional,worst,5798.78,5798.78
Detached,6,T1,safe_unidirectional,best,5798.78,5798.78
Detached,6,T1,hybrid_bidirectional,worst,4927.44,8400.87
Detached,6,T1,hybrid_bidirectional,best,4927.44,8400.87
Detached,7,T1,safe_unidirectional,worst,5985.94,5985.94
Detached,7,T1,safe_unidirectional,best,5985.94,5985.94
Detached,7,T1,hybrid_bidirectional,worst,5023.1,8826.8
Detached,7,T1,hybrid_bidirectional,best,5023.1,8826.8
Detached,8,T1,safe_unidirectional,worst,5786.63,5786.63
Detached,8,T1,safe_unidirectional,best,5786.63,5786.63
Detached,8,T1,hybrid_bidirectional,worst,4872.15,8446.19
Detached,8,T1,hybrid_bidirectional,best,4872.15,8446.19
Detached,9,T1,safe_unidirectional,worst,6226.84,6226.84
Detached,9,T1,safe_unidirectional,best,6226.84,6226.84
Detached,9,T1,hybrid_bidirectional,worst,5191.48,8870.86
Detached,9,T1,hybrid_bidirectional,best,5191.48,8870.86
Detached,10,T1,safe_unidirectional,worst,5636.78,5636.78
Detached,10,T1,safe_unidirectional,best,5636.78,5636.78
Detached,10,T1,hybrid_bidirectional,worst,4798.21,8376.75
Detached,10,T1,hybrid_bidirectional,best,4798.21,8376.75
Detached,11,T1,safe_unidirectional,worst,6434.24,6434.24
Detached,11,T1,safe_unidirectional,best,6434.24,6434.24
Detached,11,T1,hybrid_bidirectional,worst,5490.97,9734.14
Detached,11,T1,hybrid_bidirectional,best,5490.97,9734.14
Detached,12,T1,safe_unidirectional,worst,6558.44,6558.44
Detached,12,T1,safe_unidirectional,best,6558.44,6558.44
Detached,12,T1,hybrid_bidirectional,worst,5413.91,9315.92
Detached,12,T1,hybrid_bidirectional,best,5413.91,9315.92
Detached,13,T1,safe_unidirectional,worst,6020.93,6020.93
Detached,13,T1,safe_unidirectional,best,6020.93,6020.93
Detached,13,T1,hybrid_bidirectional,worst,5446.77,9084.78
Detached,13,T1,hybrid_bidirectional,best,5446.77,9084.78
Detached,14,T1,safe_unidirectional,worst,6060.47,6060.47
Detached,14,T1,safe_unidirectional,best,6060.47,6060.47
Detached,14,T1,hybrid_bidirectional,worst,5334.93,9252.58
Detached,14,T1,hybrid_bidirectional,best,5334.93,9252.58
Detached,15,T1,safe_unidirectional,worst,5961.98,5961.98
Detached,15,T1,safe_unidirectional,best,5961.98,5961.98
Detached,15,T1,hybrid_bidirectional,worst,5135.91,8873.39
Detached,15,T1,hybrid_bidirectional,best,5135.91,8873.39
Detached,16,T1,safe_unidirectional,worst,5561.97,5561.97
Detached,16,T1,safe_unidirectional,best,5561.97,5561.97
Detached,16,T1,hybrid_bidirectional,worst,5168.15,8374.21
Detached,16,T1,hybrid_bidirectional,best,5168.15,8374.21
Detached,17,T1,safe_unidirectional,worst,5702.47,5702.47
Detached,17,T1,safe_unidirectional,best,5702.47,5702.47
Detached,17,T1,hybrid_bidirectional,worst,4916.76,8270.76
Detached,17,T1,hybrid_bidirectional,best,4916.76,8270.76
Detached,18,T1,safe_unidirectional,worst,6030.43,6030.43
Detached,18,T1,safe_unidirectional,best,6030.43,6030.43
Detached,18,T1,hybrid_bidirectional,worst,5366.18,9132.51
Detached,18,T1,hybrid_bidirectional,best,5366.18,9132.51
Detached,19,T1,safe_unidirectional,worst,6082.16,6082.16
Detached,19,T1,safe_unidirectional,best,6082.16,6082.16
Detached,19,T1,hybrid_bidirectional,worst,5350.05,9111.72
Detached,19,T1,hybrid_bidirectional,best,5350.05,9111.72
Detached,20,T1,safe_unidirectional,worst,6511.53,6511.53
Detached,20,T1,safe_unidirectional,best,6511.53,6511.53
Detached,20,T1,hybrid_bidirectional,worst,5610.46,9585.98
Detached,20,T1,hybrid_bidirectional,best,5610.46,9585.98
Detached,21,T1,safe_unidirectional,worst,4965.5,4965.5
Detached,21,T1,safe_unidirectional,best,4965.5,4965.5
Detached,21,T1,hybrid_bidirectional,worst,4509.11,7639.86
Detached,21,T1,hybrid_bidirectional,best,4509.11,7639.86
Detached,22,T1,safe_unidirectional,worst,5666.95,5666.95
Detached,22,T1,safe_unidirectional,best,5666.95,5666.95
Detached,22,T1,hybrid_bidirectional,worst,5030.23,8600.31
Detached,22,T1,hybrid_bidirectional,best,5030.23,8600.31
Detached,23,T1,safe_unidirectional,worst,5407.01,5407.01
Detached,23,T1,safe_unidirectional,best,5407.01,5407.01
Detached,23,T1,hybrid_bidirectional,worst,4530.28,7966.18
Detached,23,T1,hybrid_bidirectional,best,4530.28,7966.18
Detached,24,T1,safe_unidirectional,worst,6610.26,6610.26
Detached,24,T1,safe_unidirectional,best,6610.26,6610.26
Detached,24,T1,hybrid_bidirectional,worst,5472.87,9217.03
Detached,24,T1,hybrid_bidirectional,best,5472.87,9217.03
Detached,25,T1,safe_unidirectional,worst,5958.91,5958.91
Detached,25,T1,safe_unidirectional,best,5958.91,5958.91
Detached,25,T1,hybrid_bidirectional,worst,5084.72,8709.99
Detached,25,T1,hybrid_bidirectional,best,5084.72,8709.99
Detached,26,T1,safe_unidirectional,worst,5241.38,5241.38
Detached,26,T1,safe_unidirectional,best,5241.38,5241.38
Detached,26,T1,hybrid_bidirectional,worst,4705.35,7911.8
Detached,26,T1,hybrid_bidirectional,best,4705.35,7911.8
Detached,27,T1,safe_unidirectional,worst,5846.54,5846.54
Detached,27,T1,safe_unidirectional,best,5846.54,5846.54
Detached,27,T1,hybrid_bidirectional,worst,5097.47,8636.34
Detached,27,T1,hybrid_bidirectional,best,5097.47,8636.34
Detached,28,T1,safe_unidirectional,worst,5735.67,5735.67
Detached,28,T1,safe_unidirectional,best,5735.67,5735.67
Detached,28,T1,hybrid_bidirectional,worst,5149.3,8708.99
Detached,28,T1,hybrid_bidirectional,best,5149.3,8708.99
Detached,29,T1,safe_unidirectional,worst,6319.21,6319.21
Detached,29,T1,safe_unidirectional,best,6319.21,6319.21
Detached,29,T1,hybrid_bidirectional,worst,5282.57,9120.85
Detached,29,T1,hybrid_bidirectional,best,5282.57,9120.85
Detached,30,T1,safe_unidirectional,worst,6488.24,6488.24
Detached,30,T1,safe_unidirectional,best,6488.24,6488.24
Detached,30,T1,hybrid_bidirectional,worst,5469.75,9577.99
Detached,30,T1,hybrid_bidirectional,best,5469.75,9577.99
Detached,31,T1,safe_unidirectional,worst,5621.71,5621.71
Detached,31,T1,safe_unidirectional,best,5621.71,5621.71
Detached,31,T1,hybrid_bidirectional,worst,4850.45,8217.88
Detached,31,T1,hybrid_bidirectional,best,4850.45,8217.88
Detached,32,T1,safe_unidirectional,worst,6022.68,6022.68
Detached,32,T1,safe_unidirectional,best,6022.68,6022.68
Detached,32,T1,hybrid_bidirectional,worst,5476.26,9115.38
Detached,32,T1,hybrid_bidirectional,best,5476.26,9115.38
Detached,33,T1,safe_unidirectional,worst,5812.64,5812.64
Detached,33,T1,safe_unidirectional,best,5812.64,5812.64
Detached,33,T1,hybrid_bidirectional,worst,4849.3,8455.18
Detached,33,T1,hybrid_bidirectional,best,4849.3,8455.18
Detached,34,T1,safe_unidirectional,worst,6246.42,6246.42
Detached,34,T1,safe_unidirectional,best,6246.42,6246.42
Detached,34,T1,hybrid_bidirectional,worst,5368.55,8936.56
Detached,34,T1,hybrid_bidirectional,best,5368.55,8936.56
Detached,35,T1,safe_unidirectional,worst,6537.98,6537.98
Detached,35,T1,safe_unidirectional,best,6537.98,6537.98
Detached,35,T1,hybrid_bidirectional,worst,5781.56,9694.82
Detached,35,T1,hybrid_bidirectional,best,5781.56,9694.82
Detached,36,T1,safe_unidirectional,worst,6406.63,6406.63
Detached,36,T1,safe_unidirectional,best,6406.63,6406.63
Detached,36,T1,hybrid_bidirectional,worst,5586.36,9398.94
Detached,36,T1,hybrid_bidirectional,best,5586.36,9398.94
Detached,37,T1,safe_unidirectional,worst,5963.86,5963.86
Detached,37,T1,safe_unidirectional,best,5963.86,5963.86
Detached,37,T1,hybrid_bidirectional,worst,5024.09,8977.88
Detached,37,T1,hybrid_bidirectional,best,5024.09,8977.88
Detached,38,T1,safe_unidirectional,worst,6619.56,6619.56
Detached,38,T1,safe_unidirectional,best,6619.56,6619.56
Detached,38,T1,hybrid_bidirectional,worst,5732.86,9395.3
Detached,38,T1,hybrid_bidirectional,best,5732.86,9395.3
Detached,39,T1,safe_unidirectional,worst,5619.66,5619.66
Detached,39,T1,safe_unidirectional,best,5619.66,5619.66
Detached,39,T1,hybrid_bidirectional,worst,5135.48,8608.28
Detached,39,T1,hybrid_bidirectional,best,5135.48,8608.28
Detached,40,T1,safe_unidirectional,worst,6311.29,6311.29
Detached,40,T1,safe_unidirectional,best,6311.29,6311.29
Detached,40,T1,hybrid_bidirectional,worst,5584.16,9475.03
Detached,40,T1,hybrid_bidirectional,best,5584.16,9475.03
Detached,41,T1,safe_unidirectional,worst,6631.22,6631.22
Detached,41,T1,safe_unidirectional,best,6631.22,6631.22
Detached,41,T1,hybrid_bidirectional,worst,5659.85,9882.04
Detached,41,T1,hybrid_bidirectional,best,5659.85,9882.04
Detached,42,T1,safe_unidirectional,worst,5955.83,5955.83
Detached,42,T1,safe_unidirectional,best,5955.83,5955.83
Detached,42,T1,hybrid_bidirectional,worst,5119.4,8974.79
Detached,42,T1,hybrid_bidirectional,best,5119.4,8974.79
Detached,43,T1,safe_unidirectional,worst,5993.81,5993.81
Detached,43,T1,safe_unidirectional,best,5993.81,5993.81
Detached,43,T1,hybrid_bidirectional,worst,4824.56,8597.62
Detached,43,T1,hybrid_bidirectional,best,4824.56,8597.62
Detached,44,T1,safe_unidirectional,worst,6347.84,6347.84
Detached,44,T1,safe_unidirectional,best,6347.84,6347.84
Detached,44,T1,hybrid_bidirectional,worst,5453.88,9237.29
Detached,44,T1,hybrid_bidirectional,best,5453.88,9237.29
Detached,45,T1,safe_unidirectional,worst,5315.96,5315.96
Detached,45,T1,safe_unidirectional,best,5315.96,5315.96
Detached,45,T1,hybrid_bidirectional,worst,4678.27,7954.8
Detached,45,T1,hybrid_bidirectional,best,4678.27,7954.8
Detached,46,T1,safe_unidirectional,worst,6800.14,6800.14
Detached,46,T1,safe_unidirectional,best,6800.14,6800.14
Detached,46,T1,hybrid_bidirectional,worst,5771.43,9604.74
Detached,46,T1,hybrid_bidirectional,best,5771.43,9604.74
Detached,47,T1,safe_unidirectional,worst,5542.69,5542.69
Detached,47,T1,safe_unidirectional,best,5542.69,5542.69
Detached,47,T1,hybrid_bidirectional,worst,4977.75,8485.18
Detached,47,T1,hybrid_bidirectional,best,4977.75,8485.18
Detached,48,T1,safe_unidirectional,worst,5432.58,5432.58
Detached,48,T1,safe_unidirectional,best,5432.58,5432.58
Detached,48,T1,hybrid_bidirectional,worst,4799.17,8260.12
Detached,48,T1,hybrid_bidirectional,best,4799.17,8260.12
Detached,49,T1,safe_unidirectional,worst,5754.2,5754.2
Detached,49,T1,safe_unidirectional,best,5754.2,5754.2
Detached,49,T1,hybrid_bidirectional,worst,4856.36,7969.26
Detached,49,T1,hybrid_bidirectional,best,4856.36,7969.26
Detached,50,T1,safe_unidirectional,worst,6168.3,6168.3
Detached,50,T1,safe_unidirectional,best,6168.3,6168.3
Detached,50,T1,hybrid_bidirectional,worst,5211.42,8806.89
Detached,50,T1,hybrid_bidirectional,best,5211.42,8806.89
Detached,51,T1,safe_unidirectional,worst,5672.14,5672.14
Detached,51,T1,safe_unidirectional,best,5672.14,5672.14
Detached,51,T1,hybrid_bidirectional,worst,4961.1,8479.7
Detached,51,T1,hybrid_bidirectional,best,4961.1,8479.7
Detached,52,T1,safe_unidirectional,worst,5968.75,5968.75
Detached,52,T1,safe_unidirectional,best,5968.75,5968.75
Detached,52,T1,hybrid_bidirectional,worst,5244.52,8982.03
Detached,52,T1,hybrid_bidirectional,best,5244.52,8982.03
Detached,53,T1,safe_unidirectional,worst,6346.1,6346.1
Detached,53,T1,safe_unidirectional,best,6346.1,6346.1
Detached,53,T1,hybrid_bidirectional,worst,5556.41,9055.24
Detached,53,T1,hybrid_bidirectional,best,5556.41,9055.24
Detached,54,T1,safe_unidirectional,worst,5895.29,5895.29
Detached,54,T1,safe_unidirectional,best,5895.29,5895.29
Detached,54,T1,hybrid_bidirectional,worst,4851.45,8654.99
Detached,54,T1,hybrid_bidirectional,best,4851.45,8654.99
Detached,55,T1,safe_unidirectional,worst,5744.07,5744.07
Detached,55,T1,safe_unidirectional,best,5744.07,5744.07
Detached,55,T1,hybrid_bidirectional,worst,4764.32,8324.45
Detached,55,T1,hybrid_bidirectional,best,4764.32,8324.45
Detached,56,T1,safe_unidirectional,worst,5835.53,5835.53
Detached,56,T1,safe_unidirectional,best,5835.53,5835.53
Detached,56,T1,hybrid_bidirectional,worst,5103.9,8754.59
Detached,56,T1,hybrid_bidirectional,best,5103.9,8754.59
Detached,57,T1,safe_unidirectional,worst,5772.14,5772.14
Detached,57,T1,safe_unidirectional,best,5772.14,5772.14
Detached,57,T1,hybrid_bidirectional,worst,5057.29,8408.02
Detached,57,T1,hybrid_bidirectional,best,5057.29,8408.02
Detached,58,T1,safe_unidirectional,worst,5898.66,5898.66
