Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T1,safe_unidirectional,worst,5081.39,5696.19
Detached,1,T1,safe_unidirectional,best,4989.67,5696.19
Detached,1,T1,hybrid_bidirectional,worst,3930.44,8034.34
Detached,1,T1,hybrid_bidirectional,best,3878.67,8073.81
Detached,2,T1,safe_unidirectional,worst,5292.06,6040.25
Detached,2,T1,safe_unidirectional,best,5195.68,6040.25
Detached,2,T1,hybrid_bidirectional,worst,3924.6,8319.45
Detached,2,T1,hybrid_bidirectional,best,3896.37,8392.46
Detached,3,T1,safe_unidirectional,worst,5521.44,6206.46
Detached,3,T1,safe_unidirectional,best,5436.62,6206.46
Detached,3,T1,hybrid_bidirectional,worst,4174.87,8603.08
Detached,3,T1,hybrid_bidirectional,best,3993.94,8519.7
Detached,4,T1,safe_unidirectional,worst,5321.89,6024.01
Detached,4,T1,safe_unidirectional,best,5251.87,6024.01
Detached,4,T1,hybrid_bidirectional,worst,4187.82,8460.34
Detached,4,T1,hybrid_bidirectional,best,3985.31,8344.4
Detached,5,T1,safe_unidirectional,worst,4865.61,5538.81
Detached,5,T1,safe_unidirectional,best,4781.02,5538.81
Detached,5,T1,hybrid_bidirectional,worst,3892.43,7643.87
Detached,5,T1,hybrid_bidirectional,best,3765.43,7604.4
Detached,6,T1,safe_unidirectional,worst,5150.38,5798.78
Detached,6,T1,safe_unidirectional,best,5092.33,5798.78
Detached,6,T1,hybrid_bidirectional,worst,3873.58,7941.33
Detached,6,T1,hybrid_bidirectional,best,3846.53,7992.88
Detached,7,T1,safe_unidirectional,worst,5338.13,5985.94
Detached,7,T1,safe_unidirectional,best,5235.86,5985.94
Detached,7,T1,hybrid_bidirectional,worst,3873.71,8294.98
Detached,7,T1,hybrid_bidirectional,best,3690.66,8213.83
Detached,8,T1,safe_unidirectional,worst,5111.3,5786.63
Detached,8,T1,safe_unidirectional,best,5031.2,5786.63
Detached,8,T1,hybrid_bidirectional,worst,3560.58,7738.75
Detached,8,T1,hybrid_bidirectional,best,3443.5,7732.09
Detached,9,T1,safe_unidirectional,worst,5529.47,6226.84
Detached,9,T1,safe_unidirectional,best,5407.03,6226.84
Detached,9,T1,hybrid_bidirectional,worst,4108.17,8499.63
Detached,9,T1,hybrid_bidirectional,best,3889.11,8419.46
Detached,10,T1,safe_unidirectional,worst,5045.36,5636.78
Detached,10,T1,safe_unidirectional,best,4981.21,5636.78
Detached,10,T1,hybrid_bidirectional,worst,3757.25,7945.58
Detached,10,T1,hybrid_bidirectional,best,3728.4,7988.25
Detached,11,T1,safe_unidirectional,worst,5736.06,6434.24
Detached,11,T1,safe_unidirectional,best,5654.97,6434.24
Detached,11,T1,hybrid_bidirectional,worst,4240.59,9177.91
Detached,11,T1,hybrid_bidirectional,best,4194.82,9191.48
Detached,12,T1,safe_unidirectional,worst,5889.64,6558.44
Detached,12,T1,safe_unidirectional,best,5812.56,6558.44
Detached,12,T1,hybrid_bidirectional,worst,4446.87,9112.18
Detached,12,T1,hybrid_bidirectional,best,4248.58,9036.7
Detached,13,T1,safe_unidirectional,worst,5314.11,6020.93
Detached,13,T1,safe_unidirectional,best,5205.53,6020.93
Detached,13,T1,hybrid_bidirectional,worst,4276.12,8587.99
Detached,13,T1,hybrid_bidirectional,best,4131.41,8553.21
Detached,14,T1,safe_unidirectional,worst,5317.64,6060.47
Detached,14,T1,safe_unidirectional,best,5271.04,6060.47
Detached,14,T1,hybrid_bidirectional,worst,4133.69,8683.28
Detached,14,T1,hybrid_bidirectional,best,3946.65,8563.4
Detached,15,T1,safe_unidirectional,worst,5352.56,5961.98
Detached,15,T1,safe_unidirectional,best,5284.81,5961.98
Detached,15,T1,hybrid_bidirectional,worst,4319.77,8728.1
Detached,15,T1,hybrid_bidirectional,best,4178.87,8641.27
Detached,16,T1,safe_unidirectional,worst,4798.75,5561.97
Detached,16,T1,safe_unidirectional,best,4730.89,5561.97
Detached,16,T1,hybrid_bidirectional,worst,3922.6,7798.49
Detached,16,T1,hybrid_bidirectional,best,3744.59,7714.38
Detached,17,T1,safe_unidirectional,worst,5075.68,5702.47
Detached,17,T1,safe_unidirectional,best,4997.4,5702.47
Detached,17,T1,hybrid_bidirectional,worst,3822.66,7780.14
Detached,17,T1,hybrid_bidirectional,best,3752.02,7787.54
Detached,18,T1,safe_unidirectional,worst,5415.41,6030.43
Detached,18,T1,safe_unidirectional,best,5338.76,6030.43
Detached,18,T1,hybrid_bidirectional,worst,4210.07,8601.19
Detached,18,T1,hybrid_bidirectional,best,4164.55,8640.9
Detached,19,T1,safe_unidirectional,worst,5491.03,6082.16
Detached,19,T1,safe_unidirectional,best,5386.7,6082.16
Detached,19,T1,hybrid_bidirectional,worst,4298.56,8687.7
Detached,19,T1,hybrid_bidirectional,best,4196.18,8670.93
Detached,20,T1,safe_unidirectional,worst,5852.58,6511.53
Detached,20,T1,safe_unidirectional,best,5759.31,6511.53
Detached,20,T1,hybrid_bidirectional,worst,4546.82,9294.91
Detached,20,T1,hybrid_bidirectional,best,4460.71,9294.67
Detached,21,T1,safe_unidirectional,worst,4432.06,4965.5
Detached,21,T1,safe_unidirectional,best,4357.48,4965.5
Detached,21,T1,hybrid_bidirectional,worst,3471.93,7107.31
Detached,21,T1,hybrid_bidirectional,best,3442.27,7170.45
Detached,22,T1,safe_unidirectional,worst,5038.36,5666.95
Detached,22,T1,safe_unidirectional,best,4944.12,5666.95
Detached,22,T1,hybrid_bidirectional,worst,3812.58,7973.04
Detached,22,T1,hybrid_bidirectional,best,3657.48,7904.96
Detached,23,T1,safe_unidirectional,worst,4828.35,5407.01
Detached,23,T1,safe_unidirectional,best,4776.19,5407.01
Detached,23,T1,hybrid_bidirectional,worst,3672.99,7630.71
Detached,23,T1,hybrid_bidirectional,best,3596.97,7650.45
Detached,24,T1,safe_unidirectional,worst,5936.48,6610.26
Detached,24,T1,safe_unidirectional,best,5806.89,6610.26
Detached,24,T1,hybrid_bidirectional,worst,4470.24,8948.16
Detached,24,T1,hybrid_bidirectional,best,4285.63,8904.75
Detached,25,T1,safe_unidirectional,worst,5338.85,5958.91
Detached,25,T1,safe_unidirectional,best,5263.53,5958.91
Detached,25,T1,hybrid_bidirectional,worst,4197.53,8436.68
Detached,25,T1,hybrid_bidirectional,best,3928.73,8265.25
Detached,26,T1,safe_unidirectional,worst,4614.7,5241.38
Detached,26,T1,safe_unidirectional,best,4538.53,5241.38
Detached,26,T1,hybrid_bidirectional,worst,3660.95,7434.5
Detached,26,T1,hybrid_bidirectional,best,3572.81,7416.24
Detached,27,T1,safe_unidirectional,worst,5314.66,5846.54
Detached,27,T1,safe_unidirectional,best,5253.54,5846.54
Detached,27,T1,hybrid_bidirectional,worst,4171.17,8296.18
Detached,27,T1,hybrid_bidirectional,best,4085.07,8302.6
Detached,28,T1,safe_unidirectional,worst,5028.2,5735.67
Detached,28,T1,safe_unidirectional,best,4968.38,5735.67
Detached,28,T1,hybrid_bidirectional,worst,3895.24,8187.04
Detached,28,T1,hybrid_bidirectional,best,3915.7,8300.26
Detached,29,T1,safe_unidirectional,worst,5660.59,6319.21
Detached,29,T1,safe_unidirectional,best,5564.11,6319.21
Detached,29,T1,hybrid_bidirectional,worst,4207.08,8699.3
Detached,29,T1,hybrid_bidirectional,best,4042.08,8656.13
Detached,30,T1,safe_unidirectional,worst,5819.68,6488.24
Detached,30,T1,safe_unidirectional,best,5762.39,6488.24
Detached,30,T1,hybrid_bidirectional,worst,4260.8,9053.08
Detached,30,T1,hybrid_bidirectional,best,4192.34,9081.45
Detached,31,T1,safe_unidirectional,worst,4984.26,5621.71
Detached,31,T1,safe_unidirectional,best,4890.73,5621.71
Detached,31,T1,hybrid_bidirectional,worst,3861.66,7875.75
Detached,31,T1,hybrid_bidirectional,best,3781.74,7887.84
Detached,32,T1,safe_unidirectional,worst,5316.25,6022.68
Detached,32,T1,safe_unidirectional,best,5210.69,6022.68
Detached,32,T1,hybrid_bidirectional,worst,4101.16,8544.84
Detached,32,T1,hybrid_bidirectional,best,3877.73,8435.08
Detached,33,T1,safe_unidirectional,worst,5272.95,5812.64
Detached,33,T1,safe_unidirectional,best,5217.73,5812.64
Detached,33,T1,hybrid_bidirectional,worst,3884.73,8021.3
Detached,33,T1,hybrid_bidirectional,best,3791.65,8000.58
Detached,34,T1,safe_unidirectional,worst,5627.69,6246.42
Detached,34,T1,safe_unidirectional,best,5521.32,6246.42
Detached,34,T1,hybrid_bidirectional,worst,4350.2,8476.28
Detached,34,T1,hybrid_bidirectional,best,4214.82,8460.0
Detached,35,T1,safe_unidirectional,worst,5725.48,6537.98
Detached,35,T1,safe_unidirectional,best,5648.34,6537.98
Detached,35,T1,hybrid_bidirectional,worst,4414.81,9157.83
Detached,35,T1,hybrid_bidirectional,best,4319.0,9163.5
Detached,36,T1,safe_unidirectional,worst,5781.17,6406.63
Detached,36,T1,safe_unidirectional,best,5694.2,6406.63
Detached,36,T1,hybrid_bidirectional,worst,4628.71,9034.86
Detached,36,T1,hybrid_bidirectional,best,4314.99,8835.56
Detached,37,T1,safe_unidirectional,worst,5300.23,5963.86
Detached,37,T1,safe_unidirectional,best,5213.51,5963.86
Detached,37,T1,hybrid_bidirectional,worst,4054.86,8580.74
Detached,37,T1,hybrid_bidirectional,best,3897.73,8505.51
Detached,38,T1,safe_unidirectional,worst,5888.19,6619.56
Detached,38,T1,safe_unidirectional,best,5756.4,6619.56
Detached,38,T1,hybrid_bidirectional,worst,4613.14,9016.67
Detached,38,T1,hybrid_bidirectional,best,4444.59,9008.28
Detached,39,T1,safe_unidirectional,worst,4929.21,5619.66
Detached,39,T1,safe_unidirectional,best,4835.63,5619.66
Detached,39,T1,hybrid_bidirectional,worst,4006.46,8194.12
Detached,39,T1,hybrid_bidirectional,best,3837.39,8135.17
Detached,40,T1,safe_unidirectional,worst,5611.39,6311.29
Detached,40,T1,safe_unidirectional,best,5525.85,6311.29
Detached,40,T1,hybrid_bidirectional,worst,4438.85,9076.17
Detached,40,T1,hybrid_bidirectional,best,4286.97,9035.97
Detached,41,T1,safe_unidirectional,worst,5883.06,6631.22
Detached,41,T1,safe_unidirectional,best,5791.57,6631.22
Detached,41,T1,hybrid_bidirectional,worst,4554.67,9518.21
Detached,41,T1,hybrid_bidirectional,best,4236.0,9318.9
Detached,42,T1,safe_unidirectional,worst,5371.83,5955.83
Detached,42,T1,safe_unidirectional,best,5289.56,5955.83
Detached,42,T1,hybrid_bidirectional,worst,4098.66,8501.68
Detached,42,T1,hybrid_bidirectional,best,4064.31,8548.05
Detached,43,T1,safe_unidirectional,worst,5335.83,5993.81
Detached,43,T1,safe_unidirectional,best,5270.11,5993.81
Detached,43,T1,hybrid_bidirectional,worst,3972.73,8369.7
Detached,43,T1,hybrid_bidirectional,best,3867.08,8327.52
Detached,44,T1,safe_unidirectional,worst,5658.54,6347.84
Detached,44,T1,safe_unidirectional,best,5599.92,6347.84
Detached,44,T1,hybrid_bidirectional,worst,4325.22,8846.82
Detached,44,T1,hybrid_bidirectional,best,4298.58,8941.05
Detached,45,T1,safe_unidirectional,worst,4652.89,5315.96
Detached,45,T1,safe_unidirectional,best,4566.7,5315.96
Detached,45,T1,hybrid_bidirectional,worst,3749.86,7564.08
Detached,45,T1,hybrid_bidirectional,best,3627.07,7553.72
Detached,46,T1,safe_unidirectional,worst,6037.73,6800.14
Detached,46,T1,safe_unidirectional,best,5915.87,6800.14
Detached,46,T1,hybrid_bidirectional,worst,4685.9,9284.32
Detached,46,T1,hybrid_bidirectional,best,4502.86,9260.89
Detached,47,T1,safe_unidirectional,worst,4950.74,5542.69
Detached,47,T1,safe_unidirectional,best,4869.09,5542.69
Detached,47,T1,hybrid_bidirectional,worst,4024.59,8063.63
Detached,47,T1,hybrid_bidirectional,best,3883.02,8019.97
Detached,48,T1,safe_unidirectional,worst,4747.23,5432.58
Detached,48,T1,safe_unidirectional,best,4661.04,5432.58
Detached,48,T1,hybrid_bidirectional,worst,3782.46,7785.29
Detached,48,T1,hybrid_bidirectional,best,3591.14,7694.02
Detached,49,T1,safe_unidirectional,worst,5048.75,5754.2
Detached,49,T1,safe_unidirectional,best,4961.64,5754.2
Detached,49,T1,hybrid_bidirectional,worst,3923.93,7776.37
Detached,49,T1,hybrid_bidirectional,best,3803.85,7780.07
Detached,50,T1,safe_unidirectional,worst,5479.56,6168.3
Detached,50,T1,safe_unidirectional,best,5399.44,6168.3
Detached,50,T1,hybrid_bidirectional,worst,4153.85,8500.78
Detached,50,T1,hybrid_bidirectional,best,4102.22,8578.23
Detached,51,T1,safe_unidirectional,worst,5097.38,5672.14
Detached,51,T1,safe_unidirectional,best,5014.17,5672.14
Detached,51,T1,hybrid_bidirectional,worst,3986.98,8113.65
Detached,51,T1,hybrid_bidirectional,best,3918.51,8140.53
Detached,52,T1,safe_unidirectional,worst,5293.32,5968.75
