Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T2,safe_unidirectional,worst,3444.46,5174.74
Detached,1,T2,safe_unidirectional,best,3246.38,5174.74
Detached,1,T2,hybrid_bidirectional,worst,2409.79,6362.93
Detached,1,T2,hybrid_bidirectional,best,2227.27,6316.56
Detached,2,T2,safe_unidirectional,worst,3652.59,5518.79
Detached,2,T2,safe_unidirectional,best,3441.51,5518.79
Detached,2,T2,hybrid_bidirectional,worst,2559.69,6968.95
Detached,2,T2,hybrid_bidirectional,best,2256.8,6873.24
Detached,3,T2,safe_unidirectional,worst,3894.33,5685.01
Detached,3,T2,safe_unidirectional,best,3675.85,5685.01
Detached,3,T2,hybrid_bidirectional,worst,2926.31,7312.02
Detached,3,T2,hybrid_bidirectional,best,2484.49,7071.28
Detached,4,T2,safe_unidirectional,worst,3717.99,5502.56
Detached,4,T2,safe_unidirectional,best,3522.37,5502.56
Detached,4,T2,hybrid_bidirectional,worst,2667.38,6818.03
Detached,4,T2,hybrid_bidirectional,best,2300.3,6668.55
Detached,5,T2,safe_unidirectional,worst,3261.33,5017.36
Detached,5,T2,safe_unidirectional,best,3045.14,5017.36
Detached,5,T2,hybrid_bidirectional,worst,2311.46,6186.56
Detached,5,T2,hybrid_bidirectional,best,2046.19,6059.53
Detached,6,T2,safe_unidirectional,worst,3505.37,5277.33
Detached,6,T2,safe_unidirectional,best,3332.95,5277.33
Detached,6,T2,hybrid_bidirectional,worst,2505.06,6501.29
Detached,6,T2,hybrid_bidirectional,best,2178.16,6337.5
Detached,7,T2,safe_unidirectional,worst,3701.37,5464.48
Detached,7,T2,safe_unidirectional,best,3461.64,5464.48
Detached,7,T2,hybrid_bidirectional,worst,2771.5,7004.18
Detached,7,T2,hybrid_bidirectional,best,2316.29,6748.38
Detached,8,T2,safe_unidirectional,worst,3506.31,5265.17
Detached,8,T2,safe_unidirectional,best,3283.94,5265.17
Detached,8,T2,hybrid_bidirectional,worst,2619.03,6686.47
Detached,8,T2,hybrid_bidirectional,best,2220.07,6484.45
Detached,9,T2,safe_unidirectional,worst,3936.67,5705.39
Detached,9,T2,safe_unidirectional,best,3689.39,5705.39
Detached,9,T2,hybrid_bidirectional,worst,2785.11,7107.19
Detached,9,T2,hybrid_bidirectional,best,2616.94,7142.22
Detached,10,T2,safe_unidirectional,worst,3431.68,5115.33
Detached,10,T2,safe_unidirectional,best,3238.8,5115.33
Detached,10,T2,hybrid_bidirectional,worst,2454.88,6521.82
Detached,10,T2,hybrid_bidirectional,best,2074.17,6378.26
Detached,11,T2,safe_unidirectional,worst,4069.13,5912.78
Detached,11,T2,safe_unidirectional,best,3861.72,5912.78
Detached,11,T2,hybrid_bidirectional,worst,3013.22,7818.78
Detached,11,T2,hybrid_bidirectional,best,2484.55,7474.92
Detached,12,T2,safe_unidirectional,worst,4279.68,6036.98
Detached,12,T2,safe_unidirectional,best,4083.41,6036.98
Detached,12,T2,hybrid_bidirectional,worst,3066.13,7685.21
Detached,12,T2,hybrid_bidirectional,best,2601.71,7411.16
Detached,13,T2,safe_unidirectional,worst,3667.4,5499.48
Detached,13,T2,safe_unidirectional,best,3452.13,5499.48
Detached,13,T2,hybrid_bidirectional,worst,2599.52,6908.93
Detached,13,T2,hybrid_bidirectional,best,2208.57,6700.75
Detached,14,T2,safe_unidirectional,worst,3679.84,5539.02
Detached,14,T2,safe_unidirectional,best,3497.5,5539.02
Detached,14,T2,hybrid_bidirectional,worst,2535.41,7100.91
Detached,14,T2,hybrid_bidirectional,best,2105.77,6826.62
Detached,15,T2,safe_unidirectional,worst,3773.53,5440.53
Detached,15,T2,safe_unidirectional,best,3575.92,5440.53
Detached,15,T2,hybrid_bidirectional,worst,2771.6,7112.93
Detached,15,T2,hybrid_bidirectional,best,2453.72,6974.79
Detached,16,T2,safe_unidirectional,worst,3205.79,5040.51
Detached,16,T2,safe_unidirectional,best,2985.68,5040.51
Detached,16,T2,hybrid_bidirectional,worst,2403.12,6486.97
Detached,16,T2,hybrid_bidirectional,best,2041.29,6246.96
Detached,17,T2,safe_unidirectional,worst,3511.52,5181.01
