Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T2,safe_unidirectional,worst,4558.67,5174.74
Detached,1,T2,safe_unidirectional,best,4478.73,5174.74
Detached,1,T2,hybrid_bidirectional,worst,2762.82,6665.34
Detached,1,T2,hybrid_bidirectional,best,2646.07,6686.31
Detached,2,T2,safe_unidirectional,worst,4769.37,5518.79
Detached,2,T2,safe_unidirectional,best,4680.91,5518.79
Detached,2,T2,hybrid_bidirectional,worst,2878.25,7176.15
Detached,2,T2,hybrid_bidirectional,best,2752.37,7254.83
Detached,3,T2,safe_unidirectional,worst,4996.79,5685.01
Detached,3,T2,safe_unidirectional,best,4925.33,5685.01
Detached,3,T2,hybrid_bidirectional,worst,3189.37,7507.63
Detached,3,T2,hybrid_bidirectional,best,2847.21,7346.8
Detached,4,T2,safe_unidirectional,worst,4805.14,5502.56
Detached,4,T2,safe_unidirectional,best,4745.73,5502.56
Detached,4,T2,hybrid_bidirectional,worst,3068.78,7112.3
Detached,4,T2,hybrid_bidirectional,best,2682.51,6931.5
Detached,5,T2,safe_unidirectional,worst,4348.16,5017.36
Detached,5,T2,safe_unidirectional,best,4272.88,5017.36
Detached,5,T2,hybrid_bidirectional,worst,2693.08,6492.18
Detached,5,T2,hybrid_bidirectional,best,2401.42,6332.09
Detached,6,T2,safe_unidirectional,worst,4629.95,5277.33
Detached,6,T2,safe_unidirectional,best,4581.77,5277.33
Detached,6,T2,hybrid_bidirectional,worst,2834.33,6741.3
Detached,6,T2,hybrid_bidirectional,best,2485.93,6556.3
Detached,7,T2,safe_unidirectional,worst,4815.42,5464.48
Detached,7,T2,safe_unidirectional,best,4725.4,5464.48
Detached,7,T2,hybrid_bidirectional,worst,3127.08,7282.91
Detached,7,T2,hybrid_bidirectional,best,2712.96,7058.2
Detached,8,T2,safe_unidirectional,worst,4585.09,5265.17
Detached,8,T2,safe_unidirectional,best,4516.13,5265.17
Detached,8,T2,hybrid_bidirectional,worst,2879.6,6876.89
Detached,8,T2,hybrid_bidirectional,best,2652.87,6824.11
Detached,9,T2,safe_unidirectional,worst,5006.21,5705.39
Detached,9,T2,safe_unidirectional,best,4893.61,5705.39
Detached,9,T2,hybrid_bidirectional,worst,3273.95,7485.33
Detached,9,T2,hybrid_bidirectional,best,2954.33,7363.23
Detached,10,T2,safe_unidirectional,worst,4525.99,5115.33
Detached,10,T2,safe_unidirectional,best,4473.81,5115.33
Detached,10,T2,hybrid_bidirectional,worst,2861.45,6870.61
Detached,10,T2,hybrid_bidirectional,best,2619.83,6818.56
Detached,11,T2,safe_unidirectional,worst,5219.24,5912.78
Detached,11,T2,safe_unidirectional,best,5144.02,5912.78
Detached,11,T2,hybrid_bidirectional,worst,3270.74,7981.08
Detached,11,T2,hybrid_bidirectional,best,3029.04,7892.78
Detached,12,T2,safe_unidirectional,worst,5371.04,6036.98
Detached,12,T2,safe_unidirectional,best,5303.06,6036.98
Detached,12,T2,hybrid_bidirectional,worst,3349.82,7866.02
Detached,12,T2,hybrid_bidirectional,best,3033.19,7704.94
Detached,13,T2,safe_unidirectional,worst,4791.21,5499.48
Detached,13,T2,safe_unidirectional,best,4696.55,5499.48
Detached,13,T2,hybrid_bidirectional,worst,2903.2,7127.73
Detached,13,T2,hybrid_bidirectional,best,2498.71,6915.59
Detached,14,T2,safe_unidirectional,worst,4794.72,5539.02
Detached,14,T2,safe_unidirectional,best,4758.6,5539.02
Detached,14,T2,hybrid_bidirectional,worst,2870.25,7355.22
Detached,14,T2,hybrid_bidirectional,best,2470.42,7084.38
Detached,15,T2,safe_unidirectional,worst,4831.68,5440.53
Detached,15,T2,safe_unidirectional,best,4776.09,5440.53
Detached,15,T2,hybrid_bidirectional,worst,2979.57,7211.84
Detached,15,T2,hybrid_bidirectional,best,2676.87,7085.05
Detached,16,T2,safe_unidirectional,worst,4283.91,5040.51
Detached,16,T2,safe_unidirectional,best,4222.22,5040.51
Detached,16,T2,hybrid_bidirectional,worst,2667.02,6683.07
Detached,16,T2,hybrid_bidirectional,best,2409.33,6544.19
Detached,17,T2,safe_unidirectional,worst,4560.9,5181.01
Detached,17,T2,safe_unidirectional,best,4491.06,5181.01
Detached,17,T2,hybrid_bidirectional,worst,2857.25,6727.37
Detached,17,T2,hybrid_bidirectional,best,2690.81,6722.93
Detached,18,T2,safe_unidirectional,worst,4896.45,5508.98
Detached,18,T2,safe_unidirectional,best,4831.52,5508.98
Detached,18,T2,hybrid_bidirectional,worst,3046.5,7316.55
Detached,18,T2,hybrid_bidirectional,best,2744.05,7168.8
Detached,19,T2,safe_unidirectional,worst,4969.86,5560.71
Detached,19,T2,safe_unidirectional,best,4875.43,5560.71
Detached,19,T2,hybrid_bidirectional,worst,3027.49,7326.35
Detached,19,T2,hybrid_bidirectional,best,2691.02,7143.57
Detached,20,T2,safe_unidirectional,worst,5328.59,5990.07
Detached,20,T2,safe_unidirectional,best,5245.5,5990.07
Detached,20,T2,hybrid_bidirectional,worst,3348.8,7842.05
Detached,20,T2,hybrid_bidirectional,best,3014.9,7730.8
Detached,21,T2,safe_unidirectional,worst,3913.52,4444.05
Detached,21,T2,safe_unidirectional,best,3848.33,4444.05
Detached,21,T2,hybrid_bidirectional,worst,2326.32,5900.86
Detached,21,T2,hybrid_bidirectional,best,2120.35,5822.91
Detached,22,T2,safe_unidirectional,worst,4519.21,5145.5
Detached,22,T2,safe_unidirectional,best,4435.29,5145.5
Detached,22,T2,hybrid_bidirectional,worst,2502.71,6657.07
Detached,22,T2,hybrid_bidirectional,best,2307.81,6562.1
Detached,23,T2,safe_unidirectional,worst,4307.54,4885.56
Detached,23,T2,safe_unidirectional,best,4260.85,4885.56
Detached,23,T2,hybrid_bidirectional,worst,2469.88,6381.59
Detached,23,T2,hybrid_bidirectional,best,2345.52,6403.05
Detached,24,T2,safe_unidirectional,worst,5417.15,6088.8
Detached,24,T2,safe_unidirectional,best,5301.52,6088.8
Detached,24,T2,hybrid_bidirectional,worst,3625.27,7869.98
Detached,24,T2,hybrid_bidirectional,best,3210.01,7673.39
Detached,25,T2,safe_unidirectional,worst,4820.55,5437.46
Detached,25,T2,safe_unidirectional,best,4757.19,5437.46
Detached,25,T2,hybrid_bidirectional,worst,3012.65,7209.76
Detached,25,T2,hybrid_bidirectional,best,2597.69,6959.39
Detached,26,T2,safe_unidirectional,worst,4095.19,4719.93
Detached,26,T2,safe_unidirectional,best,4029.83,4719.93
Detached,26,T2,hybrid_bidirectional,worst,2244.32,6005.8
Detached,26,T2,hybrid_bidirectional,best,2129.56,6002.6
Detached,27,T2,safe_unidirectional,worst,4796.21,5325.08
Detached,27,T2,safe_unidirectional,best,4746.28,5325.08
Detached,27,T2,hybrid_bidirectional,worst,2989.63,6915.1
Detached,27,T2,hybrid_bidirectional,best,2664.7,6771.54
Detached,28,T2,safe_unidirectional,worst,4507.17,5214.22
Detached,28,T2,safe_unidirectional,best,4456.91,5214.22
