Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Cost
Detached,1,T1,safe_unidirectional,worst,3924.45,738.159
Detached,1,T1,safe_unidirectional,best,3712.43,634.715
Detached,1,T1,hybrid_bidirectional,worst,3118.94,213.972
Detached,1,T1,hybrid_bidirectional,best,2830.61,95.3971
Detached,1,T2,safe_unidirectional,worst,3448.97,701.76
Detached,1,T2,safe_unidirectional,best,3250.94,598.075
Detached,1,T2,hybrid_bidirectional,worst,2414.16,136.905
Detached,1,T2,hybrid_bidirectional,best,2214.69,25.1928
Detached,1,T3,safe_unidirectional,worst,3132.54,676.724
Detached,1,T3,safe_unidirectional,best,2929.17,573.038
Detached,1,T3,hybrid_bidirectional,worst,2125.06,194.387
Detached,1,T3,hybrid_bidirectional,best,1755.61,31.4341
Detached,2,T1,safe_unidirectional,worst,4138.03,896.617
Detached,2,T1,safe_unidirectional,best,3919.31,790.705
Detached,2,T1,hybrid_bidirectional,worst,3204.19,235.165
Detached,2,T1,hybrid_bidirectional,best,3010.14,117.516
Detached,2,T2,safe_unidirectional,worst,3657.09,860.771
Detached,2,T2,safe_unidirectional,best,3445.99,754.86
Detached,2,T2,hybrid_bidirectional,worst,2588.91,147.092
Detached,2,T2,hybrid_bidirectional,best,2261.4,17.054
Detached,2,T3,safe_unidirectional,worst,3342.97,836.995
Detached,2,T3,safe_unidirectional,best,3131.66,731.083
Detached,2,T3,hybrid_bidirectional,worst,2434.68,242.19
Detached,2,T3,hybrid_bidirectional,best,1924.39,63.864
Detached,3,T1,safe_unidirectional,worst,4372.98,800.177
Detached,3,T1,safe_unidirectional,best,4146.01,697.999
Detached,3,T1,hybrid_bidirectional,worst,3610.68,253.114
Detached,3,T1,hybrid_bidirectional,best,3340.58,138.146
Detached,3,T2,safe_unidirectional,worst,3898.83,763.347
Detached,3,T2,safe_unidirectional,best,3680.37,661.169
Detached,3,T2,hybrid_bidirectional,worst,2930.71,157.524
Detached,3,T2,hybrid_bidirectional,best,2472.8,24.8851
Detached,3,T3,safe_unidirectional,worst,3601.83,740.21
Detached,3,T3,safe_unidirectional,best,3388.06,638.032
Detached,3,T3,hybrid_bidirectional,worst,2466.28,237.186
Detached,3,T3,hybrid_bidirectional,best,1881.86,60.3972
Detached,4,T1,safe_unidirectional,worst,4167.22,809.654
Detached,4,T1,safe_unidirectional,best,3960.25,711.435
Detached,4,T1,hybrid_bidirectional,worst,3326.98,236.012
Detached,4,T1,hybrid_bidirectional,best,3132.11,129.895
Detached,4,T2,safe_unidirectional,worst,3722.48,775.017
Detached,4,T2,safe_unidirectional,best,3526.88,676.781
Detached,4,T2,hybrid_bidirectional,worst,2636.33,185.189
Detached,4,T2,hybrid_bidirectional,best,2280.02,59.9317
Detached,4,T3,safe_unidirectional,worst,3420.21,752.674
Detached,4,T3,safe_unidirectional,best,3232.73,654.231
Detached,4,T3,hybrid_bidirectional,worst,2526.51,256.032
Detached,4,T3,hybrid_bidirectional,best,1975.7,88.5488
Detached,5,T1,safe_unidirectional,worst,3718.12,714.013
Detached,5,T1,safe_unidirectional,best,3493.35,611.525
Detached,5,T1,hybrid_bidirectional,worst,3072.74,229.231
Detached,5,T1,hybrid_bidirectional,best,2878.61,118.822
Detached,5,T2,safe_unidirectional,worst,3265.83,678.841
Detached,5,T2,safe_unidirectional,best,3049.59,576.353
Detached,5,T2,hybrid_bidirectional,worst,2315.9,122.816
Detached,5,T2,hybrid_bidirectional,best,2051.01,1.03145
Detached,5,T3,safe_unidirectional,worst,2955.45,653.58
Detached,5,T3,safe_unidirectional,best,2746.95,551.092
Detached,5,T3,hybrid_bidirectional,worst,2136.79,207.566
Detached,5,T3,hybrid_bidirectional,best,1722.41,60.4131
Detached,6,T1,safe_unidirectional,worst,3968.16,700.1
Detached,6,T1,safe_unidirectional,best,3781.09,605.683
Detached,6,T1,hybrid_bidirectional,worst,3319.1,195.288
Detached,6,T1,hybrid_bidirectional,best,3153.49,92.4093
Detached,6,T2,safe_unidirectional,worst,3509.89,664.756
Detached,6,T2,safe_unidirectional,best,3337.48,570.339
Detached,6,T2,hybrid_bidirectional,worst,2492.76,118.724
Detached,6,T2,hybrid_bidirectional,best,2173.91,
Detached,6,T3,safe_unidirectional,worst,3204.93,639.788
Detached,6,T3,safe_unidirectional,best,3034.28,545.371
Detached,6,T3,hybrid_bidirectional,worst,2253.6,165.089
Detached,6,T3,hybrid_bidirectional,best,1822.78,13.4283
Detached,7,T1,safe_unidirectional,worst,4167.74,740.41
Detached,7,T1,safe_unidirectional,best,3911.58,633.397
Detached,7,T1,hybrid_bidirectional,worst,3206.0,175.04
Detached,7,T1,hybrid_bidirectional,best,3020.95,66.8427
Detached,7,T2,safe_unidirectional,worst,3705.86,704.201
Detached,7,T2,safe_unidirectional,best,3466.13,597.188
Detached,7,T2,hybrid_bidirectional,worst,2776.14,119.702
Detached,7,T2,hybrid_bidirectional,best,2286.59,
Detached,7,T3,safe_unidirectional,worst,3399.81,679.148
Detached,7,T3,safe_unidirectional,best,3157.29,572.134
Detached,7,T3,hybrid_bidirectional,worst,2418.99,162.038
Detached,7,T3,hybrid_bidirectional,best,1995.1,
Detached,8,T1,safe_unidirectional,worst,4004.41,830.16
Detached,8,T1,safe_unidirectional,best,3773.45,729.8
Detached,8,T1,hybrid_bidirectional,worst,3028.58,212.856
Detached,8,T1,hybrid_bidirectional,best,2655.0,86.7321
Detached,8,T2,safe_unidirectional,worst,3510.81,794.66
Detached,8,T2,safe_unidirectional,best,3288.44,694.058
Detached,8,T2,hybrid_bidirectional,worst,2623.53,177.07
Detached,8,T2,hybrid_bidirectional,best,2216.55,35.5049
