Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T1,safe_unidirectional,worst,5081.39,5696.19
Detached,1,T1,safe_unidirectional,best,4989.67,5696.19
Detached,1,T1,hybrid_bidirectional,worst,4342.19,8430.74
Detached,1,T1,hybrid_bidirectional,best,4291.72,8464.04
Detached,1,T2,safe_unidirectional,worst,4558.67,5174.74
Detached,1,T2,safe_unidirectional,best,4478.73,5174.74
Detached,1,T2,hybrid_bidirectional,worst,3812.45,7527.44
Detached,1,T2,hybrid_bidirectional,best,3810.03,7600.7
Detached,2,T1,safe_unidirectional,worst,5292.06,6040.25
Detached,2,T1,safe_unidirectional,best,5195.68,6040.25
Detached,2,T1,hybrid_bidirectional,worst,4421.79,8691.67
Detached,2,T1,hybrid_bidirectional,best,4366.24,8728.42
Detached,2,T2,safe_unidirectional,worst,4769.37,5518.79
Detached,2,T2,safe_unidirectional,best,4680.91,5518.79
Detached,2,T2,hybrid_bidirectional,worst,3977.09,7928.73
Detached,2,T2,hybrid_bidirectional,best,3950.66,8005.93
Detached,3,T1,safe_unidirectional,worst,5521.44,6206.46
Detached,3,T1,safe_unidirectional,best,5436.62,6206.46
Detached,3,T1,hybrid_bidirectional,worst,4497.73,8830.5
Detached,3,T1,hybrid_bidirectional,best,4431.94,8866.02
Detached,3,T2,safe_unidirectional,worst,4996.79,5685.01
Detached,3,T2,safe_unidirectional,best,4925.33,5685.01
Detached,3,T2,hybrid_bidirectional,worst,4222.53,8127.26
Detached,3,T2,hybrid_bidirectional,best,4123.31,8111.47
Detached,4,T1,safe_unidirectional,worst,5321.89,6024.01
Detached,4,T1,safe_unidirectional,best,5251.87,6024.01
Detached,4,T1,hybrid_bidirectional,worst,4522.6,8704.04
Detached,4,T1,hybrid_bidirectional,best,4379.73,8636.21
Detached,4,T2,safe_unidirectional,worst,4805.14,5502.56
Detached,4,T2,safe_unidirectional,best,4745.73,5502.56
Detached,4,T2,hybrid_bidirectional,worst,3967.61,7702.58
Detached,4,T2,hybrid_bidirectional,best,3918.9,7726.01
Detached,5,T1,safe_unidirectional,worst,4865.61,5538.81
Detached,5,T1,safe_unidirectional,best,4781.02,5538.81
Detached,5,T1,hybrid_bidirectional,worst,4536.77,8248.69
Detached,5,T1,hybrid_bidirectional,best,4481.21,8281.5
Detached,5,T2,safe_unidirectional,worst,4348.16,5017.36
Detached,5,T2,safe_unidirectional,best,4272.88,5017.36
Detached,5,T2,hybrid_bidirectional,worst,3423.48,7007.47
Detached,5,T2,hybrid_bidirectional,best,3438.81,7088.13
Detached,6,T1,safe_unidirectional,worst,5150.38,5798.78
Detached,6,T1,safe_unidirectional,best,5092.33,5798.78
Detached,6,T1,hybrid_bidirectional,worst,4218.11,8208.96
Detached,6,T1,hybrid_bidirectional,best,4263.78,8306.89
Detached,6,T2,safe_unidirectional,worst,4629.95,5277.33
Detached,6,T2,safe_unidirectional,best,4581.77,5277.33
Detached,6,T2,hybrid_bidirectional,worst,3762.85,7402.61
Detached,6,T2,hybrid_bidirectional,best,3734.05,7405.57
Detached,7,T1,safe_unidirectional,worst,5338.13,5985.94
Detached,7,T1,safe_unidirectional,best,5235.86,5985.94
Detached,7,T1,hybrid_bidirectional,worst,4334.38,8669.18
Detached,7,T1,hybrid_bidirectional,best,4266.15,8693.6
Detached,7,T2,safe_unidirectional,worst,4815.42,5464.48
Detached,7,T2,safe_unidirectional,best,4725.4,5464.48
Detached,7,T2,hybrid_bidirectional,worst,4012.83,7856.66
Detached,7,T2,hybrid_bidirectional,best,3914.63,7841.12
Detached,8,T1,safe_unidirectional,worst,5111.3,5786.63
Detached,8,T1,safe_unidirectional,best,5031.2,5786.63
Detached,8,T1,hybrid_bidirectional,worst,4172.42,8313.73
Detached,8,T1,hybrid_bidirectional,best,4132.45,8363.31
Detached,8,T2,safe_unidirectional,worst,4585.09,5265.17
Detached,8,T2,safe_unidirectional,best,4516.13,5265.17
Detached,8,T2,hybrid_bidirectional,worst,3825.18,7632.43
Detached,8,T2,hybrid_bidirectional,best,3768.25,7653.65
Detached,9,T1,safe_unidirectional,worst,5529.47,6226.84
Detached,9,T1,safe_unidirectional,best,5407.03,6226.84
Detached,9,T1,hybrid_bidirectional,worst,4523.46,8796.86
Detached,9,T1,hybrid_bidirectional,best,4394.11,8792.91
Detached,9,T2,safe_unidirectional,worst,5006.21,5705.39
Detached,9,T2,safe_unidirectional,best,4893.61,5705.39
Detached,9,T2,hybrid_bidirectional,worst,4108.81,7939.45
Detached,9,T2,hybrid_bidirectional,best,3989.07,7942.41
Detached,10,T1,safe_unidirectional,worst,5045.36,5636.78
Detached,10,T1,safe_unidirectional,best,4981.21,5636.78
Detached,10,T1,hybrid_bidirectional,worst,4095.96,8192.74
Detached,10,T1,hybrid_bidirectional,best,4021.4,8186.57
Detached,10,T2,safe_unidirectional,worst,4525.99,5115.33
Detached,10,T2,safe_unidirectional,best,4473.81,5115.33
Detached,10,T2,hybrid_bidirectional,worst,3723.29,7479.63
Detached,10,T2,hybrid_bidirectional,best,3661.2,7479.13
Detached,11,T1,safe_unidirectional,worst,5736.06,6434.24
Detached,11,T1,safe_unidirectional,best,5654.97,6434.24
Detached,11,T1,hybrid_bidirectional,worst,4879.13,9728.72
Detached,11,T1,hybrid_bidirectional,best,4821.06,9728.47
Detached,11,T2,safe_unidirectional,worst,5219.24,5912.78
Detached,11,T2,safe_unidirectional,best,5144.02,5912.78
Detached,11,T2,hybrid_bidirectional,worst,4326.26,8599.48
Detached,11,T2,hybrid_bidirectional,best,4307.61,8660.4
Detached,12,T1,safe_unidirectional,worst,5889.64,6558.44
Detached,12,T1,safe_unidirectional,best,5812.56,6558.44
Detached,12,T1,hybrid_bidirectional,worst,4749.73,9242.42
Detached,12,T1,hybrid_bidirectional,best,4606.8,9195.3
Detached,12,T2,safe_unidirectional,worst,5371.04,6036.98
Detached,12,T2,safe_unidirectional,best,5303.06,6036.98
Detached,12,T2,hybrid_bidirectional,worst,4363.06,8397.34
Detached,12,T2,hybrid_bidirectional,best,4275.61,8390.43
Detached,13,T1,safe_unidirectional,worst,5314.11,6020.93
Detached,13,T1,safe_unidirectional,best,5205.53,6020.93
Detached,13,T1,hybrid_bidirectional,worst,4684.49,8916.31
Detached,13,T1,hybrid_bidirectional,best,4550.34,8904.47
Detached,13,T2,safe_unidirectional,worst,4791.21,5499.48
Detached,13,T2,safe_unidirectional,best,4696.55,5499.48
Detached,13,T2,hybrid_bidirectional,worst,3871.75,7757.22
Detached,13,T2,hybrid_bidirectional,best,3715.62,7710.35
Detached,14,T1,safe_unidirectional,worst,5317.64,6060.47
Detached,14,T1,safe_unidirectional,best,5271.04,6060.47
Detached,14,T1,hybrid_bidirectional,worst,4550.31,9067.09
Detached,14,T1,hybrid_bidirectional,best,4479.67,9064.62
Detached,14,T2,safe_unidirectional,worst,4794.72,5539.02
Detached,14,T2,safe_unidirectional,best,4758.6,5539.02
Detached,14,T2,hybrid_bidirectional,worst,3713.51,7788.62
Detached,14,T2,hybrid_bidirectional,best,3692.82,7831.54
Detached,15,T1,safe_unidirectional,worst,5352.56,5961.98
Detached,15,T1,safe_unidirectional,best,5284.81,5961.98
Detached,15,T1,hybrid_bidirectional,worst,4631.56,8894.6
Detached,15,T1,hybrid_bidirectional,best,4586.37,8903.23
Detached,15,T2,safe_unidirectional,worst,4831.68,5440.53
Detached,15,T2,safe_unidirectional,best,4776.09,5440.53
Detached,15,T2,hybrid_bidirectional,worst,4013.74,7903.49
Detached,15,T2,hybrid_bidirectional,best,3926.68,7895.6
Detached,16,T1,safe_unidirectional,worst,4798.75,5561.97
Detached,16,T1,safe_unidirectional,best,4730.89,5561.97
Detached,16,T1,hybrid_bidirectional,worst,4194.46,8032.33
Detached,16,T1,hybrid_bidirectional,best,4061.43,7984.73
Detached,16,T2,safe_unidirectional,worst,4283.91,5040.51
Detached,16,T2,safe_unidirectional,best,4222.22,5040.51
Detached,16,T2,hybrid_bidirectional,worst,3473.16,7191.94
Detached,16,T2,hybrid_bidirectional,best,3372.11,7169.99
Detached,17,T1,safe_unidirectional,worst,5075.68,5702.47
Detached,17,T1,safe_unidirectional,best,4997.4,5702.47
Detached,17,T1,hybrid_bidirectional,worst,4300.05,8180.23
Detached,17,T1,hybrid_bidirectional,best,4173.74,8141.75
Detached,17,T2,safe_unidirectional,worst,4560.9,5181.01
Detached,17,T2,safe_unidirectional,best,4491.06,5181.01
Detached,17,T2,hybrid_bidirectional,worst,3839.4,7389.17
Detached,17,T2,hybrid_bidirectional,best,3817.96,7427.65
Detached,18,T1,safe_unidirectional,worst,5415.41,6030.43
Detached,18,T1,safe_unidirectional,best,5338.76,6030.43
Detached,18,T1,hybrid_bidirectional,worst,4783.9,9046.18
Detached,18,T1,hybrid_bidirectional,best,4631.18,8985.5
Detached,18,T2,safe_unidirectional,worst,4896.45,5508.98
Detached,18,T2,safe_unidirectional,best,4831.52,5508.98
Detached,18,T2,hybrid_bidirectional,worst,3845.69,7759.81
Detached,18,T2,hybrid_bidirectional,best,3851.83,7827.15
Detached,19,T1,safe_unidirectional,worst,5491.03,6082.16
Detached,19,T1,safe_unidirectional,best,5386.7,6082.16
Detached,19,T1,hybrid_bidirectional,worst,4649.46,8950.4
Detached,19,T1,hybrid_bidirectional,best,4647.87,9040.19
Detached,19,T2,safe_unidirectional,worst,4969.86,5560.71
Detached,19,T2,safe_unidirectional,best,4875.43,5560.71
Detached,19,T2,hybrid_bidirectional,worst,4040.67,7989.39
Detached,19,T2,hybrid_bidirectional,best,3948.08,8005.91
Detached,20,T1,safe_unidirectional,worst,5852.58,6511.53
Detached,20,T1,safe_unidirectional,best,5759.31,6511.53
Detached,20,T1,hybrid_bidirectional,worst,4954.44,9529.99
Detached,20,T1,hybrid_bidirectional,best,4808.1,9479.91
Detached,20,T2,safe_unidirectional,worst,5328.59,5990.07
Detached,20,T2,safe_unidirectional,best,5245.5,5990.07
Detached,20,T2,hybrid_bidirectional,worst,4263.33,8213.53
Detached,20,T2,hybrid_bidirectional,best,4268.54,8290.73
Detached,21,T1,safe_unidirectional,worst,4432.06,4965.5
Detached,21,T1,safe_unidirectional,best,4357.48,4965.5
Detached,21,T1,hybrid_bidirectional,worst,3915.35,7490.38
Detached,21,T1,hybrid_bidirectional,best,3807.14,7469.17
Detached,21,T2,safe_unidirectional,worst,3913.52,4444.05
Detached,21,T2,safe_unidirectional,best,3848.33,4444.05
Detached,21,T2,hybrid_bidirectional,worst,3265.67,6633.95
Detached,21,T2,hybrid_bidirectional,best,3174.75,6617.18
Detached,22,T1,safe_unidirectional,worst,5038.36,5666.95
Detached,22,T1,safe_unidirectional,best,4944.12,5666.95
Detached,22,T1,hybrid_bidirectional,worst,4351.0,8452.06
Detached,22,T1,hybrid_bidirectional,best,4351.55,8543.33
Detached,22,T2,safe_unidirectional,worst,4519.21,5145.5
Detached,22,T2,safe_unidirectional,best,4435.29,5145.5
Detached,22,T2,hybrid_bidirectional,worst,3666.61,7404.96
Detached,22,T2,hybrid_bidirectional,best,3490.47,7303.09
Detached,23,T1,safe_unidirectional,worst,4828.35,5407.01
Detached,23,T1,safe_unidirectional,best,4776.19,5407.01
Detached,23,T1,hybrid_bidirectional,worst,4074.13,7977.28
Detached,23,T1,hybrid_bidirectional,best,4001.01,7976.79
Detached,23,T2,safe_unidirectional,worst,4307.54,4885.56
Detached,23,T2,safe_unidirectional,best,4260.85,4885.56
Detached,23,T2,hybrid_bidirectional,worst,3465.21,7013.31
Detached,23,T2,hybrid_bidirectional,best,3369.86,6996.78
Detached,24,T1,safe_unidirectional,worst,5936.48,6610.26
Detached,24,T1,safe_unidirectional,best,5806.89,6610.26
Detached,24,T1,hybrid_bidirectional,worst,4916.06,9258.96
Detached,24,T1,hybrid_bidirectional,best,4796.74,9273.02
Detached,24,T2,safe_unidirectional,worst,5417.15,6088.8
Detached,24,T2,safe_unidirectional,best,5301.52,6088.8
Detached,24,T2,hybrid_bidirectional,worst,4738.86,8586.55
Detached,24,T2,hybrid_bidirectional,best,4479.37,8458.28
Detached,25,T1,safe_unidirectional,worst,5338.85,5958.91
Detached,25,T1,safe_unidirectional,best,5263.53,5958.91
Detached,25,T1,hybrid_bidirectional,worst,4647.8,8769.68
Detached,25,T1,hybrid_bidirectional,best,4620.65,8814.82
Detached,25,T2,safe_unidirectional,worst,4820.55,5437.46
Detached,25,T2,safe_unidirectional,best,4757.19,5437.46
Detached,25,T2,hybrid_bidirectional,worst,3827.75,7624.65
Detached,25,T2,hybrid_bidirectional,best,3654.5,7531.41
Detached,26,T1,safe_unidirectional,worst,4614.7,5241.38
Detached,26,T1,safe_unidirectional,best,4538.53,5241.38
Detached,26,T1,hybrid_bidirectional,worst,4067.05,7758.62
Detached,26,T1,hybrid_bidirectional,best,4040.93,7810.42
Detached,26,T2,safe_unidirectional,worst,4095.19,4719.93
