Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T1,safe_unidirectional,worst,5081.39,5696.19
Detached,1,T1,safe_unidirectional,best,4989.67,5696.19
Detached,1,T1,hybrid_bidirectional,worst,3930.44,8034.34
Detached,1,T1,hybrid_bidirectional,best,3878.67,8073.81
Detached,1,T2,safe_unidirectional,worst,4558.67,5174.74
Detached,1,T2,safe_unidirectional,best,4478.73,5174.74
Detached,1,T2,hybrid_bidirectional,worst,2762.82,6665.34
Detached,1,T2,hybrid_bidirectional,best,2646.07,6686.31
Detached,1,T3,safe_unidirectional,worst,4207.68,4815.1
Detached,1,T3,safe_unidirectional,best,4129.21,4815.1
Detached,1,T3,hybrid_bidirectional,worst,2202.98,5437.93
Detached,1,T3,hybrid_bidirectional,best,1825.03,5370.34
Detached,2,T1,safe_unidirectional,worst,5292.06,6040.25
Detached,2,T1,safe_unidirectional,best,5195.68,6040.25
Detached,2,T1,hybrid_bidirectional,worst,3924.6,8319.45
Detached,2,T1,hybrid_bidirectional,best,3896.37,8392.46
Detached,2,T2,safe_unidirectional,worst,4769.37,5518.79
Detached,2,T2,safe_unidirectional,best,4680.91,5518.79
Detached,2,T2,hybrid_bidirectional,worst,2878.25,7176.15
Detached,2,T2,hybrid_bidirectional,best,2752.37,7254.83
Detached,2,T3,safe_unidirectional,worst,4423.35,5159.15
Detached,2,T3,safe_unidirectional,best,4336.41,5159.15
Detached,2,T3,hybrid_bidirectional,worst,2473.44,5957.12
Detached,2,T3,hybrid_bidirectional,best,1980.02,5907.29
Detached,3,T1,safe_unidirectional,worst,5521.44,6206.46
Detached,3,T1,safe_unidirectional,best,5436.62,6206.46
Detached,3,T1,hybrid_bidirectional,worst,4174.87,8603.08
Detached,3,T1,hybrid_bidirectional,best,3993.94,8519.7
Detached,3,T2,safe_unidirectional,worst,4996.79,5685.01
Detached,3,T2,safe_unidirectional,best,4925.33,5685.01
Detached,3,T2,hybrid_bidirectional,worst,3189.37,7507.63
Detached,3,T2,hybrid_bidirectional,best,2847.21,7346.8
Detached,3,T3,safe_unidirectional,worst,4649.38,5325.37
Detached,3,T3,safe_unidirectional,best,4579.45,5325.37
Detached,3,T3,hybrid_bidirectional,worst,2545.48,6110.26
Detached,3,T3,hybrid_bidirectional,best,1972.79,5888.26
Detached,4,T1,safe_unidirectional,worst,5321.89,6024.01
Detached,4,T1,safe_unidirectional,best,5251.87,6024.01
Detached,4,T1,hybrid_bidirectional,worst,4187.82,8460.34
Detached,4,T1,hybrid_bidirectional,best,3985.31,8344.4
Detached,4,T2,safe_unidirectional,worst,4805.14,5502.56
Detached,4,T2,safe_unidirectional,best,4745.73,5502.56
Detached,4,T2,hybrid_bidirectional,worst,3068.78,7112.3
Detached,4,T2,hybrid_bidirectional,best,2682.51,6931.5
Detached,4,T3,safe_unidirectional,worst,4454.74,5142.92
Detached,4,T3,safe_unidirectional,best,4397.77,5142.92
Detached,4,T3,hybrid_bidirectional,worst,2597.02,5892.29
Detached,4,T3,hybrid_bidirectional,best,2049.33,5743.8
Detached,5,T1,safe_unidirectional,worst,4865.61,5538.81
Detached,5,T1,safe_unidirectional,best,4781.02,5538.81
Detached,5,T1,hybrid_bidirectional,worst,3892.43,7643.87
Detached,5,T1,hybrid_bidirectional,best,3765.43,7604.4
Detached,5,T2,safe_unidirectional,worst,4348.16,5017.36
Detached,5,T2,safe_unidirectional,best,4272.88,5017.36
Detached,5,T2,hybrid_bidirectional,worst,2693.08,6492.18
Detached,5,T2,hybrid_bidirectional,best,2401.42,6332.09
Detached,5,T3,safe_unidirectional,worst,3996.41,4657.72
Detached,5,T3,safe_unidirectional,best,3925.3,4657.72
Detached,5,T3,hybrid_bidirectional,worst,2200.94,5287.71
Detached,5,T3,hybrid_bidirectional,best,1785.63,5150.07
Detached,6,T1,safe_unidirectional,worst,5150.38,5798.78
Detached,6,T1,safe_unidirectional,best,5092.33,5798.78
Detached,6,T1,hybrid_bidirectional,worst,3873.58,7941.33
Detached,6,T1,hybrid_bidirectional,best,3846.53,7992.88
Detached,6,T2,safe_unidirectional,worst,4629.95,5277.33
Detached,6,T2,safe_unidirectional,best,4581.77,5277.33
Detached,6,T2,hybrid_bidirectional,worst,2834.33,6741.3
Detached,6,T2,hybrid_bidirectional,best,2485.93,6556.3
Detached,6,T3,safe_unidirectional,worst,4281.05,4917.69
Detached,6,T3,safe_unidirectional,best,4237.13,4917.69
Detached,6,T3,hybrid_bidirectional,worst,2325.98,5656.7
Detached,6,T3,hybrid_bidirectional,best,1902.26,5539.04
Detached,7,T1,safe_unidirectional,worst,5338.13,5985.94
Detached,7,T1,safe_unidirectional,best,5235.86,5985.94
Detached,7,T1,hybrid_bidirectional,worst,3873.71,8294.98
Detached,7,T1,hybrid_bidirectional,best,3690.66,8213.83
Detached,7,T2,safe_unidirectional,worst,4815.42,5464.48
Detached,7,T2,safe_unidirectional,best,4725.4,5464.48
Detached,7,T2,hybrid_bidirectional,worst,3127.08,7282.91
Detached,7,T2,hybrid_bidirectional,best,2712.96,7058.2
Detached,7,T3,safe_unidirectional,worst,4465.97,5104.84
Detached,7,T3,safe_unidirectional,best,4376.16,5104.84
Detached,7,T3,hybrid_bidirectional,worst,2470.98,5830.29
Detached,7,T3,hybrid_bidirectional,best,2040.99,5783.18
Detached,8,T1,safe_unidirectional,worst,5111.3,5786.63
Detached,8,T1,safe_unidirectional,best,5031.2,5786.63
Detached,8,T1,hybrid_bidirectional,worst,3560.58,7738.75
Detached,8,T1,hybrid_bidirectional,best,3443.5,7732.09
Detached,8,T2,safe_unidirectional,worst,4585.09,5265.17
Detached,8,T2,safe_unidirectional,best,4516.13,5265.17
Detached,8,T2,hybrid_bidirectional,worst,2879.6,6876.89
Detached,8,T2,hybrid_bidirectional,best,2652.87,6824.11
Detached,8,T3,safe_unidirectional,worst,4240.61,4905.53
Detached,8,T3,safe_unidirectional,best,4175.01,4905.53
Detached,8,T3,hybrid_bidirectional,worst,2328.19,5602.12
Detached,8,T3,hybrid_bidirectional,best,1854.64,5507.15
Detached,9,T1,safe_unidirectional,worst,5529.47,6226.84
Detached,9,T1,safe_unidirectional,best,5407.03,6226.84
Detached,9,T1,hybrid_bidirectional,worst,4108.17,8499.63
Detached,9,T1,hybrid_bidirectional,best,3889.11,8419.46
Detached,9,T2,safe_unidirectional,worst,5006.21,5705.39
Detached,9,T2,safe_unidirectional,best,4893.61,5705.39
Detached,9,T2,hybrid_bidirectional,worst,3273.95,7485.33
Detached,9,T2,hybrid_bidirectional,best,2954.33,7363.23
Detached,9,T3,safe_unidirectional,worst,4657.78,5345.75
Detached,9,T3,safe_unidirectional,best,4548.14,5345.75
Detached,9,T3,hybrid_bidirectional,worst,2667.4,6073.41
Detached,9,T3,hybrid_bidirectional,best,2217.2,6035.18
Detached,10,T1,safe_unidirectional,worst,5045.36,5636.78
Detached,10,T1,safe_unidirectional,best,4981.21,5636.78
Detached,10,T1,hybrid_bidirectional,worst,3757.25,7945.58
Detached,10,T1,hybrid_bidirectional,best,3728.4,7988.25
Detached,10,T2,safe_unidirectional,worst,4525.99,5115.33
Detached,10,T2,safe_unidirectional,best,4473.81,5115.33
Detached,10,T2,hybrid_bidirectional,worst,2861.45,6870.61
Detached,10,T2,hybrid_bidirectional,best,2619.83,6818.56
Detached,10,T3,safe_unidirectional,worst,4180.92,4755.69
Detached,10,T3,safe_unidirectional,best,4130.3,4755.69
Detached,10,T3,hybrid_bidirectional,worst,2229.81,5435.5
Detached,10,T3,hybrid_bidirectional,best,1692.59,5240.63
Detached,11,T1,safe_unidirectional,worst,5736.06,6434.24
Detached,11,T1,safe_unidirectional,best,5654.97,6434.24
Detached,11,T1,hybrid_bidirectional,worst,4240.59,9177.91
Detached,11,T1,hybrid_bidirectional,best,4194.82,9191.48
Detached,11,T2,safe_unidirectional,worst,5219.24,5912.78
Detached,11,T2,safe_unidirectional,best,5144.02,5912.78
Detached,11,T2,hybrid_bidirectional,worst,3270.74,7981.08
Detached,11,T2,hybrid_bidirectional,best,3029.04,7892.78
Detached,11,T3,safe_unidirectional,worst,4868.96,5553.14
Detached,11,T3,safe_unidirectional,best,4795.05,5553.14
Detached,11,T3,hybrid_bidirectional,worst,2703.4,6506.51
Detached,11,T3,hybrid_bidirectional,best,2037.3,6302.76
Detached,12,T1,safe_unidirectional,worst,5889.64,6558.44
Detached,12,T1,safe_unidirectional,best,5812.56,6558.44
Detached,12,T1,hybrid_bidirectional,worst,4446.87,9112.18
Detached,12,T1,hybrid_bidirectional,best,4248.58,9036.7
Detached,12,T2,safe_unidirectional,worst,5371.04,6036.98
Detached,12,T2,safe_unidirectional,best,5303.06,6036.98
Detached,12,T2,hybrid_bidirectional,worst,3349.82,7866.02
Detached,12,T2,hybrid_bidirectional,best,3033.19,7704.94
Detached,12,T3,safe_unidirectional,worst,5023.03,5677.34
Detached,12,T3,safe_unidirectional,best,4957.82,5677.34
Detached,12,T3,hybrid_bidirectional,worst,2950.19,6565.84
Detached,12,T3,hybrid_bidirectional,best,2380.8,6413.15
Detached,13,T1,safe_unidirectional,worst,5314.11,6020.93
Detached,13,T1,safe_unidirectional,best,5205.53,6020.93
Detached,13,T1,hybrid_bidirectional,worst,4276.12,8587.99
Detached,13,T1,hybrid_bidirectional,best,4131.41,8553.21
Detached,13,T2,safe_unidirectional,worst,4791.21,5499.48
Detached,13,T2,safe_unidirectional,best,4696.55,5499.48
Detached,13,T2,hybrid_bidirectional,worst,2903.2,7127.73
Detached,13,T2,hybrid_bidirectional,best,2498.71,6915.59
Detached,13,T3,safe_unidirectional,worst,4443.95,5139.84
Detached,13,T3,safe_unidirectional,best,4351.11,5139.84
Detached,13,T3,hybrid_bidirectional,worst,2317.37,5898.09
Detached,13,T3,hybrid_bidirectional,best,1815.24,5748.12
Detached,14,T1,safe_unidirectional,worst,5317.64,6060.47
Detached,14,T1,safe_unidirectional,best,5271.04,6060.47
Detached,14,T1,hybrid_bidirectional,worst,4133.69,8683.28
Detached,14,T1,hybrid_bidirectional,best,3946.65,8563.4
Detached,14,T2,safe_unidirectional,worst,4794.72,5539.02
Detached,14,T2,safe_unidirectional,best,4758.6,5539.02
Detached,14,T2,hybrid_bidirectional,worst,2870.25,7355.22
Detached,14,T2,hybrid_bidirectional,best,2470.42,7084.38
Detached,14,T3,safe_unidirectional,worst,4445.63,5179.38
Detached,14,T3,safe_unidirectional,best,4412.12,5179.38
Detached,14,T3,hybrid_bidirectional,worst,2382.05,5980.06
Detached,14,T3,hybrid_bidirectional,best,1857.35,5894.22
Detached,15,T1,safe_unidirectional,worst,5352.56,5961.98
Detached,15,T1,safe_unidirectional,best,5284.81,5961.98
Detached,15,T1,hybrid_bidirectional,worst,4319.77,8728.1
Detached,15,T1,hybrid_bidirectional,best,4178.87,8641.27
Detached,15,T2,safe_unidirectional,worst,4831.68,5440.53
Detached,15,T2,safe_unidirectional,best,4776.09,5440.53
Detached,15,T2,hybrid_bidirectional,worst,2979.57,7211.84
Detached,15,T2,hybrid_bidirectional,best,2676.87,7085.05
Detached,15,T3,safe_unidirectional,worst,4481.86,5080.89
Detached,15,T3,safe_unidirectional,best,4428.97,5080.89
Detached,15,T3,hybrid_bidirectional,worst,2502.87,5816.2
Detached,15,T3,hybrid_bidirectional,best,2016.79,5703.23
Detached,16,T1,safe_unidirectional,worst,4798.75,5561.97
Detached,16,T1,safe_unidirectional,best,4730.89,5561.97
Detached,16,T1,hybrid_bidirectional,worst,3922.6,7798.49
Detached,16,T1,hybrid_bidirectional,best,3744.59,7714.38
Detached,16,T2,safe_unidirectional,worst,4283.91,5040.51
Detached,16,T2,safe_unidirectional,best,4222.22,5040.51
Detached,16,T2,hybrid_bidirectional,worst,2667.02,6683.07
Detached,16,T2,hybrid_bidirectional,best,2409.33,6544.19
Detached,16,T3,safe_unidirectional,worst,3931.26,4680.87
Detached,16,T3,safe_unidirectional,best,3873.86,4680.87
Detached,16,T3,hybrid_bidirectional,worst,2078.0,5417.67
Detached,16,T3,hybrid_bidirectional,best,1540.73,5276.57
Detached,17,T1,safe_unidirectional,worst,5075.68,5702.47
Detached,17,T1,safe_unidirectional,best,4997.4,5702.47
Detached,17,T1,hybrid_bidirectional,worst,3822.66,7780.14
Detached,17,T1,hybrid_bidirectional,best,3752.02,7787.54
Detached,17,T2,safe_unidirectional,worst,4560.9,5181.01
Detached,17,T2,safe_unidirectional,best,4491.06,5181.01
Detached,17,T2,hybrid_bidirectional,worst,2857.25,6727.37
Detached,17,T2,hybrid_bidirectional,best,2690.81,6722.93
Detached,17,T3,safe_unidirectional,worst,4211.81,4821.37
Detached,17,T3,safe_unidirectional,best,4144.97,4821.37
Detached,17,T3,hybrid_bidirectional,worst,2273.03,5491.32
Detached,17,T3,hybrid_bidirectional,best,1827.69,5343.57
Detached,18,T1,safe_unidirectional,worst,5415.41,6030.43
