House number,WFH Type,Operation,Solar,Battery,PV,Cost
1,T1,safe_unidirectional,worst,20.75,1.88571,13920.0
1,T1,safe_unidirectional,best,16.375,1.45714,10920.0
1,T1,hybrid_bidirectional,worst,12.125,1.75714,9510.0
1,T1,hybrid_bidirectional,best,9.0625,1.32857,7140.0
1,T2,safe_unidirectional,worst,15.9375,1.45714,10710.0
1,T2,safe_unidirectional,best,12.0625,1.2,8310.0
1,T2,hybrid_bidirectional,worst,5.875,1.2,5340.0
1,T2,hybrid_bidirectional,best,3.875,0.985714,3930.0
1,T3,safe_unidirectional,best,9.875,0.942857,6720.0
1,T3,hybrid_bidirectional,worst,4.375,0.942857,4080.0
1,T3,hybrid_bidirectional,best,3.25,0.642857,2910.0
2,T1,safe_unidirectional,worst,20.0625,1.97143,13770.0
2,T1,safe_unidirectional,best,15.625,1.5,10650.0
2,T1,hybrid_bidirectional,worst,12.6875,1.75714,9780.0
2,T1,hybrid_bidirectional,best,9.625,1.32857,7410.0
2,T2,safe_unidirectional,worst,16.125,1.45714,10800.0
2,T2,safe_unidirectional,best,11.875,1.2,8220.0
2,T2,hybrid_bidirectional,worst,6.25,1.15714,5430.0
2,T2,hybrid_bidirectional,best,3.875,0.985714,3930.0
2,T3,safe_unidirectional,worst,12.0625,1.32857,8580.0
2,T3,safe_unidirectional,best,9.0625,1.07143,6600.0
2,T3,hybrid_bidirectional,worst,4.25,0.942857,4020.0
2,T3,hybrid_bidirectional,best,3.125,0.642857,2850.0
3,T1,safe_unidirectional,worst,18.25,2.27143,13530.0
3,T1,safe_unidirectional,best,14.125,1.75714,10470.0
3,T1,hybrid_bidirectional,worst,12.125,1.75714,9510.0
3,T1,hybrid_bidirectional,best,8.375,1.45714,7080.0
3,T2,safe_unidirectional,worst,14.125,1.88571,10740.0
3,T2,safe_unidirectional,best,10.25,1.5,8070.0
3,T2,hybrid_bidirectional,worst,5.4375,1.32857,5400.0
3,T2,hybrid_bidirectional,best,3.4375,1.07143,3900.0
3,T3,safe_unidirectional,worst,11.5625,1.45714,8610.0
3,T3,safe_unidirectional,best,8.5,1.15714,6510.0
3,T3,hybrid_bidirectional,worst,4.4375,1.07143,4380.0
3,T3,hybrid_bidirectional,best,2.75,0.857143,3120.0
4,T1,safe_unidirectional,worst,21.375,2.01429,14490.0
4,T1,safe_unidirectional,best,16.0625,1.75714,11400.0
4,T1,hybrid_bidirectional,worst,11.75,1.88571,9600.0
4,T1,hybrid_bidirectional,best,8.8125,1.5,7380.0
4,T2,safe_unidirectional,worst,17.4375,1.67143,11880.0
4,T2,safe_unidirectional,best,12.9375,1.32857,9000.0
4,T2,hybrid_bidirectional,worst,6.1875,1.32857,5760.0
4,T2,hybrid_bidirectional,best,4.25,1.07143,4290.0
4,T3,safe_unidirectional,worst,13.9375,1.45714,9750.0
4,T3,safe_unidirectional,best,10.25,1.15714,7350.0
4,T3,hybrid_bidirectional,best,3.6875,0.771429,3390.0
5,T1,safe_unidirectional,worst,20.0625,2.01429,13860.0
5,T1,hybrid_bidirectional,worst,11.875,1.88571,9660.0
5,T1,hybrid_bidirectional,best,8.875,1.45714,7320.0
5,T2,safe_unidirectional,worst,15.625,1.67143,11010.0
5,T2,safe_unidirectional,best,11.8125,1.32857,8460.0
5,T2,hybrid_bidirectional,worst,5.125,1.32857,5250.0
5,T2,hybrid_bidirectional,best,3.3125,1.07143,3840.0
5,T3,safe_unidirectional,worst,12.5,1.32857,8790.0
5,T3,safe_unidirectional,best,9.8125,0.985714,6780.0
5,T3,hybrid_bidirectional,worst,4.4375,0.985714,4200.0
5,T3,hybrid_bidirectional,best,2.8125,0.771429,2970.0
6,T1,safe_unidirectional,worst,23.0625,3.3,18000.0
6,T1,safe_unidirectional,best,17.125,1.5,11370.0
6,T1,hybrid_bidirectional,worst,14.375,1.8,10680.0
6,T1,hybrid_bidirectional,best,9.625,1.41429,7590.0
6,T2,safe_unidirectional,worst,19.0625,1.41429,12120.0
6,T2,safe_unidirectional,best,14.3125,1.11429,9210.0
6,T2,hybrid_bidirectional,worst,7.5,1.2,6120.0
6,T2,hybrid_bidirectional,best,4.9375,0.942857,4350.0
6,T3,safe_unidirectional,worst,16.0625,1.07143,9960.0
6,T3,safe_unidirectional,best,11.875,0.942857,7680.0
