Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T2,safe_unidirectional,worst,5174.74,5174.74
Detached,1,T2,safe_unidirectional,best,5174.74,5174.74
Detached,1,T2,hybrid_bidirectional,worst,4285.38,7513.14
Detached,1,T2,hybrid_bidirectional,best,4285.38,7513.14
Detached,2,T2,safe_unidirectional,worst,5518.79,5518.79
Detached,2,T2,safe_unidirectional,best,5518.79,5518.79
Detached,2,T2,hybrid_bidirectional,worst,4601.55,8030.11
Detached,2,T2,hybrid_bidirectional,best,4601.55,8030.11
Detached,3,T2,safe_unidirectional,worst,5685.01,5685.01
Detached,3,T2,safe_unidirectional,best,5685.01,5685.01
Detached,3,T2,hybrid_bidirectional,worst,4805.48,8195.58
Detached,3,T2,hybrid_bidirectional,best,4805.48,8195.58
Detached,4,T2,safe_unidirectional,worst,5502.56,5502.56
Detached,4,T2,safe_unidirectional,best,5502.56,5502.56
Detached,4,T2,hybrid_bidirectional,worst,4683.24,7853.04
Detached,4,T2,hybrid_bidirectional,best,4683.24,7853.04
Detached,5,T2,safe_unidirectional,worst,5017.36,5017.36
Detached,5,T2,safe_unidirectional,best,5017.36,5017.36
Detached,5,T2,hybrid_bidirectional,worst,4087.42,7146.09
Detached,5,T2,hybrid_bidirectional,best,4087.42,7146.09
Detached,6,T2,safe_unidirectional,worst,5277.33,5277.33
Detached,6,T2,safe_unidirectional,best,5277.33,5277.33
Detached,6,T2,hybrid_bidirectional,worst,4387.63,7560.23
Detached,6,T2,hybrid_bidirectional,best,4387.63,7560.23
Detached,7,T2,safe_unidirectional,worst,5464.48,5464.48
Detached,7,T2,safe_unidirectional,best,5464.48,5464.48
Detached,7,T2,hybrid_bidirectional,worst,4622.68,7981.96
Detached,7,T2,hybrid_bidirectional,best,4622.68,7981.96
Detached,8,T2,safe_unidirectional,worst,5265.17,5265.17
Detached,8,T2,safe_unidirectional,best,5265.17,5265.17
Detached,8,T2,hybrid_bidirectional,worst,4371.23,7655.87
Detached,8,T2,hybrid_bidirectional,best,4371.23,7655.87
Detached,9,T2,safe_unidirectional,worst,5705.39,5705.39
Detached,9,T2,safe_unidirectional,best,5705.39,5705.39
Detached,9,T2,hybrid_bidirectional,worst,4702.06,8022.33
Detached,9,T2,hybrid_bidirectional,best,4702.06,8022.33
Detached,10,T2,safe_unidirectional,worst,5115.33,5115.33
Detached,10,T2,safe_unidirectional,best,5115.33,5115.33
Detached,10,T2,hybrid_bidirectional,worst,4210.42,7615.54
Detached,10,T2,hybrid_bidirectional,best,4210.42,7615.54
Detached,11,T2,safe_unidirectional,worst,5912.78,5912.78
Detached,11,T2,safe_unidirectional,best,5912.78,5912.78
Detached,11,T2,hybrid_bidirectional,worst,5001.58,8702.83
Detached,11,T2,hybrid_bidirectional,best,5001.58,8702.83
Detached,12,T2,safe_unidirectional,worst,6036.98,6036.98
