Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T2,safe_unidirectional,worst,3444.46,
Detached,1,T2,safe_unidirectional,best,3246.38,
Detached,1,T2,hybrid_bidirectional,worst,2409.79,
Detached,1,T2,hybrid_bidirectional,best,2227.27,
Detached,2,T2,safe_unidirectional,worst,3652.59,
Detached,2,T2,safe_unidirectional,best,3441.51,
Detached,2,T2,hybrid_bidirectional,worst,2559.69,
Detached,2,T2,hybrid_bidirectional,best,2256.8,
Detached,3,T2,safe_unidirectional,worst,3894.33,
Detached,3,T2,safe_unidirectional,best,3675.85,
Detached,3,T2,hybrid_bidirectional,worst,2926.31,
Detached,3,T2,hybrid_bidirectional,best,2484.49,
Detached,4,T2,safe_unidirectional,worst,3717.99,
Detached,4,T2,safe_unidirectional,best,3522.37,
Detached,4,T2,hybrid_bidirectional,worst,2667.38,
Detached,4,T2,hybrid_bidirectional,best,2300.3,
Detached,5,T2,safe_unidirectional,worst,3261.33,
Detached,5,T2,safe_unidirectional,best,3045.14,
Detached,5,T2,hybrid_bidirectional,worst,2311.46,
Detached,5,T2,hybrid_bidirectional,best,2046.19,
Detached,6,T2,safe_unidirectional,worst,3505.37,
Detached,6,T2,safe_unidirectional,best,3332.95,
Detached,6,T2,hybrid_bidirectional,worst,2505.06,
Detached,6,T2,hybrid_bidirectional,best,2178.16,
Detached,7,T2,safe_unidirectional,worst,3701.37,
Detached,7,T2,safe_unidirectional,best,3461.64,
Detached,7,T2,hybrid_bidirectional,worst,2771.5,
Detached,7,T2,hybrid_bidirectional,best,2316.29,
Detached,8,T2,safe_unidirectional,worst,3506.31,
Detached,8,T2,safe_unidirectional,best,3283.94,
Detached,8,T2,hybrid_bidirectional,worst,2619.03,
Detached,8,T2,hybrid_bidirectional,best,2220.07,
Detached,9,T2,safe_unidirectional,worst,3936.67,
Detached,9,T2,safe_unidirectional,best,3689.39,
Detached,9,T2,hybrid_bidirectional,worst,2785.11,
