Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,1,T2,safe_unidirectional,worst,4151.52,4744.06
Detached,1,T2,safe_unidirectional,best,4073.19,4744.06
Detached,1,T2,hybrid_bidirectional,worst,4151.52,4744.06
Detached,1,T2,hybrid_bidirectional,best,4073.19,4744.06
Detached,2,T2,safe_unidirectional,worst,4365.39,5088.11
Detached,2,T2,safe_unidirectional,best,4279.58,5088.11
Detached,2,T2,hybrid_bidirectional,worst,4365.39,5088.11
Detached,2,T2,hybrid_bidirectional,best,4279.58,5088.11
Detached,3,T2,safe_unidirectional,worst,4591.75,5254.33
Detached,3,T2,safe_unidirectional,best,4523.7,5254.33
Detached,3,T2,hybrid_bidirectional,worst,4591.75,5254.33
Detached,3,T2,hybrid_bidirectional,best,4523.7,5254.33
Detached,4,T2,safe_unidirectional,worst,4398.73,5071.88
Detached,4,T2,safe_unidirectional,best,4342.29,5071.88
Detached,4,T2,hybrid_bidirectional,worst,4398.73,5071.88
Detached,4,T2,hybrid_bidirectional,best,4342.29,5071.88
Detached,5,T2,safe_unidirectional,worst,3939.67,4586.68
Detached,5,T2,safe_unidirectional,best,3869.86,4586.68
Detached,5,T2,hybrid_bidirectional,worst,3939.67,4586.68
Detached,5,T2,hybrid_bidirectional,best,3869.86,4586.68
Detached,6,T2,safe_unidirectional,worst,4224.7,4846.65
Detached,6,T2,safe_unidirectional,best,4181.09,4846.65
Detached,6,T2,hybrid_bidirectional,worst,4224.7,4846.65
Detached,6,T2,hybrid_bidirectional,best,4181.09,4846.65
Detached,7,T2,safe_unidirectional,worst,4408.17,5033.8
Detached,7,T2,safe_unidirectional,best,4318.98,5033.8
Detached,7,T2,hybrid_bidirectional,worst,4408.17,5033.8
Detached,7,T2,hybrid_bidirectional,best,4318.98,5033.8
Detached,8,T2,safe_unidirectional,worst,4182.66,4834.49
Detached,8,T2,safe_unidirectional,best,4117.33,4834.49
Detached,8,T2,hybrid_bidirectional,worst,4182.66,4834.49
Detached,8,T2,hybrid_bidirectional,best,4117.33,4834.49
Detached,9,T2,safe_unidirectional,worst,4599.22,5274.71
Detached,9,T2,safe_unidirectional,best,4491.56,5274.71
Detached,9,T2,hybrid_bidirectional,worst,4599.22,5274.71
Detached,9,T2,hybrid_bidirectional,best,4491.56,5274.71
Detached,10,T2,safe_unidirectional,worst,4123.23,4684.65
Detached,10,T2,safe_unidirectional,best,4074.39,4684.65
Detached,10,T2,hybrid_bidirectional,worst,4123.23,4684.65
Detached,10,T2,hybrid_bidirectional,best,4074.39,4684.65
Detached,11,T2,safe_unidirectional,worst,4810.21,5482.1
Detached,11,T2,safe_unidirectional,best,4738.41,5482.1
Detached,11,T2,hybrid_bidirectional,worst,4810.21,5482.1
Detached,11,T2,hybrid_bidirectional,best,4738.41,5482.1
Detached,12,T2,safe_unidirectional,worst,4965.7,5606.3
Detached,12,T2,safe_unidirectional,best,4901.28,5606.3
Detached,12,T2,hybrid_bidirectional,worst,4965.7,5606.3
Detached,12,T2,hybrid_bidirectional,best,4901.28,5606.3
Detached,13,T2,safe_unidirectional,worst,4386.49,5068.8
Detached,13,T2,safe_unidirectional,best,4294.39,5068.8
Detached,13,T2,hybrid_bidirectional,worst,4386.49,5068.8
Detached,13,T2,hybrid_bidirectional,best,4294.39,5068.8
Detached,14,T2,safe_unidirectional,worst,4388.18,5108.34
Detached,14,T2,safe_unidirectional,best,4356.53,5108.34
Detached,14,T2,hybrid_bidirectional,worst,4388.18,5108.34
Detached,14,T2,hybrid_bidirectional,best,4356.53,5108.34
Detached,15,T2,safe_unidirectional,worst,4425.99,5009.85
Detached,15,T2,safe_unidirectional,best,4373.66,5009.85
Detached,15,T2,hybrid_bidirectional,worst,4425.99,5009.85
Detached,15,T2,hybrid_bidirectional,best,4373.66,5009.85
Detached,16,T2,safe_unidirectional,worst,3873.73,4609.83
Detached,16,T2,safe_unidirectional,best,3815.98,4609.83
Detached,16,T2,hybrid_bidirectional,worst,3873.73,4609.83
Detached,16,T2,hybrid_bidirectional,best,3815.98,4609.83
Detached,17,T2,safe_unidirectional,worst,4155.09,4750.33
Detached,17,T2,safe_unidirectional,best,4089.17,4750.33
Detached,17,T2,hybrid_bidirectional,worst,4155.09,4750.33
Detached,17,T2,hybrid_bidirectional,best,4089.17,4750.33
Detached,18,T2,safe_unidirectional,worst,4490.43,5078.3
Detached,18,T2,safe_unidirectional,best,4427.19,5078.3
Detached,18,T2,hybrid_bidirectional,worst,4490.43,5078.3
Detached,18,T2,hybrid_bidirectional,best,4427.19,5078.3
Detached,19,T2,safe_unidirectional,worst,4562.35,5130.03
Detached,19,T2,safe_unidirectional,best,4473.0,5130.03
Detached,19,T2,hybrid_bidirectional,worst,4562.35,5130.03
Detached,19,T2,hybrid_bidirectional,best,4473.0,5130.03
Detached,20,T2,safe_unidirectional,worst,4922.97,5559.39
Detached,20,T2,safe_unidirectional,best,4844.14,5559.39
Detached,20,T2,hybrid_bidirectional,worst,4922.97,5559.39
Detached,20,T2,hybrid_bidirectional,best,4844.14,5559.39
Detached,21,T2,safe_unidirectional,worst,3508.46,4013.37
Detached,21,T2,safe_unidirectional,best,3446.88,4013.37
Detached,21,T2,hybrid_bidirectional,worst,3508.46,4013.37
Detached,21,T2,hybrid_bidirectional,best,3446.88,4013.37
Detached,22,T2,safe_unidirectional,worst,4113.5,4714.82
Detached,22,T2,safe_unidirectional,best,4033.04,4714.82
Detached,22,T2,hybrid_bidirectional,worst,4113.5,4714.82
Detached,22,T2,hybrid_bidirectional,best,4033.04,4714.82
Detached,23,T2,safe_unidirectional,worst,3899.05,4454.88
Detached,23,T2,safe_unidirectional,best,3858.8,4454.88
Detached,23,T2,hybrid_bidirectional,worst,3899.05,4454.88
Detached,23,T2,hybrid_bidirectional,best,3858.8,4454.88
Detached,24,T2,safe_unidirectional,worst,5012.42,5658.12
Detached,24,T2,safe_unidirectional,best,4898.03,5658.12
Detached,24,T2,hybrid_bidirectional,worst,5012.42,5658.12
Detached,24,T2,hybrid_bidirectional,best,4898.03,5658.12
Detached,25,T2,safe_unidirectional,worst,4416.98,5006.78
Detached,25,T2,safe_unidirectional,best,4356.17,5006.78
Detached,25,T2,hybrid_bidirectional,worst,4416.98,5006.78
Detached,25,T2,hybrid_bidirectional,best,4356.17,5006.78
Detached,26,T2,safe_unidirectional,worst,3692.76,4289.25
Detached,26,T2,safe_unidirectional,best,3631.12,4289.25
Detached,26,T2,hybrid_bidirectional,worst,3692.76,4289.25
Detached,26,T2,hybrid_bidirectional,best,3631.12,4289.25
Detached,27,T2,safe_unidirectional,worst,4390.66,4894.4
Detached,27,T2,safe_unidirectional,best,4345.13,4894.4
Detached,27,T2,hybrid_bidirectional,worst,4390.66,4894.4
Detached,27,T2,hybrid_bidirectional,best,4345.13,4894.4
Detached,28,T2,safe_unidirectional,worst,4100.76,4783.54
Detached,28,T2,safe_unidirectional,best,4055.41,4783.54
Detached,28,T2,hybrid_bidirectional,worst,4100.76,4783.54
Detached,28,T2,hybrid_bidirectional,best,4055.41,4783.54
Detached,29,T2,safe_unidirectional,worst,4738.58,5367.08
Detached,29,T2,safe_unidirectional,best,4655.0,5367.08
Detached,29,T2,hybrid_bidirectional,worst,4738.58,5367.08
Detached,29,T2,hybrid_bidirectional,best,4655.0,5367.08
Detached,30,T2,safe_unidirectional,worst,4892.75,5536.11
Detached,30,T2,safe_unidirectional,best,4851.08,5536.11
Detached,30,T2,hybrid_bidirectional,worst,4892.75,5536.11
Detached,30,T2,hybrid_bidirectional,best,4851.08,5536.11
Detached,31,T2,safe_unidirectional,worst,4058.73,4669.58
Detached,31,T2,safe_unidirectional,best,3981.67,4669.58
Detached,31,T2,hybrid_bidirectional,worst,4058.73,4669.58
Detached,31,T2,hybrid_bidirectional,best,3981.67,4669.58
Detached,32,T2,safe_unidirectional,worst,4388.07,5070.54
Detached,32,T2,safe_unidirectional,best,4297.48,5070.54
Detached,32,T2,hybrid_bidirectional,worst,4388.07,5070.54
Detached,32,T2,hybrid_bidirectional,best,4297.48,5070.54
Detached,33,T2,safe_unidirectional,worst,4346.5,4860.51
Detached,33,T2,safe_unidirectional,best,4307.82,4860.51
Detached,33,T2,hybrid_bidirectional,worst,4346.5,4860.51
Detached,33,T2,hybrid_bidirectional,best,4307.82,4860.51
Detached,34,T2,safe_unidirectional,worst,4706.78,5294.28
Detached,34,T2,safe_unidirectional,best,4612.19,5294.28
Detached,34,T2,hybrid_bidirectional,worst,4706.78,5294.28
Detached,34,T2,hybrid_bidirectional,best,4612.19,5294.28
Detached,35,T2,safe_unidirectional,worst,4795.02,5585.85
Detached,35,T2,safe_unidirectional,best,4730.97,5585.85
Detached,35,T2,hybrid_bidirectional,worst,4795.02,5585.85
Detached,35,T2,hybrid_bidirectional,best,4730.97,5585.85
Detached,36,T2,safe_unidirectional,worst,4853.18,5454.5
Detached,36,T2,safe_unidirectional,best,4781.34,5454.5
Detached,36,T2,hybrid_bidirectional,worst,4853.18,5454.5
Detached,36,T2,hybrid_bidirectional,best,4781.34,5454.5
Detached,37,T2,safe_unidirectional,worst,4371.56,5011.72
Detached,37,T2,safe_unidirectional,best,4294.77,5011.72
Detached,37,T2,hybrid_bidirectional,worst,4371.56,5011.72
Detached,37,T2,hybrid_bidirectional,best,4294.77,5011.72
Detached,38,T2,safe_unidirectional,worst,4965.44,5667.43
Detached,38,T2,safe_unidirectional,best,4847.67,5667.43
Detached,38,T2,hybrid_bidirectional,worst,4965.44,5667.43
Detached,38,T2,hybrid_bidirectional,best,4847.67,5667.43
Detached,39,T2,safe_unidirectional,worst,4002.55,4667.53
Detached,39,T2,safe_unidirectional,best,3925.25,4667.53
Detached,39,T2,hybrid_bidirectional,worst,4002.55,4667.53
Detached,39,T2,hybrid_bidirectional,best,3925.25,4667.53
Detached,40,T2,safe_unidirectional,worst,4681.54,5359.15
Detached,40,T2,safe_unidirectional,best,4613.1,5359.15
Detached,40,T2,hybrid_bidirectional,worst,4681.54,5359.15
Detached,40,T2,hybrid_bidirectional,best,4613.1,5359.15
Detached,41,T2,safe_unidirectional,worst,4950.96,5679.09
Detached,41,T2,safe_unidirectional,best,4874.25,5679.09
Detached,41,T2,hybrid_bidirectional,worst,4950.96,5679.09
Detached,41,T2,hybrid_bidirectional,best,4874.25,5679.09
Detached,42,T2,safe_unidirectional,worst,4447.4,5003.7
Detached,42,T2,safe_unidirectional,best,4379.16,5003.7
Detached,42,T2,hybrid_bidirectional,worst,4447.4,5003.7
Detached,42,T2,hybrid_bidirectional,best,4379.16,5003.7
